
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[01:49:27.100 --> 01:49:33.100]   You know, REPL is the idea that you'd have a command line where you could try language commands and see the result.
[01:49:33.100 --> 01:49:41.100]   We're great in their day, but really, playgrounds are the new hotness and Swift really introduced that.
[01:49:41.100 --> 01:49:46.100]   If you've been looking to learn functional languages, this is a really great way to do it.
[01:49:46.100 --> 01:49:51.100]   This has a playground that allows you to execute Haskell commands, modify Haskell programs.
[01:49:51.100 --> 01:49:56.100]   While you're running them, it really is sweet.
[01:49:56.100 --> 01:50:04.100]   This makes the Mac really the platform to learn Haskell or Lisp with closure.
[01:50:04.100 --> 01:50:09.100]   So two for one there.
[01:50:09.100 --> 01:50:20.100]   Just because all of those other, you know, objective C, Swift, C++, those are at the top of the Java, those are the languages for the popular kids.
[01:50:20.100 --> 01:50:23.100]   Don't turn your back on functional programming.
[01:50:23.100 --> 01:50:26.100]   Hey everybody, that concludes this edition.
[01:50:26.100 --> 01:50:33.100]   You started it by recommending Python Easter and I thought, well if he's going to recommend a language, I'll do it.
[01:50:33.100 --> 01:50:43.100]   Thank you all for joining us. We really appreciate when your time, every Tuesday morning 11am Pacific 2pm Eastern time.
[01:50:43.100 --> 01:50:46.100]   And Renee, Richie from iMore.com.
[01:50:46.100 --> 01:50:48.100]   He's got about a hundred other podcasts.
[01:50:48.100 --> 01:50:52.100]   I was very relieved to see your New Year resolution was fewer podcasts.
[01:50:52.100 --> 01:50:53.100]   Yes.
[01:50:53.100 --> 01:50:54.100]   Thank you.
[01:50:54.100 --> 01:50:55.100]   Please, would you?
[01:50:55.100 --> 01:50:56.100]   Knock it off.
[01:50:56.100 --> 01:50:57.100]   I can't do it.
[01:50:57.100 --> 01:51:06.100]   No, I really love all the stuff you do at iMore.com, including all those great podcasts. Don't do too many fewer.
[01:51:06.100 --> 01:51:12.100]   Alex Lindsay's here. He's in DC. He, of course, works at Pixelcore.
[01:51:12.100 --> 01:51:20.100]   I don't know. Can't imagine what he's doing in Washington in the nation's capital on the eve of President Obama's last State of the Union address.
[01:51:20.100 --> 01:51:26.100]   But whatever you're doing, I hope it works out for you and the kid.
[01:51:26.100 --> 01:51:28.100]   It's great to see you.
[01:51:28.100 --> 01:51:33.100]   Alex, I got to think that there is a new season of the Amazing Race starting.
[01:51:33.100 --> 01:51:34.100]   That's it.
[01:51:34.100 --> 01:51:36.100]   So, yes, you'll forgive me of some point.
[01:51:36.100 --> 01:51:39.100]   I'm going to pretend that you're actually crewing the Amazing Race.
[01:51:39.100 --> 01:51:40.100]   Wouldn't that be awesome?
[01:51:40.100 --> 01:51:41.100]   I thought I was going to ask the cards.
[01:51:41.100 --> 01:51:43.100]   I was sure it was how it would be.
[01:51:43.100 --> 01:51:44.100]   That would be a lot of fun.
[01:51:44.100 --> 01:51:47.100]   I'm trying to talk Andy into it, starting an Amazing Race team with me.
[01:51:47.100 --> 01:51:50.100]   Oh, well, well, well, well, well, well, you guys have been great.
[01:51:50.100 --> 01:51:51.100]   Let's see if we could call that.
[01:51:51.100 --> 01:51:56.100]   Andy Enoco is frozen in time at C.W.O.B..
[01:51:56.100 --> 01:51:57.100]   Common.
[01:51:57.100 --> 01:52:02.100]   He also writes regularly for the Chicago Sun times.
[01:52:02.100 --> 01:52:05.100]   And at least I can take my shirt off without starting.
[01:52:05.100 --> 01:52:07.100]   I love the old one.
[01:52:07.100 --> 01:52:08.100]   I think that's actually.
[01:52:08.100 --> 01:52:09.100]   Go to the pants.
[01:52:09.100 --> 01:52:10.100]   It's the pants.
[01:52:10.100 --> 01:52:12.100]   We're on the clock now.
[01:52:12.100 --> 01:52:14.100]   Hey, thanks for being here.
[01:52:14.100 --> 01:52:17.100]   Come back next Tuesday, 11 a.m. Pacific, 2 p.m.
[01:52:17.100 --> 01:52:20.100]   Eastern time 1900 UTC or watch on demand.
[01:52:20.100 --> 01:52:24.100]   We have audio and video available at Twitter TV/Mbw.
[01:52:24.100 --> 01:52:27.100]   And you can also subscribe every piecatcher has it.
[01:52:27.100 --> 01:52:30.100]   Every platform has an app.
[01:52:30.100 --> 01:52:32.100]   We're everywhere you want to be.
[01:52:32.100 --> 01:52:35.100]   I don't think this is one show for your Mac user, Apple user,
[01:52:35.100 --> 01:52:36.100]   that you just don't want to miss.
[01:52:36.100 --> 01:52:37.100]   Thanks for being here.
[01:52:37.100 --> 01:52:39.100]   Now back to work because you know what?
[01:52:39.100 --> 01:52:41.100]   Break time's over.
[01:52:41.100 --> 01:52:51.100]   ♪

