
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[00:51:43.800 --> 00:51:49.320]   And I mean the problem is it does it but there's no apps because nobody's developing for it
[00:51:49.320 --> 00:51:55.160]   So markets because there's no market and so that's where apple just jumps ahead. They would be instantly
[00:51:55.160 --> 00:51:58.360]   You know the the largest
[00:51:58.360 --> 00:52:02.280]   Installed user base of augmented reality devices by far
[00:52:02.280 --> 00:52:06.840]   So this is only nougat and above but I think that's still like 14 percent
[00:52:06.840 --> 00:52:10.120]   Which when you take the the mass of the phone it's still a lot of phones
[00:52:10.120 --> 00:52:14.760]   It's a lot. Well and I think one I think one of the challenges really that is still like we were
[00:52:14.760 --> 00:52:21.160]   We've been working on a bunch of AR stuff and the problem is when we look at the markets that are going to that we're aiming at
[00:52:21.160 --> 00:52:25.400]   A vast majority of them at least from all the research we've done or using iPhones
[00:52:25.400 --> 00:52:28.040]   You know like they're just you know as it kind of an upper end market
[00:52:28.040 --> 00:52:33.160]   They're you know and we just don't you know see a lot of android penetration into those into those markets
[00:52:33.160 --> 00:52:36.840]   And so I think that's one of the real challenges that that uh that google will have it
[00:52:36.840 --> 00:52:39.960]   I mean again the tango technically is is definitely more
[00:52:39.960 --> 00:52:44.200]   Um, well that's what's interesting about AR cores. It's not does not require
[00:52:44.200 --> 00:52:50.760]   It's basically hardware. It's basically dumbing it down to to what what um what apples ar kit does right
[00:52:50.760 --> 00:52:56.680]   Sort of like you could see like my favorite thing about google is just how agile they are and as they tango tango tango tango
[00:52:56.680 --> 00:52:58.760]   Holy crap never mind
[00:52:58.760 --> 00:53:03.000]   No, but it's great because a lot of companies would just stick into their guns or they wouldn't be able to or they would have no buy
[00:53:03.160 --> 00:53:05.160]   In for it and they pivot so fast
[00:53:05.160 --> 00:53:13.160]   So a ar core works currently with the pixels and the s8 as long as they have android 7 or an above
[00:53:13.160 --> 00:53:18.360]   They hope by the end of the preview to get a hundred million devices. So I take it back
[00:53:18.360 --> 00:53:22.440]   I mean if if ar core can convince developers to create apps
[00:53:22.440 --> 00:53:25.160]   Uh google will be a player
[00:53:25.160 --> 00:53:27.240]   compare the challenge
[00:53:27.240 --> 00:53:31.880]   The challenge that we're going to see in two weeks is um is that if ar you know
[00:53:32.040 --> 00:53:35.080]   This is this definitely opens it up for for android
[00:53:35.080 --> 00:53:42.200]   Uh or for that kit the the challenges of apple releases a phone that has the you know, um some version of of of
[00:53:42.200 --> 00:53:50.280]   Distance measurement that that is already in the tango then you end up in this kind of weird position where you know apple may not have shown all their cards
[00:53:50.280 --> 00:53:53.880]   At wwc and suddenly shows oh by the way, you can do all of that too
[00:53:53.880 --> 00:53:57.320]   You know and I think that that is the that's the real and then that puts kind of
[00:53:58.280 --> 00:54:02.920]   uh, you know, you suddenly have millions and millions of phones going out that are able to do all of those things and
[00:54:02.920 --> 00:54:08.040]   You know, uh because the the ar kit stuff that is pretty pretty limited
[00:54:08.040 --> 00:54:13.720]   Like what you can do, you know, like like when you look at the ar kit and and this what you can actually get done and
[00:54:13.720 --> 00:54:16.520]   And figure out where you are in a space and so on so forth
[00:54:16.520 --> 00:54:20.520]   I mean tango is the right direction. That's where everyone's going to end up because of the hardware
[00:54:20.520 --> 00:54:25.000]   Yeah, you need to know exactly where you are people can talk about image recognition and everything else
[00:54:25.000 --> 00:54:31.720]   But but you know that the the part that is is really needed is I need to be able to have a 3d representation of the space that i'm looking at
[00:54:31.720 --> 00:54:34.280]   You know or and then I have to be able to have a
[00:54:34.280 --> 00:54:39.160]   Uh something that can see that 3d information and then match those two together and be able to lock in on it
[00:54:39.160 --> 00:54:41.800]   And so and there's a bunch of bits and pieces to that
[00:54:41.800 --> 00:54:46.840]   But but that is the the challenge right now is that ar kit doesn't do that very well tango does it great
[00:54:46.840 --> 00:54:52.600]   But no one has it so there we're kind of in this kind of you know, uh slow moving morass where in two years
[00:54:52.760 --> 00:54:57.320]   Everyone's going to have it on every phone that's being released and it's going to be something that is part of what we do
[00:54:57.320 --> 00:55:01.800]   Um, but right now it's it's still a moving, you know a fast moving thing
[00:55:01.800 --> 00:55:02.760]   I think that
[00:55:02.760 --> 00:55:06.600]   Google did exactly what they needed to do which was make this easier to develop for make it easier
[00:55:06.600 --> 00:55:11.480]   You know make it more available so that developers had an actual audience to to absorb it
[00:55:11.480 --> 00:55:15.160]   So I think it makes sense, but I think that the hard part the hard pickle that they're going to be in is if apple
[00:55:15.160 --> 00:55:19.000]   Release is something that actually gets that 3d data. If they don't then it's fine. They do
[00:55:19.640 --> 00:55:26.200]   Well, if apple does it'll only be on the uh, iPhone pro and of course apples ar kit works on everything from what five s and later
[00:55:26.200 --> 00:55:32.280]   Right, and that's it. Yeah, exactly. Yeah, and this this is all great news for for ar in general
[00:55:32.280 --> 00:55:37.240]   It is now because it because it solves a problem that i'm sure a lot of developers
[00:55:37.240 --> 00:55:41.080]   We're having that if we want to put a lot of money in developing this ar app
[00:55:41.080 --> 00:55:43.160]   We have this great idea for an ar app
[00:55:43.160 --> 00:55:46.040]   Are we going to limit ourselves to just the iphone market now?
[00:55:46.280 --> 00:55:49.880]   It's not it's not like there's one industry standard that's so they can reuse all their code
[00:55:49.880 --> 00:55:54.200]   But it means that if we have this great idea that that conceptually works with ar kit
[00:55:54.200 --> 00:55:56.360]   It will also work in this other well
[00:55:56.360 --> 00:56:00.920]   Set of apis for this kind of crass plug because it uses it works with unity in the unreal engines
[00:56:00.920 --> 00:56:05.240]   So if you're working on what everyone's developing in right you're for ar kit
[00:56:05.240 --> 00:56:11.160]   They also are doing a web component in there so they'll that will work across ar kit and ar core
[00:56:11.160 --> 00:56:13.800]   Uh, so if i want to take my website
[00:56:14.360 --> 00:56:16.840]   Someone take my iMac out for vr. I can just load up
[00:56:16.840 --> 00:56:23.720]   I love this and I don't know if this is what this demo is but imagine playing crossy road on the actual street
[00:56:23.720 --> 00:56:25.000]   Yeah
[00:56:25.000 --> 00:56:33.000]   Front that would be fun. Isn't it kind of interesting that so so many if not most of these ar core demos are outside in natural lighting
[00:56:33.000 --> 00:56:38.200]   You're as most of the ar kit demos i've seen have been just like what we're looking at right now
[00:56:38.200 --> 00:56:40.120]   Here is a table here is something on the table
[00:56:40.200 --> 00:56:45.720]   Yeah, or here is even though even the developer demos are here is a hallway here is what's happening inside the hallway, right?
[00:56:45.720 --> 00:56:49.160]   Well, hey, you know, this is good for ar
[00:56:49.160 --> 00:56:54.680]   Google and apple is all in all in yeah, right? They just don't go outside much. That's right
[00:56:54.680 --> 00:57:01.240]   Uh, what other rumors are we hearing three gigs of ram that seems not you know, not on sub?
[00:57:01.240 --> 00:57:05.720]   Oh, here's one. I think that already. Yeah, that's not that that's not anything new
[00:57:05.720 --> 00:57:10.040]   Uh talking about nothing new this seven s will use the a11 chip
[00:57:10.120 --> 00:57:11.640]   That's uh, yep
[00:57:11.640 --> 00:57:13.640]   Okay, is that uh, okay
[00:57:13.640 --> 00:57:17.560]   Will there be a different chip for the iphone pro?
[00:57:17.560 --> 00:57:20.200]   I don't think it needs it. I mean, I'm
[00:57:20.200 --> 00:57:25.000]   Right now portrait mode is the only thing that pegs in a 10 and if apple keeps getting the performance gains it gets
[00:57:25.000 --> 00:57:29.720]   Generation over generation with this chip. I'll be hard it'll just be computational photography
[00:57:29.720 --> 00:57:32.920]   Maybe the ar overhead will benefit but then I think that will just be
[00:57:32.920 --> 00:57:38.120]   That will just maximize the usage of that chip and everything else will follow it makes sense apple will say hey
[00:57:38.120 --> 00:57:40.120]   You're not gonna get a lower performing phone
[00:57:40.120 --> 00:57:45.400]   No, it's just different hardware capabilities on the pro and the x variants usually just throw extra
[00:57:45.400 --> 00:57:47.480]   You know, it's just their bigger dies and throw more
[00:57:47.480 --> 00:57:53.640]   More resources like more graphics cores at it and I don't think you'd need that so it would be a 11 across all three phones
[00:57:53.640 --> 00:57:56.840]   Yes
[00:57:56.840 --> 00:57:59.160]   I think that makes sense. I mean they could do a custom chip
[00:57:59.160 --> 00:58:03.720]   But I think that's a lot of investment for what was gonna be a small a small bat a smaller batch phone
[00:58:05.320 --> 00:58:12.360]   Will we see iOS 11 on September 12th at the same time? We will right? I mean I'm sure the gold master should be out
[00:58:12.360 --> 00:58:15.560]   They should announce the developer gold master for that date. Okay
[00:58:15.560 --> 00:58:18.920]   And then available like that friday
[00:58:18.920 --> 00:58:22.440]   To download they'll push it out to everybody
[00:58:22.440 --> 00:58:28.680]   Is it ready for the iPhone it works fine on the iPad, but is it ready for the iPhone Renee? You've been using on the iPhone, right?
[00:58:28.680 --> 00:58:30.200]   Yeah, I mean again
