
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[01:50:06.300 --> 01:50:11.740]   Now apple can't hide from now who loves how long this will last but apple did pull down the link on its site
[01:50:11.740 --> 01:50:14.940]   But if you go to mac rumors and you search for messages beta
[01:50:14.940 --> 01:50:20.620]   Um, they have a link. I just downloaded it and it is in fact the link to the beta of messages if you should want it
[01:50:20.620 --> 01:50:22.300]   It's kind of a little bit funky
[01:50:22.300 --> 01:50:24.620]   Uh, and of course we'll get it sometime in the next few weeks
[01:50:24.620 --> 01:50:30.140]   Any predictions as before we go as to when we'll get mountain lion and he do you have any inside information?
[01:50:30.140 --> 01:50:34.060]   I don't have any inside information, but i'm guessing the last week in deli
[01:50:34.140 --> 01:50:39.260]   The wait till the last possible minute. I think I think they're gonna they're there there's some prop there's some
[01:50:39.260 --> 01:50:45.580]   Serious problems that i'm aware of that make me think that it's not going to be late
[01:50:45.580 --> 01:50:47.420]   But that they're going to need every day that they have right
[01:50:47.420 --> 01:50:48.940]   Right
[01:50:48.940 --> 01:50:50.860]   All right. Well just checking
[01:50:50.860 --> 01:50:52.700]   Alex lindsey so i said you're gonna be here next week too
[01:50:52.700 --> 01:50:57.900]   I am and then no off again to i'm actually as soon as i finish the show right next week i get on the plane to london
[01:50:57.900 --> 01:51:00.620]   Like i'm just literally just gonna like there's a carway
[01:51:00.620 --> 01:51:04.380]   Apartment and loner you stay in a hotel. I have a flat. Yeah, i was gonna say you might want you there all the time
[01:51:04.380 --> 01:51:07.100]   We have a flat right off a victoria station. Oh, it's it's awesome
[01:51:07.100 --> 01:51:09.900]   Are you gonna keep it for a little while we're keeping it for six months and we're gonna see how it goes
[01:51:09.900 --> 01:51:12.220]   And we'll go visit and we have a lot of we were doing a lot of stuff in yet
[01:51:12.220 --> 01:51:15.740]   Hey, Andy that's perfect. I just thought of it
[01:51:15.740 --> 01:51:16.700]   Andy
[01:51:16.700 --> 01:51:20.300]   You've got all those miles. He's got a flat in london. I have a flat in london. Oh
[01:51:20.300 --> 01:51:23.180]   And you know from london you get it
[01:51:23.180 --> 01:51:29.500]   The thing is if we couch it in terms of we're afraid that it might that hooligans might be breaking in
[01:51:29.500 --> 01:51:33.900]   Yes, rampaging. I could help you out by staying there for three to nine weeks
[01:51:33.900 --> 01:51:38.140]   If there was just some way that we could have someone take care of that space for us, Andy
[01:51:38.140 --> 01:51:40.700]   Same way. Do you have a pet? You need to
[01:51:40.700 --> 01:51:44.380]   No, we'll we'll we'll talk all right all right
[01:51:44.380 --> 01:51:49.980]   By the way clay sizak sin has said us tell gives us more details that is a fully functional
[01:51:49.980 --> 01:51:54.060]   512 ke mac and tosh from 1986
[01:51:54.060 --> 01:51:57.660]   That we saw sitting there. It's not under glass. It works
[01:51:58.300 --> 01:52:03.100]   Couple more here's matthew his standing desk in north carolina. I like the idea of standing desks
[01:52:03.100 --> 01:52:05.100]   I think that's great
[01:52:05.100 --> 01:52:09.900]   Uh, I like the idea of standing desks. I just don't like the idea of standing here's what terry terry's
[01:52:09.900 --> 01:52:11.580]   Terry's
[01:52:11.580 --> 01:52:13.580]   I have to buy that extra high director's chair
[01:52:13.580 --> 01:52:19.500]   This is terry's dog lola tampa 58 inch samson you look good, Andy with your go pro
[01:52:19.500 --> 01:52:24.860]   That's how quickly that these guys are getting these up will kelly is watching mac break weekly
[01:52:25.580 --> 01:52:31.500]   From his desk where he has two laptops and a screen in the middle and a star trek mug
[01:52:31.500 --> 01:52:36.780]   Moved it and here is from somebody who shall remain nameless
[01:52:36.780 --> 01:52:39.580]   iOS 6 wireless beaming
[01:52:39.580 --> 01:52:43.660]   Allow other iOS devices with iPhoto to beam photos to you
[01:52:43.660 --> 01:52:47.020]   This is something you can do on the samson galaxy s3 right now
[01:52:47.020 --> 01:52:50.300]   If somebody else has a samson galaxy s3, but this will work with all
[01:52:50.300 --> 01:52:54.860]   iOS devices without this photo beaming both the photos also
[01:52:55.100 --> 01:52:59.740]   Also works with iPhoto on iOS. That's a built-in feature. Yeah, that's right. That's right
[01:52:59.740 --> 01:53:02.540]   Um, here's a guy sits on a ball
[01:53:02.540 --> 01:53:05.420]   It's just koi wagner
[01:53:05.420 --> 01:53:08.780]   What a great nice people watching us. Thank you all for watching the show
[01:53:08.780 --> 01:53:11.740]   I think we're gonna have to make a new show
[01:53:11.740 --> 01:53:14.300]   Just people watching us
[01:53:14.300 --> 01:53:16.300]   I've always wanted, you know, because when you look at a camera
[01:53:16.300 --> 01:53:22.620]   You're looking into a black hole. I've always wanted to know what was on the other side and now I know I could see you
[01:53:23.420 --> 01:53:27.100]   I think you should be a little section every every every time every uh week
[01:53:27.100 --> 01:53:29.180]   But we just have I think it's a great one
[01:53:29.180 --> 01:53:33.580]   Or ever if we ever had a price to give away we could use like uh, we could use a uh, like a
[01:53:33.580 --> 01:53:41.340]   Like a let's make a deal sort of thing say we have a brand new macbook pro for whoever has a desktop with
[01:53:41.340 --> 01:53:45.180]   With a photo of kirk camera and has a desktop picture
[01:53:45.180 --> 01:53:48.300]   three hard-boiled eggs on the keyboard
[01:53:49.900 --> 01:53:52.460]   And and they don't worry be happy to hear it
[01:53:52.460 --> 01:53:57.660]   And if you're watching us in the john, I don't want to see you, but I do see I see rusty
[01:53:57.660 --> 01:54:00.140]   And I see john
[01:54:00.140 --> 01:54:04.940]   And I see let's see john. I see john and I see dave
[01:54:04.940 --> 01:54:08.220]   I feel like miss nancy and romper room and I see jay
[01:54:08.220 --> 01:54:11.020]   Look at that, but what is this dave is doing something wild there?
[01:54:11.020 --> 01:54:16.460]   Uh, and I see and I see jay. Hello jay, and I see glenn
[01:54:17.420 --> 01:54:22.060]   Uh, stacy says yay my desk just appeared on mac break weekly and they said I was tidy
[01:54:22.060 --> 01:54:34.140]   11am pacific 2pm eastern time 1800 utc on twos days
[01:54:34.140 --> 01:54:37.580]   We are so glad you join us live. We'd love it if you do, but you know
[01:54:37.580 --> 01:54:44.300]   We make an on-demand version available both audio and video high quality smaller for mobile devices
[01:54:44.620 --> 01:54:49.900]   Whatever you need just go to twit.tv/mbw you could find it. You could subscribe to it. It's an iTunes
[01:54:49.900 --> 01:54:55.420]   It's everywhere. Please do subscribe because that way we know you're watching and we do appreciate it whenever you will watch
[01:54:55.420 --> 01:55:02.380]   Uh, makes a big difference to us. We hate to do this show for nobody. Right? Exactly. Thanks to our live studio audience too
[01:55:02.380 --> 01:55:04.380]   We appreciate your visiting. It's great to have you
[01:55:04.380 --> 01:55:06.540]   Um
[01:55:06.540 --> 01:55:11.740]   Coming up twit photo with kathryn hall before you buy 26 if you want to see more on that go pro 2
[01:55:12.540 --> 01:55:15.740]   Uh at tnt's now at tasha mentioned this at 10am
[01:55:15.740 --> 01:55:19.980]   So if you just if you're tuning in and you want to watch tnt this afternoon tech news today has moved
[01:55:19.980 --> 01:55:22.220]   It's before the shows at 10am pacific
[01:55:22.220 --> 01:55:25.340]   Uh 1pm eastern time 1700 utc
[01:55:25.340 --> 01:55:27.820]   So we can get it to you a little earlier in the day
[01:55:27.820 --> 01:55:31.340]   We are going to take the day tomorrow off because in the us it's something we know as
[01:55:31.340 --> 01:55:34.380]   Independence day and uh
[01:55:34.380 --> 01:55:36.860]   Alex is firing up the big green tomato
[01:55:36.860 --> 01:55:41.180]   It's like it's an egg egg. It's a I'm just sous vide
[01:55:41.900 --> 01:55:46.620]   sous vide uh try tip in then into the egg. Oh good 800 degrees
[01:55:46.620 --> 01:55:52.940]   Just just as the green mountain boys, uh and whereas they took to the hills used to grill eggs
[01:55:52.940 --> 01:55:57.260]   Yes, you know to sustain them during the long long, you know, you're making it conflict
[01:55:57.260 --> 01:55:59.980]   You're making fun of this, but i'm telling you the big green egg is the mac
[01:55:59.980 --> 01:56:02.620]   of barbeque
[01:56:02.620 --> 01:56:04.940]   And to a bruise s who's saying you should have two tnt's a day
[01:56:04.940 --> 01:56:07.580]   We are actually probably going to do a news update in the afternoons
[01:56:07.580 --> 01:56:11.020]   We've been talking about having i as do a quick news update in case anything breaks
[01:56:11.020 --> 01:56:13.820]   And of course if there's big breaking news, you can always count on us going to it
[01:56:13.820 --> 01:56:18.220]   Alive and direct with our news team time. We'll be in shortton a t-shirt
[01:56:18.220 --> 01:56:25.580]   We might be you never know if something big happened tomorrow. I'd rush in I would too. I'll be I'd be right away. I'd be right here
[01:56:25.580 --> 01:56:31.260]   Thank you everybody for joining us now you get back to work wherever you're sitting. Break time is over
[01:56:31.260 --> 01:56:33.900]   Get back to the beach
[01:56:33.900 --> 01:56:43.340]   [Music]

