
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:51:05.240 --> 00:51:09.720]   You know i do that with my nest i turn the thermostat up and down i want to be able to unlock the door
[00:51:09.720 --> 00:51:13.240]   Schlage and a number of make companies don't do that you gotta make sure everyone's involved
[00:51:13.240 --> 00:51:18.520]   And when i first got the nest my my my wife went crazy because the nest was only connected to my phone
[00:51:19.320 --> 00:51:23.960]   Every time i left it would go down to 55 degrees and then i come back and i would warm up
[00:51:23.960 --> 00:51:25.960]   You know and uh
[00:51:25.960 --> 00:51:29.240]   That's the nuclear weapon and historical wife versus
[00:51:29.240 --> 00:51:33.960]   He almost started that thing off and he said it was bad fighting over the remote
[00:51:33.960 --> 00:51:39.720]   And then well here's the worst part it went it was at the exact same time our our heater went bad
[00:51:39.720 --> 00:51:41.080]   Um
[00:51:41.080 --> 00:51:44.920]   And uh it was just have i happen stands it would turn out to be a bad filter or whatever
[00:51:44.920 --> 00:51:48.040]   But the problem was is she still blames the nest yeah
[00:51:48.120 --> 00:51:50.680]   No, she still blames the nest wasn't the nest broke the heater
[00:51:50.680 --> 00:51:54.920]   I have to think that's interesting is the device dependency now when my iPhone is in charge
[00:51:54.920 --> 00:51:57.880]   I can't change my lights, you know my google phone pass
[00:51:57.880 --> 00:52:02.280]   Is a lot less valuable if i leave my phone in the car and that's around to get it or run out of batteries
[00:52:02.280 --> 00:52:07.560]   So all these devices that are satellites are now utterly dependent on that one limited battery life device in your pocket
[00:52:07.560 --> 00:52:11.880]   I I I I I have to admit because of that i i've really thought about it
[00:52:11.880 --> 00:52:15.320]   I would really prefer an iPhone that was twice as thick that would last
[00:52:15.880 --> 00:52:18.360]   iPhone max three or four times longer. I mean you have max
[00:52:18.360 --> 00:52:21.480]   I would not bother because I have a battery on it almost the whole time anyway
[00:52:21.480 --> 00:52:24.760]   You know, I mean your mind is will just give me a nice thick one with a huge battery
[00:52:24.760 --> 00:52:28.040]   You know just a huge battery on the back and twice as thick and it'll be fine
[00:52:28.040 --> 00:52:30.760]   I mean 48 hours 48 hours. That would be amazing
[00:52:30.760 --> 00:52:36.920]   Well if you think about it then maybe this is why man's fields on the on the job the hardware challenges of an eye band are
[00:52:36.920 --> 00:52:43.240]   Significant easy battery life flexibility durability durability touch screen that you're gonna bang into all the time
[00:52:43.240 --> 00:52:47.640]   You're gonna put a fingerprint reader or other biometrics into it or what kind of health wonders you're gonna put into that
[00:52:47.640 --> 00:52:51.560]   This is a very sophisticated this is probably the most sophisticated thing apple's ever made
[00:52:51.560 --> 00:52:55.240]   Yeah, I have a friend who I won't name but they're a health care professional
[00:52:55.240 --> 00:52:58.920]   And you know, they can't pull their phone out of the pocket to glance a text message even if they're urgent
[00:52:58.920 --> 00:53:02.920]   But when they have a pebble now and they can just quickly glance at it while they're with a patient
[00:53:02.920 --> 00:53:05.080]   And it doesn't look rude doesn't look like they're checking their phone
[00:53:05.080 --> 00:53:09.240]   But they if there is an emergency they're aware now of what's going on around them and it makes a huge difference
[00:53:09.240 --> 00:53:13.080]   Just to project notifications from your pocket onto your wrist
[00:53:13.320 --> 00:53:15.320]   I really want uh
[00:53:15.320 --> 00:53:20.920]   This all to be wet wear it's it's really she just all be and this is one of the things that glass actually does very smart
[00:53:20.920 --> 00:53:25.000]   They have that bone conduct and speaker you hear it and it's surprisingly clear
[00:53:25.000 --> 00:53:29.720]   But not nobody can hear it right and I just think if please drill a hole in my skull. I don't care
[00:53:29.720 --> 00:53:32.280]   I'm ready. I'm ready. I won't be the first
[00:53:32.280 --> 00:53:34.920]   Scott boy
[00:53:34.920 --> 00:53:36.920]   In seattle was scotted he was like
[00:53:36.920 --> 00:53:41.080]   He he had applied somewhere actually for someone to put like a 232 like an artist
[00:53:41.480 --> 00:53:45.480]   To in his head and I was like you might want to wait until that yeah, that seems a little
[00:53:45.480 --> 00:53:50.520]   Premature but he was but scot was thinking that far out. I want a serial cord. Whatever
[00:53:50.520 --> 00:53:56.280]   It's good. You didn't get it. I want a serial port. I have usb 2 in my head. No, that's you're out of date now
[00:53:56.280 --> 00:53:58.520]   three
[00:53:58.520 --> 00:54:02.280]   I'm waiting for no underbolt. You don't you don't want to know where the scuzzy terminator goes
[00:54:02.280 --> 00:54:10.440]   Yeah, so really that's I mean, but truthfully, that's the end point, right? That's where we're headed and it's not in our lifetime
[00:54:10.440 --> 00:54:15.080]   But that's where we're headed. I know you're younger than me, but I think it's not my lifetime
[00:54:15.080 --> 00:54:21.400]   I'm sure but but I do think that that's where we want to do what we want to do is we ultimately want to internalize
[00:54:21.400 --> 00:54:24.760]   The intelligence we want to we want an internet connected brain
[00:54:24.760 --> 00:54:27.720]   I think connected to all of our internet connected devices
[00:54:27.720 --> 00:54:31.800]   Well, I think that I think that we we slowly want to keep on adding what we do in reality reality
[00:54:31.800 --> 00:54:35.080]   reality and then we're gonna just start creating virtual reality that looks like just like the reality
[00:54:35.080 --> 00:54:39.240]   Well, that's what happened. We're in that already that happened. I think you remember
[00:54:40.040 --> 00:54:44.440]   I think it's just the opposite. I think the ultimate goal is to
[00:54:44.440 --> 00:54:48.200]   cause the cause our technology to retreat
[00:54:48.200 --> 00:54:56.040]   So far back that now we are not a people a nation of people who are looking at something on a watch or looking or taking out a
[00:54:56.040 --> 00:55:02.520]   Phone in a pocket or anything like that that there's just a little tiny little like only like almost almost like an actual pebble
[00:55:02.520 --> 00:55:07.720]   Inside your pocket that just simply does a little bit of a pulse and say that oh by the way
[00:55:07.720 --> 00:55:10.600]   There was something going on you told me you want me you wanted to be informed about
[00:55:10.600 --> 00:55:15.080]   This is the point at which if you want to distract yourself away from what you're writing or what you're doing
[00:55:15.080 --> 00:55:17.400]   This is where this is the time of which you want to look at that electronic
[00:55:17.400 --> 00:55:21.720]   Voices in my head and I want to be able to talk to them back, but maybe not out loud
[00:55:21.720 --> 00:55:23.400]   But that's what you want, right? Right?
[00:55:23.400 --> 00:55:25.240]   I want to say Leo your mom called
[00:55:25.240 --> 00:55:30.440]   Yeah, and because you're busy by the way, this is exactly that knowledge navigator video john scully made
[00:55:30.440 --> 00:55:35.080]   Right, uh leo your mom called and I knew you were busy doing Mac break weekly
[00:55:35.080 --> 00:55:40.840]   So I said mom leo loves you and he's gonna call you as soon as he can I can't
[00:55:40.840 --> 00:55:43.800]   And then I'll say thank you how
[00:55:43.800 --> 00:55:49.560]   No, no, that's why I know what you really is you walk up to someone and it goes and you hear little voices bob
[00:55:49.560 --> 00:55:51.720]   Yes
[00:55:51.720 --> 00:55:55.000]   Ask about joe joe. It's how's jarvis from ironman
[00:55:55.000 --> 00:55:58.520]   That's what we all want is that jarvis system from right blue and sharp
[00:55:59.480 --> 00:56:05.800]   After you after wearing a glass for about a month. It really occurred to me that if someone made a really decent bone conductive
[00:56:05.800 --> 00:56:12.680]   A bluetooth headset where something like what you're wearing right now leo where no, it's very it's really difficult for someone to tell
[00:56:12.680 --> 00:56:15.160]   You're wearing an earpiece, but I don't want something to go inside my ear
[00:56:15.160 --> 00:56:21.240]   I just want it'll just it can hang off of my ear be hidden by the back of it so that I can walk I can talk
[00:56:21.240 --> 00:56:23.480]   Nobody knows i'm wearing this also
[00:56:23.480 --> 00:56:29.400]   My actual ear canal is open so that I can be walking through the taking this wonderful nature walk and be hearing the birds
[00:56:29.400 --> 00:56:33.720]   Without anything impeding that and just simply has the ability to again
[00:56:33.720 --> 00:56:36.680]   Put a little bug in my ear and say oh by the way
[00:56:36.680 --> 00:56:41.400]   You wanted to know that the that the that the darth vader ceramic mug
[00:56:41.400 --> 00:56:47.320]   That's auction Ebay is about to expire so I want you want me to tell you that and also a mackephone where you could simply say
[00:56:47.320 --> 00:56:49.000]   uh, you know
[00:56:49.000 --> 00:56:53.240]   Where where is the memorial to george robert shaw inside this park
[00:56:53.240 --> 00:56:58.920]   And from the context it will tell you that it can tell you where you are and we'll simply say that it is
