;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[00:57:25.400 --> 00:57:27.480]   It's dimmed. It's just not off
[00:57:27.480 --> 00:57:29.880]   Yeah, so
[00:57:29.880 --> 00:57:32.040]   Here
[00:57:32.040 --> 00:57:33.720]   filter
[00:57:33.720 --> 00:57:34.680]   So
[00:57:34.680 --> 00:57:39.240]   There's this this is the one that I've got turned on right now and you should see in this options
[00:57:39.240 --> 00:57:44.520]   Section right underneath the customization. There should be an option that says sleep screen and show time
[00:57:44.520 --> 00:57:49.240]   And that says that's another options see that I was doing the first options
[00:57:49.320 --> 00:57:56.600]   Okay. Yeah, this is a new option sleep screen. This simplifies your phone lock screen to reduce distractions
[00:57:56.600 --> 00:57:59.240]   Yeah, so that's while you're winding down
[00:57:59.240 --> 00:58:03.640]   That will make it so that those uh that not as much as an off notifications
[00:58:03.640 --> 00:58:09.560]   It should then once you have locked your phone and it's charging it should turn off the phone completely
[00:58:09.560 --> 00:58:13.640]   Yes, or the display completely. Okay, so I don't have to choose a sleep
[00:58:13.640 --> 00:58:16.280]   Screen it will I will have it be
[00:58:16.920 --> 00:58:21.800]   Yeah, we'll try that tonight. We'll try that tonight. Okay. Yeah fingers crossed. Yeah
[00:58:21.800 --> 00:58:24.920]   Well yours is doing it. So it must be it must be possible
[00:58:24.920 --> 00:58:28.200]   Yeah, okay. Yeah, okay, and it is it is
[00:58:28.200 --> 00:58:35.240]   It adds so much value to this device particularly when you get dialed in correctly when they they do when they do it really well enough
[00:58:35.240 --> 00:58:40.840]   It's the it's illuminated just enough so that you can you can almost just see it through peripheral vision
[00:58:40.840 --> 00:58:42.920]   Like not through the cones of your eyes
[00:58:42.920 --> 00:58:46.680]   But like the color insensitive light more sensitive rods in your eyes
[00:58:46.680 --> 00:58:49.800]   And that's when like the times in the middle of the night where you wake up for a sec
[00:58:49.800 --> 00:58:52.120]   You just want to know oh damn I woke up
[00:58:52.120 --> 00:58:55.560]   Do I is is there any point to going back to sleep or not?
[00:58:55.560 --> 00:58:57.720]   And or gee my phone just made a noise
[00:58:57.720 --> 00:59:03.480]   But it's not supposed to make a noise is there an alert that I really need to pay attention to and these and all and always on display
[00:59:03.480 --> 00:59:09.160]   Uh, even when like if there's nothing to notify you about is really enhances the thing
[00:59:09.160 --> 00:59:16.120]   It turns into a smart display and when you talk about devices that you spend like six seven eight hundred a thousand twelve hundred dollars for
[00:59:16.120 --> 00:59:19.880]   That extra piece of value of this thing that's always going to be on your nightstand anyway
[00:59:19.880 --> 00:59:22.040]   It's just a really really great thing to have
[00:59:22.040 --> 00:59:25.800]   All right, it's all on you mica tonight's the night
[00:59:25.800 --> 00:59:29.640]   Yes
[00:59:29.640 --> 00:59:33.000]   You know in the morning
[00:59:33.000 --> 00:59:35.080]   Let's take a little break
[00:59:35.080 --> 00:59:37.160]   You're watching Mac break weekly Andy and not co
[00:59:37.160 --> 00:59:46.040]   My cusargent filling in for Jason Snell as the day off. Alex is also out and we're very grateful to Steven roblas from uh apple insider
[00:59:46.040 --> 00:59:48.120]   He filled in until his power
[00:59:48.120 --> 00:59:54.280]   His power went off our show today brought to you and I presume john ashley you're an expert in this
[00:59:54.280 --> 01:00:02.760]   By the new tech tricaster to elite that's what we do with all of our production the most complete live production system on the planet
[01:00:03.160 --> 01:00:10.280]   And some new features that have just recently come out new tech as you might know offers a full line of tricasters effect when we started to do video
[01:00:10.280 --> 01:00:13.320]   Wow, it's now
[01:00:13.320 --> 01:00:15.320]   About 14 years ago
[01:00:15.320 --> 01:00:18.760]   Uh, I was trying to figure out how we do this talk to Alex lensy
[01:00:18.760 --> 01:00:22.760]   He said no good a hardware switcher and I said I can't afford a hardware switcher
[01:00:22.760 --> 01:00:25.000]   So I said i'm getting a tricaster
[01:00:25.000 --> 01:00:29.000]   It was the best choice ever because as we've grown tricaster has grown
[01:00:29.640 --> 01:00:33.160]   With us so the first time out I got the you know the least expensive model
[01:00:33.160 --> 01:00:38.760]   But we've slowly improved and improved as time goes by because we have new needs new capabilities and now
[01:00:38.760 --> 01:00:45.720]   We've got the tricaster to elite. It's uh, it's an all-encompassing digital media solution designed to create content
[01:00:45.720 --> 01:00:49.000]   For the internet mobile and television distribution
[01:00:49.000 --> 01:00:56.520]   Late last year they uh unleashed an updated version of the tricaster to elite with a lot of new features the live call connect feature
[01:00:56.920 --> 01:01:02.360]   Which has been around for a while has now been added uh, support for a facebook messenger
[01:01:02.360 --> 01:01:11.880]   What's app and facetime as inputs to any production plus selectable audio and video return now enables the tricaster to elite operators to view an audio return
[01:01:11.880 --> 01:01:14.840]   Just like any other output allowing greater flexibility
[01:01:14.840 --> 01:01:18.440]   They have this new neural voice isolation tool
[01:01:18.440 --> 01:01:23.560]   That cleans up the audio automatically is using ai it can cancel or reduce background noise
[01:01:23.960 --> 01:01:27.880]   Automatically detect voices maintains your of course audio
[01:01:27.880 --> 01:01:32.200]   Quality it's interesting because you think tricaster is all about video, but no they realize
[01:01:32.200 --> 01:01:40.040]   And they're absolutely right audio is very very important. So they have very very good audio support lots of new
[01:01:40.040 --> 01:01:47.080]   features flexibility power, but still simple enough for even an idiot like me to use
[01:01:47.080 --> 01:01:48.680]   In fact
[01:01:48.680 --> 01:01:53.480]   One of the ways they make it simple is macros and now they've got variable support and macros
[01:01:53.880 --> 01:01:57.400]   John and others will program the macros for me so I can go in my office
[01:01:57.400 --> 01:02:04.680]   And do stuff with just a simple key press makes it so much easier for me to do the lower thirds to do all sorts of stuff that I
[01:02:04.680 --> 01:02:09.480]   Really i'm not going to be able to do on my own. It's a dynamic and powerful tool
[01:02:09.480 --> 01:02:16.520]   Allows operators now to nest macros to deliver complex productions more easily the tricaster to elite now supports
[01:02:16.520 --> 01:02:21.080]   encoding three channels and anything from hd to uhd at the same
[01:02:21.640 --> 01:02:29.880]   Time which is really awesome. They've also brought the live panel builder into the tricaster meaning you can create your own user interfaces
[01:02:29.880 --> 01:02:35.560]   Customize each preset within the user interface again a great way to have it set up
[01:02:35.560 --> 01:02:41.720]   Just right for the production you're doing and if you've got distributed workflows it makes them simpler more cohesive
[01:02:41.720 --> 01:02:45.480]   And of course you never compromise on quality with the tricaster. It's the best
[01:02:45.480 --> 01:02:48.680]   That's why so many television channels
[01:02:49.800 --> 01:02:52.120]   local sports churches
[01:02:52.120 --> 01:02:55.400]   Use the tricaster. It's a
[01:02:55.400 --> 01:02:57.400]   transformative
[01:02:57.400 --> 01:02:59.400]   technology better than broadcast
[01:02:59.400 --> 01:03:05.960]   That since it's arrival in 2020 tricaster 2 elite has offered an incredibly powerful life production system
[01:03:05.960 --> 01:03:09.560]   For almost any kind of streamer and broadcaster
[01:03:09.560 --> 01:03:14.280]   And the very latest updates have just added add even more power. I love it
[01:03:14.280 --> 01:03:16.920]   uh, the nd i gen lock tool
[01:03:17.560 --> 01:03:21.000]   Allows tricaster to elite users to match outputs to a common sync pulse
[01:03:21.000 --> 01:03:25.480]   So it makes it very easy to sync up your video for pinpoint accuracy
[01:03:25.480 --> 01:03:30.600]   Great, you can use it for remote workflows even alpha channel can be sent through one of the mix outs
[01:03:30.600 --> 01:03:37.960]   Which brings post production closer to live users can use the keying on a tricaster feed graphics or real-time 3d creation tools
[01:03:37.960 --> 01:03:42.120]   Uh, I don't even know what i'm saying our team does and that's the important part
[01:03:42.120 --> 01:03:45.480]   They are really good and don't forget the tricaster one pro
[01:03:46.040 --> 01:03:53.480]   It's an evolution in modern storytelling for producers content creators and publishers with future ready capabilities stream-lined
[01:03:53.480 --> 01:03:57.320]   video production system live video production system
[01:03:57.320 --> 01:04:01.000]   Including live call connect support for 4k uhd switching
[01:04:01.000 --> 01:04:03.560]   Live streaming recording and data driven
[01:04:03.560 --> 01:04:07.000]   Yeah, when we started with a tricaster 4k was just a twinkle
[01:04:07.000 --> 01:04:12.360]   In an engineer's eye and now it's everywhere explore the latest in the tricaster
[01:04:12.840 --> 01:04:20.360]   Family if i'll tell you the best thing to do because everybody's needs are different visit go dot new tech dot com slash twit
[01:04:20.360 --> 01:04:22.120]   dash tv
[01:04:22.120 --> 01:04:27.480]   Go dot new tech dot com slash twit dash tv
[01:04:27.480 --> 01:04:33.800]   There's an easy to use interactive guide there that let you go through it and figure out which tricaster is right for you
[01:04:33.800 --> 01:04:39.160]   Just press that big start button go dot new tech dot com slash twit dash tv. Thank you new tech
[01:04:39.880 --> 01:04:45.720]   Tricaster for making our productions sing we couldn't do it without you. We really really appreciate it
[01:04:45.720 --> 01:04:49.640]   I don't know if this is a one-off
[01:04:49.640 --> 01:04:54.600]   Uh, or if there's a problem here. This is from a sub stack
[01:04:54.600 --> 01:04:57.320]   Uh newsletter called the runners newsletter
[01:04:57.320 --> 01:05:06.360]   Uh, and it's one guy, but he did a analysis with a lot of technology on the apple watch
[01:05:07.080 --> 01:05:13.560]   And how it measures stride and running and one thing he found he coined the term erratic mode
[01:05:13.560 --> 01:05:17.320]   Yeah, it gives you some idea of the problem
[01:05:17.320 --> 01:05:19.240]   Uh
[01:05:19.240 --> 01:05:22.600]   The biggest issue since watch os 8 is that it runs most of the time
[01:05:22.600 --> 01:05:25.320]   In what i call erratic mode
[01:05:25.320 --> 01:05:29.240]   Um, now he says he's able to get it to settle down
[01:05:29.240 --> 01:05:34.760]   For instance, if he pauses he has to cross a busy street and his running one of the reasons he
[01:05:35.160 --> 01:05:38.760]   He noticed this is because he does the exact same run
[01:05:38.760 --> 01:05:44.280]   All the time a 9.7 kilometer run through busy areas of a city
[01:05:44.280 --> 01:05:47.080]   Uh trees and water
[01:05:47.080 --> 01:05:55.080]   Uh, nikey usually logged between 9.6 and 9.8 kilometers, but sometimes had weird swings when I started using apple's workout app with watch os 7
[01:05:55.080 --> 01:05:57.560]   Results were similar
[01:05:57.560 --> 01:06:03.160]   The first 50 to 150 meters had tracking issues like it was getting started, but most of the time everything worked okay with some
[01:06:03.560 --> 01:06:08.440]   Weird measurements down then since watch os 8 i've had a lot of issues that tracking my runs
