;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[00:54:24.420 --> 00:54:31.140]   Publish it without any without having to figure anything out that they're gonna handle the the um protection of it
[00:54:31.140 --> 00:54:37.460]   They're gonna handle the order. They're gonna handle, you know, all of that stuff being handled for you and infrastructure essentially a webpage
[00:54:37.780 --> 00:54:39.940]   Like all of that. You know, that's what we're not talking about
[00:54:39.940 --> 00:54:42.500]   Also
[00:54:42.500 --> 00:54:47.060]   Also, we're not talking about is that apple has driven the price down for apps to the point where
[00:54:47.060 --> 00:54:50.420]   If you have an app that deserves to be a hundred dollars or two hundred dollars
[00:54:50.420 --> 00:54:52.500]   You're just not gonna put it. You're not gonna do it on
[00:54:52.500 --> 00:54:54.020]   on a
[00:54:54.020 --> 00:54:55.060]   mobile, right?
[00:54:55.060 --> 00:54:56.020]   Oh, yeah, but
[00:54:56.020 --> 00:54:59.700]   You have to you have to do affinity photo. You can't charge more than 30 bucks for it
[00:54:59.700 --> 00:55:03.300]   Even if I know developers that are making good money at 50 dollar apps on ios
[00:55:03.300 --> 00:55:05.460]   Yeah, but there's a that's kind of the limit
[00:55:06.100 --> 00:55:09.300]   Sure, but but you're also when I when I sold software
[00:55:09.300 --> 00:55:15.940]   I knowingly had software that was I knew that was being pirated a hundred one. So sure. I'm I am
[00:55:15.940 --> 00:55:22.180]   I am selling it at 200. You don't have to worry because I don't but there's no piracy on the app store
[00:55:22.180 --> 00:55:24.740]   Yeah, so I could I could have sold it for 20 bucks
[00:55:24.740 --> 00:55:27.380]   Yeah, you know or half or whatever I could have sent a 20
[00:55:27.380 --> 00:55:33.620]   I could have sold db mat for 20, you know, 20 bucks a copy if I knew that it wasn't being pirated
[00:55:33.940 --> 00:55:38.980]   You know and and all of that stuff I would have handed that management off in a second for 15 for
[00:55:38.980 --> 00:55:42.260]   For 15 percent, which is what I weigh. I never made a million dollars a year on it
[00:55:42.260 --> 00:55:44.260]   so so the so the
[00:55:44.260 --> 00:55:49.300]   So that you know the thing is is that apple would have been a godsend for that. We need to put that together, you know, right?
[00:55:49.300 --> 00:55:55.460]   I think as a model as a developer, that's the lens I look through is that it would have been a lot better if
[00:55:55.460 --> 00:56:01.380]   It's a model that it is definitely good for some large number of developers obviously, right most
[00:56:01.940 --> 00:56:06.340]   Well, not most because there a lot of apps also appear on Android, which is not as
[00:56:06.340 --> 00:56:10.100]   I'm saying most developers on the iOS. I mean
[00:56:10.100 --> 00:56:16.900]   Remember we see 30 percent are at step so 70 percent are happy with what they have so most most developers are happy with what they
[00:56:16.900 --> 00:56:23.460]   Boy, you cannot hold you you cannot hold on to a dictatorship if you're only making 70 percent of the people happy
[00:56:23.460 --> 00:56:27.140]   Unless unless you have a lot of control over the remaining 30 percent
[00:56:27.620 --> 00:56:31.940]   And you don't apple is not a company that wants to say that oh well, we have our users because
[00:56:31.940 --> 00:56:36.820]   They're they they like our quality. They like our point of view. They like our our design
[00:56:36.820 --> 00:56:41.620]   Not because we have 30 percent of our users because they have absolutely no choice on what the hell they're going to do about it
[00:56:41.620 --> 00:56:45.780]   There's also I mean just the real politic of the of the matter is
[00:56:45.780 --> 00:56:49.860]   At some point apple is going to is going to be under a lot of pressure
[00:56:49.860 --> 00:56:57.060]   Yeah in some way to to exceed to the demands of congress the ftc and the uh, eu
[00:56:57.940 --> 00:57:04.820]   I feel as though this isn't this is inevitable in some fashion that apple has has got to already have a plan for how they would
[00:57:04.820 --> 00:57:10.100]   If for lots of different ways that this could play out and all the different ways that they would incorporate
[00:57:10.100 --> 00:57:18.580]   Support for third party apps if they had to because I do think that this is where the this is where the rock slide is going for good or for ill
[00:57:18.580 --> 00:57:24.500]   And I think that apple part of apple strategy going forward is to argue it so long
[00:57:24.660 --> 00:57:30.420]   It's it's it's if you can they can keep this thing tied up as long as they possibly can they can negotiate the best terms
[00:57:30.420 --> 00:57:33.300]   They can possibly get at least in the united states time anyway
[00:57:33.300 --> 00:57:36.660]   Yeah, yeah, and they would they would much rather not have to localize
[00:57:36.660 --> 00:57:41.220]   They're they're they're fighting a battle on so many fronts. I feel so a little bit sorry for them that
[00:57:41.220 --> 00:57:50.420]   They're facing a potential world in which they're going to have to provide a localized version of iOS for every single market that they operate in
[00:57:50.660 --> 00:57:56.980]   Because governments are they sense blood. Yeah, they sense the ability to success though. Google's got the same problem
[00:57:56.980 --> 00:58:00.420]   All these big tech companies are facing this. This is the price of success
[00:58:00.420 --> 00:58:03.300]   They were going to unify the world lilyo and now we're fragmented across
[00:58:03.300 --> 00:58:08.740]   Yeah, all right. Let's take a little break come back. We got more to talk about making news lilyo. Yes
[00:58:08.740 --> 00:58:12.500]   There is some breaking news so two things we can talk about it after the break absolutely
[00:58:12.500 --> 00:58:17.620]   But one apple has pushed out a new beta and there's two really interesting things one is they've redone the safari
[00:58:18.020 --> 00:58:22.100]   um address bar again and also giving you a toggle to put it back where it used to be
[00:58:22.100 --> 00:58:24.580]   And i've also announced a share
[00:58:24.580 --> 00:58:29.620]   They've also announced a share play won't be shipping with iOS 15, but we'll be in a in a future update later in the faller
[00:58:29.620 --> 00:58:35.860]   Oh, this is good. Well, we'll talk about it when we come back rene richy youtube.com slash rene richy andy and not go
[00:58:35.860 --> 00:58:38.180]   wgbh
[00:58:38.180 --> 00:58:39.140]   from
[00:58:39.140 --> 00:58:41.140]   office hours dot global
[00:58:41.140 --> 00:58:42.260]   On the road
[00:58:42.260 --> 00:58:46.020]   Alex lindsey, you know, it'd probably be cheaper. Alex instead of getting a
[00:58:46.660 --> 00:58:49.620]   big a pelican case if you got maybe a pelican rv
[00:58:49.620 --> 00:58:53.940]   And you just you just drove down everywhere and i
[00:58:53.940 --> 00:59:00.660]   I'm just waiting for someone to give me the the electric vehicle that is just a box that is the rights that
[00:59:00.660 --> 00:59:02.820]   That's the map
[00:59:02.820 --> 00:59:06.100]   Pick a plug in the no no no no just a big no no i want a big box
[00:59:06.100 --> 00:59:10.820]   I want a big box with a monitor on the end with a with an exercise bike that folds out with a bed that folds out
[00:59:10.820 --> 00:59:13.140]   And a desk that folds out and so there are any ideas
[00:59:13.540 --> 00:59:17.540]   And I just I just it opens the door. I don't my wife was like and where would you put the windows?
[00:59:17.540 --> 00:59:18.820]   I'm like nowhere
[00:59:18.820 --> 00:59:21.060]   We got screens
[00:59:21.060 --> 00:59:26.180]   I just put put screens up. I have it and I can work and if I want to take a nap and take a nap
[00:59:26.180 --> 00:59:30.740]   If I want to exercise like an exercise and then I get to la and how fast it goes. It takes an extra hour
[00:59:30.740 --> 00:59:36.100]   It's fine. Just just I think you're wish we'll come true in the next yeah, we're going over gears for sure
[00:59:36.100 --> 00:59:38.500]   I think in the next day maybe the next time
[00:59:38.500 --> 00:59:42.980]   You know, it's funny. I just heard our call says waymo's got 99% of self-driving down
[00:59:42.980 --> 00:59:44.980]   It's that last 1%
[00:59:44.980 --> 00:59:48.740]   The thing is is that if you if you if you just say it'll work
[00:59:48.740 --> 00:59:52.660]   The problem that waymo has and the problem that some people want that you go to 100%
[00:59:52.660 --> 00:59:56.100]   Is if you just said it won't it'll only work on highways. They all
[00:59:56.100 --> 01:00:00.020]   They all kind of work. Yeah, that's what I get so if you just do it right
[01:00:00.020 --> 01:00:04.420]   I'm like gm does that now the blue cruising right yeah, that's that's the idea. Yeah
[01:00:04.420 --> 01:00:07.620]   Um just highways
[01:00:07.620 --> 01:00:12.180]   I'm actually I think I think I think soon on my car. I'm very interested to see compare it to
[01:00:12.180 --> 01:00:13.380]   I think that within
[01:00:13.380 --> 01:00:16.740]   In our lifetime probably by 2035 or 2040
[01:00:16.740 --> 01:00:21.540]   We'll probably see roads that you're not allowed to drive on like a human's not allowed to touch the car
[01:00:21.540 --> 01:00:23.540]   Like you have to let you know
[01:00:23.540 --> 01:00:28.500]   The literally you have to be disconnected because it can it can be much more efficient safer and faster
[01:00:28.500 --> 01:00:32.420]   If you just stop stop touching according to the new business week
[01:00:32.420 --> 01:00:35.220]   The the problem is traffic cones
[01:00:35.220 --> 01:00:40.500]   The 1% is traffic cones
[01:00:41.060 --> 01:00:43.060]   Anyway, let's let's take
[01:00:43.060 --> 01:00:46.980]   Let's take a little a little break our show today brought to you by
[01:00:46.980 --> 01:00:49.860]   AT&T active armor
[01:00:49.860 --> 01:00:57.300]   Uh, we rely so much on our phones these days and we're always on them whether it's you know live streaming content or catching up with family and
