;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[00:56:28.480 --> 00:56:31.760]   processor back machine with those kind of specs
[00:56:31.760 --> 00:56:38.800]   Steven sanovsky who has a checkered reputation since he was the author at microsoft of windows eight
[00:56:40.480 --> 00:56:43.040]   And left after that the back hole
[00:56:43.040 --> 00:56:48.240]   But he also has some experience with operating systems and porting and all that stuff
[00:56:48.240 --> 00:56:51.440]   He actually says an interesting thing it was a
[00:56:51.440 --> 00:56:56.640]   Long tweet storm, but he said the real conundrum is do you keep cocoa?
[00:56:56.640 --> 00:57:00.800]   And the cocoa apis at all do you keep macos at all?
[00:57:00.800 --> 00:57:06.080]   Do you do you say that he says the cocoa apis are already at end of life
[00:57:06.880 --> 00:57:11.360]   Any vendor with the cocoa app is already focused on some combination of iOS in the cloud
[00:57:11.360 --> 00:57:15.360]   And it's essentially milking their existing mac apps as part of a larger service
[00:57:15.360 --> 00:57:20.480]   I don't know if that's true certainly not true for a well, maybe it is for adobe you think it is
[00:57:20.480 --> 00:57:24.640]   Uh, he says that's very similar to win 32 the situation we had eight years ago
[00:57:24.640 --> 00:57:27.040]   The cost to a big
[00:57:27.040 --> 00:57:30.320]   Isv to move an existing cocoa app to ios is well known
[00:57:30.320 --> 00:57:36.720]   Now cocoa and ios are close, but then there's all those pesky things like the interaction model background processing over on design of the app
[00:57:36.720 --> 00:57:39.120]   And of course keyboard and mouse so the challenge
[00:57:39.120 --> 00:57:46.960]   He thinks is do you abandon macos in effect? Are you saying we're going to do something new and it's not cocoa in which case?
[00:57:46.960 --> 00:57:52.560]   Alex you're absolutely right that's a that is an even that's a much bigger move than the hardware move
[00:57:52.560 --> 00:57:59.200]   And I think that I think it's coming I mean I think again when we look at a three to five year turn that could have five years down the road
[00:57:59.200 --> 00:58:01.520]   I think that you're on a unified off, you know, which we
[00:58:02.720 --> 00:58:06.640]   Some of us have been saying for get go. I mean they're gonna move they're gonna unify
[00:58:06.640 --> 00:58:10.400]   You know all of these this operating system eventually whether it
[00:58:10.400 --> 00:58:14.080]   How long it takes to get there is the question, but not whether they're gonna do it
[00:58:14.080 --> 00:58:17.680]   It doesn't make sense to keep on supporting multiple platforms over time
[00:58:17.680 --> 00:58:23.760]   But it's just a matter of giving developers enough time to well, I guess I would say either give developers enough time to
[00:58:23.760 --> 00:58:27.360]   Sort it out or make sure that the same services are
[00:58:28.480 --> 00:58:35.040]   Available on that platform. So I mean like for instance, I as an as an like as an example affinity photo
[00:58:35.040 --> 00:58:39.920]   You know is not photoshop, but it's approach. It's you know, I use
[00:58:39.920 --> 00:58:43.040]   I use affinity photo
[00:58:43.040 --> 00:58:44.720]   80 percent of the time now
[00:58:44.720 --> 00:58:48.160]   As opposed to photoshop and I started using photoshop almost 30 years ago
[00:58:48.160 --> 00:58:53.200]   That's really interesting. Wow, you know, and so I you know, it's just faster and quicker and and I can have it on more machines
[00:58:53.200 --> 00:58:58.160]   And I don't use it on iOS right you're not using it on mac. No, no, I use it on the mac. Oh, you do. Oh, okay
[00:58:58.400 --> 00:59:04.080]   But it's but it's gonna port really easily whereas photoshoot getting photoshop over could take a lot is a lot more weight
[00:59:04.080 --> 00:59:06.640]   And and so
[00:59:06.640 --> 00:59:08.480]   Starting for stretch is easier, isn't it?
[00:59:08.480 --> 00:59:13.840]   It is it is and that's the advantage that I mean, that's the advantage for instance that final cut has is that
[00:59:13.840 --> 00:59:20.160]   It doesn't have a lot of old code, you know, it's and it's now gotten to a point where it's pretty mature and it's a lot
[00:59:20.160 --> 00:59:25.920]   Uh more modern than than the other than its competitors and so it'll be able to kind of move along with this
[00:59:25.920 --> 00:59:27.920]   Be sad for that
[00:59:27.920 --> 00:59:33.360]   One reason but that's just my use case which is that macOS is essentially a Unix
[00:59:33.360 --> 00:59:37.680]   And I will miss that but I don't think that there's much room for the command line or Unix
[00:59:37.680 --> 00:59:40.800]   Apps in an armed world. Maybe they're you need
[00:59:40.800 --> 00:59:44.000]   No, well, it's remember that OS 10 is OS 10 everywhere
[00:59:44.000 --> 00:59:50.880]   Uh and now iOS has OS 10 at its core. We just have never had a terminal for it and would be it would be
[00:59:50.880 --> 00:59:53.920]   a
[00:59:53.920 --> 00:59:55.760]   significant step
[00:59:55.760 --> 01:00:01.440]   I mean in terms of announcing what the future of the back is if apple suddenly said no, you don't get to have a terminal
[01:00:01.440 --> 01:00:07.760]   Yeah, that would be really sad. Yeah, and so and Alex with with respect
[01:00:07.760 --> 01:00:10.560]   My friend my brother from another mother
[01:00:10.560 --> 01:00:16.800]   Uh, you you have been predicting for a long time that there's going to be unification of uh of macOS and iOS
[01:00:16.800 --> 01:00:20.800]   Uh, you might be right, but you can also predict that one day
[01:00:20.800 --> 01:00:25.680]   North america and south america will be separate continents and eventually you will be right about that as well
[01:00:26.160 --> 01:00:29.760]   I just I think that for the for the foreseeable future
[01:00:29.760 --> 01:00:36.400]   There is no there is no advantage to separate land masses. They obviously are separate continents. Oh, i'm sorry
[01:00:36.400 --> 01:00:42.160]   Right, no, but your point is excellent plate tic tonics is in Alex's favor
[01:00:42.160 --> 01:00:44.640]   Exactly
[01:00:44.640 --> 01:00:51.040]   The law of entropy means that at some point we will all be running the same operating system because we're all to be it's all going to be the same temperature
[01:00:51.040 --> 01:00:53.040]   It's great good
[01:00:53.040 --> 01:00:56.640]   fundamentally it never makes sense getting it is what all i'm getting it is that
[01:00:56.640 --> 01:01:01.280]   There is always going to be a distinction between the sort of app that you're running a phone and on an ipad
[01:01:01.280 --> 01:01:08.080]   And the sort of thing that you sit down at a desk in order to use certainly but that doesn't mean you need different operating systems to do that
[01:01:08.080 --> 01:01:10.720]   Well, we're just different interfaces
[01:01:10.720 --> 01:01:17.680]   Well, that's what we have right now. We all hope we all have that's right. Why would we underneath our nithola device all our advice
[01:01:18.240 --> 01:01:22.960]   iOS has extra things that the Mac doesn't need the Mac OS has extra things that iOS has doesn't need
[01:01:22.960 --> 01:01:30.240]   Including like a big big pile of io think about how few devices that an iOS device can actually connect with versus a
[01:01:30.240 --> 01:01:32.640]   Mac book and connected just about everything
[01:01:32.640 --> 01:01:37.120]   I just I just don't see the advantage for apple to say that oh by the way your view bought
[01:01:37.120 --> 01:01:42.960]   You've just bought a copy of again, whatever really great photo editing app realize that it's going to look and work
[01:01:43.440 --> 01:01:46.960]   Very very differently on this device than it is on this other device
[01:01:46.960 --> 01:01:54.000]   Why why claim that they're the exact same devices if you're going to give people two really really big experiences
[01:01:54.000 --> 01:01:58.080]   And why how can you create a version of ios that works as well on
[01:01:58.080 --> 01:02:01.920]   A 4k screen and two other screens next to it
[01:02:01.920 --> 01:02:07.840]   As it will be expected to run on ios running on a little 5.7 and screen. I just don't see it
[01:02:07.840 --> 01:02:11.120]   But I think that the thing is is that there's there's essentially
[01:02:11.840 --> 01:02:17.360]   You know four os is right or whether there may be more but there there's four major os's and three of them are all
[01:02:17.360 --> 01:02:21.600]   Some some version of ios right so you've got ipad iphone tv
[01:02:21.600 --> 01:02:25.920]   Oh, i'm sorry and watch so there's five so there those are those are all ios that all
[01:02:25.920 --> 01:02:30.080]   Have different things that can't they can't and can't do the only one left out is mac
[01:02:30.080 --> 01:02:36.400]   You know so the thing is is that they all you can't run what you know the watch and the tv and the ios and
[01:02:36.880 --> 01:02:40.720]   iPad are all there are apps on the iphone that won't run on the ipad
[01:02:40.720 --> 01:02:42.720]   There's apps on the ipad that won't run on the iphone
[01:02:42.720 --> 01:02:46.240]   So it's not but they but they are much more unified codebase than mac
[01:02:46.240 --> 01:02:50.880]   You know so mac is that one that's left out that is very different than the other four
[01:02:50.880 --> 01:02:55.040]   So it doesn't it it makes sense at some point to drag that one
[01:02:55.040 --> 01:02:58.160]   You know into the fold, you know and and so I think that the trajectory
[01:02:58.160 --> 01:03:04.080]   Isn't new. I think I will argue the trajectory to go that direction is probably at least 10 years old
[01:03:04.480 --> 01:03:07.680]   You know so um, you know to move into that and so
[01:03:07.680 --> 01:03:11.120]   But it's just that it takes an enormous amount of lift to
[01:03:11.120 --> 01:03:17.760]   To get all the you know all the planets to align to move that over and I think we're I think next week
[01:03:17.760 --> 01:03:22.000]   We're going to see the more external step towards that towards that process
[01:03:22.000 --> 01:03:25.120]   Okay, I I just disagree
[01:03:25.120 --> 01:03:27.440]   And that's all we have to say. Oh, we're gonna find out
[01:03:27.440 --> 01:03:32.240]   And in about six years one of you is going to buy the other alopster dinner
[01:03:32.960 --> 01:03:34.960]   I
[01:03:34.960 --> 01:03:41.520]   Can afford a clam cakes and a bowl of
[01:03:41.520 --> 01:03:46.480]   Go ahead larry
[01:03:46.480 --> 01:03:52.400]   The question that comes to my mind is what would an iOS on a mac look like because what we're
[01:03:52.400 --> 01:03:56.480]   What we're envisioning right now is something that's like what we see on our ipad
[01:03:56.480 --> 01:04:00.320]   But instead it's on our mac which is absolutely untenable like that you can't have
[01:04:00.880 --> 01:04:04.800]   your desktop experience be the kind of things where you know you have
