;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[01:01:09.440 --> 01:01:13.040]   But am I essentially a facebook user because i'm using instagram
[01:01:13.040 --> 01:01:15.040]   Yes
[01:01:15.040 --> 01:01:17.280]   Yeah, definitely
[01:01:17.280 --> 01:01:19.280]   Mark gets the same information
[01:01:19.280 --> 01:01:23.760]   Yeah, I mean, I know they're getting the whole data and whatnot, but I just I just
[01:01:23.760 --> 01:01:25.280]   Thought about that here
[01:01:25.280 --> 01:01:27.280]   I don't think from your point of view
[01:01:27.280 --> 01:01:32.080]   So there's two answers to that because from mark's point of view. He's perfectly happy to have you use any of the above
[01:01:32.080 --> 01:01:38.160]   But on your point of view it is a very different experience one of the reasons people like instagram is because it's not facebook
[01:01:38.240 --> 01:01:41.280]   It's just pictures. That's me. Yeah, I'm in that category
[01:01:41.280 --> 01:01:46.880]   I I wish that every ninth picture weren't an ad for something that I really don't need but really have to buy
[01:01:46.880 --> 01:01:52.880]   Dude, you had to talk about the creepy instagram ads and the microphone listening to you a thing, right?
[01:01:52.880 --> 01:01:58.480]   Because that's 100% true. I don't care what anybody says. It's not coincidence. I can be talking about something weird
[01:01:58.480 --> 01:02:06.080]   I've had so many examples of real life about this and then I turn on instagram and an ad shows up for that specific topic and i'm like
[01:02:06.160 --> 01:02:11.920]   Come on. That's conspiracy theory. I reject that entirely except you're probably right. I can
[01:02:11.920 --> 01:02:14.400]   10 for my daughter swears
[01:02:14.400 --> 01:02:16.240]   She did an experiment with her friends
[01:02:16.240 --> 01:02:24.560]   They said into they said into the phone baby duck baby duck baby duck baby duck then all of a sudden she started getting ads for baby ducks at her instagram
[01:02:24.560 --> 01:02:31.200]   Fate. Oh, I don't believe it. I don't believe it. I can't imagine that's happening. It happened so many times
[01:02:31.200 --> 01:02:35.920]   Technically the difficulty you know this you're an expert in security help me luis
[01:02:35.920 --> 01:02:40.640]   They would have to be sending data back from everybody's phones all the time
[01:02:40.640 --> 01:02:42.880]   Parsing that data
[01:02:42.880 --> 01:02:46.320]   Looking for keywords and then changing the ads. That's a lot of work
[01:02:46.320 --> 01:02:48.080]   There's no evidence
[01:02:48.080 --> 01:02:49.040]   There's no evidence
[01:02:49.040 --> 01:02:54.400]   But there is some evidence that you know it has a lot to do the ads that you see have a lot to do with your social connection
[01:02:54.400 --> 01:03:00.880]   So if you're hanging out with somebody that your instagram friends with and you guys are talking about something that like maybe they have looked up recently
[01:03:01.360 --> 01:03:03.920]   There is a chance more that you're gonna see an ad for that
[01:03:03.920 --> 01:03:07.120]   You have your friends like hey, which is really great store and she's telling you about that
[01:03:07.120 --> 01:03:12.000]   And you get an ad for it that has more to do with the fact that you guys are in the same location
[01:03:12.000 --> 01:03:18.800]   She just googled that store, you know, there's a lot of other factors here that are in geolocation ads
[01:03:18.800 --> 01:03:20.800]   You have your do you have your location tracking on
[01:03:20.800 --> 01:03:23.600]   There are a lot more questions
[01:03:23.600 --> 01:03:26.560]   That that I think are creepier really than them just listening to you
[01:03:27.200 --> 01:03:33.280]   I know about your estimate the power and value of the shadow profiles
[01:03:33.280 --> 01:03:40.320]   That there's so many data points your data smog your data exhaust is everywhere all the time
[01:03:40.320 --> 01:03:47.360]   And what's changed is now the ability to gather that analyze it and the willingness of companies to share that data across
[01:03:47.360 --> 01:03:53.440]   Silos that's giving I think that's it is creepier really because it means yeah
[01:03:53.440 --> 01:03:55.600]   They know a lot more about us
[01:03:55.920 --> 01:04:02.400]   And it changes really quickly and I encourage that you want to just like start looking up a random topic on instagram and see how quickly their ads change
[01:04:02.400 --> 01:04:08.000]   One of my favorite recent recent examples is my friend was telling me how all these celebrities got lip injections
[01:04:08.000 --> 01:04:11.360]   And I was like, I don't know if I don't know if I believe that I want to see that before and after pictures
[01:04:11.360 --> 01:04:16.800]   So, you know, this isn't really like me, but I started, you know, looking up like hashtag lip injection or like, you know, and
[01:04:16.800 --> 01:04:21.440]   I was getting bizarre ads immediately for like, you know
[01:04:21.440 --> 01:04:23.360]   facial
[01:04:23.360 --> 01:04:31.200]   Surgery I was getting ads for like ab workouts like all this weird stuff that happened like I only after looking up like maybe one or two hashtags
[01:04:31.200 --> 01:04:36.720]   So that's what it is. Do you think it would work if I search for angel investors
[01:04:36.720 --> 01:04:42.720]   I could use a couple extra dollar signs, you know
[01:04:42.720 --> 01:04:46.480]   I have
[01:04:46.480 --> 01:04:52.000]   Yeah, I mean that's obvious though. I mean you're sending them a strong signal when you do hashtag lip injections
[01:04:52.720 --> 01:04:59.600]   Right, but I think people don't realize when they're like mindlessly looking at something like even briefly or they click on something in their explorer page
[01:04:59.600 --> 01:05:05.440]   Or they have their location tracking on I don't think they realize how sensitive these systems can be sure that's a really overt thing
[01:05:05.440 --> 01:05:09.120]   But you might do something more subtle and not really understand how that's
[01:05:09.120 --> 01:05:15.360]   Creepy or why it feels like you're being listened to and you're really not so according to the New York times the ftc
[01:05:15.360 --> 01:05:20.560]   Chairman seems to have the votes to approve a settlement. So we don't know what that number will be
[01:05:20.960 --> 01:05:25.120]   The facebook put aside three billion dollars, but it could be more up to five. They say
[01:05:25.120 --> 01:05:27.840]   one of the biggest issues according to the times
[01:05:27.840 --> 01:05:34.720]   Is whether to hold mark succerberg personally liable for future violations?
[01:05:34.720 --> 01:05:41.760]   Is the boss? Why not? I won't do it. They won't do it ill set of presidents and that's going to be dangerous for corporations
[01:05:41.760 --> 01:05:46.560]   Maybe people but the presidents the chairman the founders those aren't people
[01:05:47.200 --> 01:05:52.640]   So you should be but I don't think they'll do it there there actually is a little bit of precedent here already
[01:05:52.640 --> 01:05:56.080]   So when the tick-tock violation came down, I think what it was in march
[01:05:56.080 --> 01:05:59.680]   Maybe yeah, maybe march where they violated the children's protection
[01:05:59.680 --> 01:06:03.520]   Privacy protection act because they were collecting data on people under 13
[01:06:03.520 --> 01:06:12.240]   And two ftc commissioners actually wrote in a letter after that fine came down and said we think that the people running tick-tock should be personally
[01:06:12.720 --> 01:06:16.960]   Highly accountable for this and they weren't but the ftc has already said that you know
[01:06:16.960 --> 01:06:22.800]   We don't want to go down this path where we just find these companies chump change instead of actually holding the executives accountable
[01:06:22.800 --> 01:06:28.000]   And I think especially in facebook's case where you have a super omni powerful c o
[01:06:28.000 --> 01:06:35.200]   Like succerberg who basically controls the company even though it's public. I think he's a perfect person to be held personally accountable
[01:06:35.200 --> 01:06:41.680]   Yeah, it would be the largest ftc fine ever against the tech company the biggest they've done up to now
[01:06:42.400 --> 01:06:45.840]   Was a mere 22 and a half million against google in 2012
[01:06:45.840 --> 01:06:50.800]   3 billion the 5 billion i wonder if they even have
[01:06:50.800 --> 01:06:55.280]   The votes to do that i'm thinking that that in this
[01:06:55.280 --> 01:06:58.960]   Current climate maybe would even that would be hard to do
[01:06:58.960 --> 01:07:06.240]   I don't know. I want to see how how we're going along as a society where
[01:07:06.240 --> 01:07:08.080]   when
[01:07:08.080 --> 01:07:15.200]   Crap hits the fan leadership just sort of tux or tail and run and points at the subordinates
[01:07:15.200 --> 01:07:22.480]   You know when when you're the leader of the leader of the pack you're given directions and guidance and so on and so forth
[01:07:22.480 --> 01:07:27.680]   And with all of that success, it's usually a reflection of your leadership
[01:07:27.680 --> 01:07:35.440]   So when when crap goes wrong, why not just stand up for and say hey, you know, I I hold some responsibility here
[01:07:37.760 --> 01:07:39.440]   Yep, now that I agree on the percent
[01:07:39.440 --> 01:07:41.920]   I mean they should be more like how the military you know
[01:07:41.920 --> 01:07:47.680]   They take the responsibility for when the company is successful and they get all the bonuses and you know greatest CEO ever
[01:07:47.680 --> 01:07:53.200]   They put them on Bloomberg magazine with halos over their head, but then you know, yeah, what stuff goes wrong
[01:07:53.200 --> 01:07:56.880]   I was and they're not personally responsible and so they really should be this higher level
[01:07:56.880 --> 01:08:00.720]   I'm you know skeptical the last few years, especially the environment
[01:08:00.720 --> 01:08:05.440]   How we've been treating this though, I agree. I don't even three billion i'd be surprised
[01:08:06.000 --> 01:08:10.720]   It seems like everything's a let down you which you're like this could happen and it's always a lot less than that so
[01:08:10.720 --> 01:08:18.240]   Facebook's arguing you can't hold mr. Zuckerberg responsible for the act of his 35,000 employees except
[01:08:18.240 --> 01:08:23.760]   If you want to be effective in all this, I think holding him responsible might actually work better
[01:08:23.760 --> 01:08:27.760]   Exactly. I think that's fine in a company
[01:08:27.760 --> 01:08:33.360]   Not organized like facebook where you know, zuckerberg has controlled the majority of the voting shares
