;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[01:01:06.040 --> 01:01:09.880]   Well, if you've got people's bonuses tied to
[01:01:09.880 --> 01:01:11.720]   people's
[01:01:11.720 --> 01:01:17.720]   You know salary tied tied to stock price. Yeah. Yeah. Yeah. Yeah. All it allows them to do is raise capital
[01:01:18.280 --> 01:01:24.360]   Very easily right they can just go out and issue new shares and and have a a lot more capital in the books
[01:01:24.360 --> 01:01:28.920]   But nobody's gonna invest in this company. There's no reason for game stop to exist
[01:01:28.920 --> 01:01:33.480]   It's at 181 bucks still. I don't understand it myself
[01:01:33.480 --> 01:01:36.760]   Somebody's it is but if you look at what sony
[01:01:36.760 --> 01:01:39.960]   I mean look at what all the other companies are doing they're all moving to subscriptions
[01:01:39.960 --> 01:01:45.160]   These models microsoft. Right. So you know, think about this in the longer term
[01:01:45.640 --> 01:01:52.920]   Is I think the issue? Well, it's kind of to me. This is again the word speculation comes to mind that people aren't really worried about
[01:01:52.920 --> 01:01:55.960]   GameStop as a company
[01:01:55.960 --> 01:02:02.520]   Uh, they're concerned about the stock and whether the stock's gonna go up and whether they're gonna buy it at a price that allows them to make money
[01:02:02.520 --> 01:02:04.600]   When they sell it
[01:02:04.600 --> 01:02:06.040]   That's it's gonna be interesting if the new
[01:02:06.040 --> 01:02:09.560]   If the new land grabs over the next couple of years
[01:02:09.560 --> 01:02:12.440]   If these new wars are fought over
[01:02:13.160 --> 01:02:20.680]   Companies like GameStop versus countries like whoever got invaded recently, you know, if that's if that's if that's
[01:02:20.680 --> 01:02:27.000]   It's interesting. You think already seeing that look at china and it's soft power. We've talked about this before Amy
[01:02:27.000 --> 01:02:32.600]   Uh, china's never gonna invade the united states, but they don't necessarily need to or want to know
[01:02:32.600 --> 01:02:37.480]   Now they can exert their power economically. Really it's it's economic power
[01:02:37.480 --> 01:02:41.160]   They already are yeah. Yeah, the game stop
[01:02:42.200 --> 01:02:47.480]   Investment thesis is I agree with you. I mean if you take a look at earnings and where everything's going to do with fun about
[01:02:47.480 --> 01:02:50.920]   Yeah, right nothing to the fundamentals, but at the same time
[01:02:50.920 --> 01:02:56.840]   You have a collection of people that said GameStop was part of my childhood. I don't want this to go away
[01:02:56.840 --> 01:03:02.920]   Interesting. So I'm going to put money into it and I don't see anything wrong with that. That's part of its value company of flow
[01:03:02.920 --> 01:03:08.760]   Yeah, part of the value is the brand value. Right. That's that's a that's another fundamental
[01:03:11.080 --> 01:03:14.760]   All right, it's I just again. This is another I'm not buying it
[01:03:14.760 --> 01:03:18.200]   No game
[01:03:18.200 --> 01:03:20.200]   Crypto punks, but not GameStop
[01:03:20.200 --> 01:03:22.360]   Crypto punks was the very first
[01:03:22.360 --> 01:03:27.880]   Digital art they'll never be another one chain. They'll never be another first
[01:03:27.880 --> 01:03:31.560]   That's actually drives a lot of nft's doesn't it the first
[01:03:31.560 --> 01:03:36.520]   Yes, especially on the on the crypto punks side. I mean they're the ones that define the standard
[01:03:36.680 --> 01:03:41.800]   So, you know that that's why I hold a couple of them. I mean, it's not any crazy amount on my overall net worth
[01:03:41.800 --> 01:03:45.160]   But I have a a few of them is a diversification strategy for you though
[01:03:45.160 --> 01:03:50.040]   I mean is it part of your well if you want to do that then it gets even crazier leo down the rabbit hole here you go
[01:03:50.040 --> 01:03:55.880]   You can basically take and buy in there's a site called nftx
[01:03:55.880 --> 01:03:59.480]   which with people transfer their crypto punks into
[01:03:59.480 --> 01:04:04.760]   Like a smart contract that then wraps them all together and you hold a token
[01:04:05.080 --> 01:04:07.880]   That holds a diversified pool of underlying crypto punks
[01:04:07.880 --> 01:04:09.960]   So you can
[01:04:09.960 --> 01:04:14.440]   So as they appreciate so you have crypto punks derivatives is that's what you're saying?
[01:04:14.440 --> 01:04:17.080]   basically, yeah
[01:04:17.080 --> 01:04:22.920]   What could possibly be like you have a fractional ownership of like somebody's pile of beanie babies
[01:04:22.920 --> 01:04:29.720]   Well, I mean that's what he missed that he I mean, I'm sure you've seen this and so this is the crazy story
[01:04:29.720 --> 01:04:34.600]   You know, Michael Jordan rookie card the physical rookie card not some crazy digital thing. Yeah
[01:04:34.840 --> 01:04:39.880]   Um, you know, it was uh 15 20 000 a year ago and now they're going for a million dollars
[01:04:39.880 --> 01:04:47.080]   And part of part of why that jump happened people are saying is because a lot of these fractional ownership sites went online
[01:04:47.080 --> 01:04:50.520]   That said we have a vault we will store your Michael Jordan rookie card
[01:04:50.520 --> 01:04:55.880]   And you can own a small very a ten dollar chunk of it a 50 dollar chunk of it and all of a sudden
[01:04:55.880 --> 01:05:00.200]   All these people that could it increases the probable pool of money. That's right
[01:05:00.200 --> 01:05:04.520]   Well, that's exactly what happened with that 69 dollar 69 million dollar people
[01:05:04.520 --> 01:05:11.000]   Was he sold off shares in that what is it B plus he was able to sell off fractional ownership of that
[01:05:11.000 --> 01:05:15.160]   So interesting, uh, yeah interesting. I think he made money
[01:05:15.160 --> 01:05:18.840]   Isn't that what it's all about people's people's doing all right
[01:05:18.840 --> 01:05:27.240]   That's an amazing people is that's an amazing story. That's just a wild story in some ways. I I like it because
[01:05:28.280 --> 01:05:31.240]   It is at least rewarding creativity, right? I mean this guy
[01:05:31.240 --> 01:05:36.520]   Is very create he's an artist so in some ways at least the artist is in front
[01:05:36.520 --> 01:05:44.840]   Uh, so that's good. You know, I still think a lot of the stuff that's going on is speculative not not a part of
[01:05:44.840 --> 01:05:47.800]   Yeah, I mean essentially what's happening with ineptes and this is this is the
[01:05:47.800 --> 01:05:52.040]   The downside of the scariest side of the bubble side, which I absolutely believe exists
[01:05:52.600 --> 01:05:58.440]   It's it's that anyone with Photoshop or whatever the name of the app is that can export your ping
[01:05:58.440 --> 01:06:04.040]   Can become a creator of nft's. Yeah, and so you're gonna have some cream that rises to the service that is
[01:06:04.040 --> 01:06:07.480]   Fantastic artists that deserve the recognition and the make good money
[01:06:07.480 --> 01:06:14.760]   And they're gonna have a bunch of garbage and just like fad stuff and clones and copycats and it's it's iCOs three years ago
[01:06:14.760 --> 01:06:16.200]   You know, there was a lot of garbage
[01:06:16.200 --> 01:06:21.480]   But out of all of that a few very credible projects emerge and we'll be here for the long term
[01:06:21.480 --> 01:06:23.480]   You know who's gonna make money
[01:06:23.480 --> 01:06:28.760]   In nft's is the is the company that charges you 60 or 70 bucks to mint the nft
[01:06:28.760 --> 01:06:31.000]   They're gonna be the ones
[01:06:31.000 --> 01:06:32.040]   It's like
[01:06:32.040 --> 01:06:36.760]   The people made the money in the gold rush relieve eyes because they sold the blue jeans and the picks
[01:06:36.760 --> 01:06:42.520]   To those yeah, that's called the miners right now on a theorem right because they're getting all the crazy gas fees that people are spending
[01:06:42.520 --> 01:06:46.200]   Yeah, have these things minted. Yeah, that's that's where the money is
[01:06:47.080 --> 01:06:53.800]   Um, at least for sure money anyway, some then there will be people make a lot of money on it. I'm sure there'll also be people
[01:06:53.800 --> 01:06:55.800]   You know, it's kind of a
[01:06:55.800 --> 01:06:57.800]   Interesting company in the middle of all this is Kodak
[01:06:57.800 --> 01:07:02.440]   Kodak remember remember the Kodak I see so I have always used Kodak
[01:07:02.440 --> 01:07:04.440]   as the
[01:07:04.440 --> 01:07:09.880]   The prime example of how a brick and mortar company could not make it in a digital world
[01:07:09.880 --> 01:07:15.640]   They made and so much money on film developing and and uh sales
[01:07:16.360 --> 01:07:18.760]   That even when when the world went digital
[01:07:18.760 --> 01:07:22.680]   Even though they were one of the first companies who embraced digital photography
[01:07:22.680 --> 01:07:29.320]   They couldn't survive because there wasn't enough profit in the digital side of it to match what they had made in the brick and mortar side
[01:07:29.320 --> 01:07:36.200]   So I use Kodak as the example of everything that that went wrong with digital. You're saying they're doing well now
[01:07:36.200 --> 01:07:41.000]   No, no, I'm saying they tried to launch an Ico. Oh god
[01:07:42.280 --> 01:07:44.280]   I was a while ago, right?
[01:07:44.280 --> 01:07:48.520]   Right and I think I mean it's not a really oh they had Kodak coin
[01:07:48.520 --> 01:07:54.600]   Right, which I think had something to do with photographers. Yeah, yeah photographers in royalty
[01:07:54.600 --> 01:07:58.120]   Which then kind of sort of made sense, but again like the art photography
[01:07:58.120 --> 01:08:03.720]   Yeah, and then they got into I guess vaccines. So, you know, that's the funniest thing about that
[01:08:03.720 --> 01:08:09.400]   They they understood the digital world. They were right there. They're look they were they did an ICO
[01:08:10.120 --> 01:08:14.040]   And it didn't help. Yeah. Yeah, but look at that. I mean some brands have done this quite well
[01:08:14.040 --> 01:08:18.600]   Like look at moleskin moleskin came out one of the best note-taking apps on ipad and ios
[01:08:18.600 --> 01:08:21.000]   That's true. They're making tons of money. They got app of the year
[01:08:21.000 --> 01:08:25.080]   They can't they can't sell the notebooks, but they can sell a digital version of it. Yeah
[01:08:25.080 --> 01:08:27.800]   Yeah
[01:08:27.800 --> 01:08:33.080]   That's where that's brand equity is what that is right. There's no reason to use a moleskin app over
[01:08:33.080 --> 01:08:34.680]   you know
[01:08:34.680 --> 01:08:36.680]   Any other note-taking app, but
[01:08:36.680 --> 01:08:39.320]   It's but it's moleskin
[01:08:39.720 --> 01:08:41.720]   Or as I say moleskin
[01:08:41.720 --> 01:08:51.720]   I once I was Spanish. I once asked them how you pronounce it. They say any way you want. They don't care. They don't care
[01:08:51.720 --> 01:08:58.920]   I do want to talk about the weaponization of of social media because that I think is kind of an underlying
[01:08:58.920 --> 01:09:00.840]   thread here
[01:09:00.840 --> 01:09:06.680]   And just a little bit great panel. It's just the two of them, but we don't need more. Amy web kevin rose
[01:09:06.680 --> 01:09:09.240]   lovely having you
[01:09:10.200 --> 01:09:12.600]   Oh wait a minute. We're getting this traffic report in
[01:09:12.600 --> 01:09:15.720]   from the sues canal. Should we
[01:09:15.720 --> 01:09:20.040]   Should we check in with john hanson john is of course
