;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[01:00:15.800 --> 01:00:19.880]   Save a ton phone plans start at what just before I tell you
[01:00:19.880 --> 01:00:26.360]   Think about what you know, just kind of imagine your mind your last sale bill 70 80 90 100
[01:00:26.360 --> 01:00:29.000]   More probably right
[01:00:29.000 --> 01:00:31.320]   How about 15 dollars a month all in?
[01:00:31.320 --> 01:00:34.680]   15 dollars
[01:00:34.680 --> 01:00:36.120]   a month
[01:00:36.120 --> 01:00:44.440]   That's it by the way includes unlimited talk unlimited text nationwide plus high speed data delivered on the nation's largest 5g network
[01:00:44.440 --> 01:00:48.120]   You choose the plan that matches how much data you need
[01:00:48.120 --> 01:00:54.600]   They just really do it right premium wireless for as little as 15 dollars a month
[01:00:54.600 --> 01:00:56.920]   All plans
[01:00:56.920 --> 01:01:01.000]   Are i'll be telling you the truth the secret running on the team mobile network
[01:01:01.720 --> 01:01:06.600]   So if you've got great team mobile service where you are you'd be crazy to be paying team mobile prices
[01:01:06.600 --> 01:01:09.880]   When you can get it for 15 dollars a month bring your own phone
[01:01:09.880 --> 01:01:13.720]   They will send you the sim for free or use e sim
[01:01:13.720 --> 01:01:19.400]   Many phones support it now. All the phones that mint mobile sells themselves support it
[01:01:19.400 --> 01:01:25.160]   So that makes it even easier. I think this is such a good deal use your own phone get a phone from mint mobile
[01:01:25.160 --> 01:01:27.880]   Get 15 dollars a month
[01:01:27.880 --> 01:01:30.360]   premium wireless service
[01:01:30.520 --> 01:01:36.760]   15 bucks a month look at that to get your new wireless plan for just 15 bucks a month get the plan ship to your door for free
[01:01:36.760 --> 01:01:42.280]   Mint mobile calm slash twit. I love them so much. I even have mint mobile socks mint
[01:01:42.280 --> 01:01:45.800]   I'm not kidding mint mobile calm slash
[01:01:45.800 --> 01:01:52.520]   Twit got your wireless bill. I must say one more time because it doesn't sound believable. What it's absolutely true
[01:01:52.520 --> 01:01:55.320]   To 15 dollars a month
[01:01:55.960 --> 01:02:01.000]   Just go to mint mobile calm slash twit to see it's pretty much the best deal out there
[01:02:01.000 --> 01:02:05.880]   If you're paying more the question is why mint mobile calm slash twit we thank them
[01:02:05.880 --> 01:02:08.520]   so much for supporting
[01:02:08.520 --> 01:02:10.680]   our show
[01:02:10.680 --> 01:02:12.040]   Uh
[01:02:12.040 --> 01:02:13.800]   Antitrust is coming at
[01:02:13.800 --> 01:02:19.240]   Microsoft and other companies though from uh, europe in big time the guns are firing amazon and apple
[01:02:19.240 --> 01:02:21.880]   Have now been fined two hundred eighteen
[01:02:21.880 --> 01:02:24.680]   million dollars by the spanish
[01:02:25.400 --> 01:02:27.000]   antitrust
[01:02:27.000 --> 01:02:29.000]   watchdog
[01:02:29.000 --> 01:02:31.720]   That now this is saying that they colluded
[01:02:31.720 --> 01:02:39.160]   I'm not sure I agree with this one, but they colluded to limit the online sale of apple devices in spain
[01:02:39.160 --> 01:02:41.240]   Uh
[01:02:41.240 --> 01:02:43.720]   Apparently when amazon and apple made a deal
[01:02:43.720 --> 01:02:49.080]   For amazon to send sell apple phones from apple on amazon
[01:02:49.080 --> 01:02:51.800]   They agreed
[01:02:52.440 --> 01:02:56.520]   Not to allow third parties to sell those same phones more than 90
[01:02:56.520 --> 01:02:58.040]   percent
[01:02:58.040 --> 01:03:03.400]   Of the existing retailers who were using amazon's marketplace to sell apple devices were blocked as a result
[01:03:03.400 --> 01:03:07.320]   Um apple's
[01:03:07.320 --> 01:03:09.320]   Device cost went
[01:03:09.320 --> 01:03:13.480]   The prices of apple's devices sold online went up as a result
[01:03:13.480 --> 01:03:21.240]   Amazon says we reject the suggestion that amazon benefits from excluding sellers from its marketplace
[01:03:21.720 --> 01:03:29.560]   Our business model yerada our business model hinges precisely on the success of the company selling through amazon
[01:03:29.560 --> 01:03:34.600]   Um, I think alice you might have covered this in always day one
[01:03:34.600 --> 01:03:37.400]   Uh
[01:03:37.400 --> 01:03:39.400]   Amazon does these deals don't they?
[01:03:39.400 --> 01:03:46.440]   Yeah, this is this is part of the business and I also like don't really think that they care about the fine from spain
[01:03:46.440 --> 01:03:47.720]   I mean
[01:03:47.720 --> 01:03:50.760]   a couple hundred million dollars to them is you know
[01:03:51.320 --> 01:03:57.800]   Uh, so drop in the bucket ultimately and they can they can put their legal team on it and fight it and come to a settlement
[01:03:57.800 --> 01:04:00.680]   That's half or a quarter of that and continue to move on
[01:04:00.680 --> 01:04:05.400]   And by the way, I also want to apologize to your to your listeners. I said that mike's off was around
[01:04:05.400 --> 01:04:09.880]   A trillion dollars. It's actually I looked it up in the break 2.5 trillion
[01:04:09.880 --> 01:04:14.200]   So it's amazing you don't have times that so now it definitely needs to squeeze out the market
[01:04:14.200 --> 01:04:16.760]   One of the verification
[01:04:16.760 --> 01:04:20.200]   But I think this also is such a perfect illustration
[01:04:20.200 --> 01:04:25.560]   About what alice was saying around how you have to just squeeze whatever you can because again
[01:04:25.560 --> 01:04:28.120]   Let's think through the actual dynamics of this
[01:04:28.120 --> 01:04:35.240]   Amazon clearly iphones being sold on their platform is a good thing overall globally for the business
[01:04:35.240 --> 01:04:40.600]   Apple willing to go on the business, but doesn't want third parties to sell them. They want to sell them
[01:04:40.600 --> 01:04:43.560]   under the apple name a little deal is done
[01:04:44.280 --> 01:04:50.760]   And you know globally that's potentially a huge business for both amazon and it's good for apple
[01:04:50.760 --> 01:04:57.000]   But obviously within that limits consumer choice in a country like spain is seems to be going after this
[01:04:57.000 --> 01:05:03.080]   The fact that they would even make that deal for the spanish market and almost I don't want to say waste their time
[01:05:03.080 --> 01:05:10.360]   But something that small in their larger businesses a reminder that you know the dynamics are set up internally where they are
[01:05:10.920 --> 01:05:16.520]   Trained to squeeze every market for whatever they can and this is also a reminder again
[01:05:16.520 --> 01:05:22.200]   Like these are the things where we're actually seeing results and wins in antitrust
[01:05:22.200 --> 01:05:29.400]   Around the world and we're almost all laughing enough and I am kind of laughing it off again 200 million dollars
[01:05:29.400 --> 01:05:36.840]   It's an ftc budget, but it's a drop in the hat for them. So so I think it this case actually
[01:05:37.400 --> 01:05:43.400]   You know exemplifies a lot about how big tech competitive dynamics work around the world
[01:05:43.400 --> 01:05:48.680]   Just wait until spain finds out how much google's paying apple to be the default search on the iphone
[01:05:48.680 --> 01:05:55.000]   What is that the estimate? I saw last time I saw was 11 billion a year. I think it's gone up from that
[01:05:55.000 --> 01:05:58.280]   Uh, it's got to be more than yeah, it's a big part of apples
[01:05:58.280 --> 01:06:02.760]   Services is ripping you his money a check from google
[01:06:02.760 --> 01:06:06.200]   Now it's instantaneous thanks to fed now by the way
[01:06:06.680 --> 01:06:12.760]   Uh, yeah apple says that well, we're just trying to keep counterfeits off of the spanish amazon
[01:06:12.760 --> 01:06:18.520]   But really they're just trying to keep third party sellers from selling iphones apple's always done that they want to completely
[01:06:18.520 --> 01:06:22.040]   Control the channel that way they control prices. Yeah
[01:06:22.040 --> 01:06:25.800]   Yeah, it's good for their business and it may be it's good for consumers
[01:06:25.800 --> 01:06:29.480]   You know at least if you're buying an iphone in amazon, it's it's legit right
[01:06:29.480 --> 01:06:35.080]   They just decided that they want to you know care about counterfeits the moment that apple came in with
[01:06:35.080 --> 01:06:38.200]   exclusive deal for them. Oh, actually we don't need to tell
[01:06:38.200 --> 01:06:45.320]   It's a good deal. It's a profit deal. I get it and get it now
[01:06:45.320 --> 01:06:52.200]   But but think about it again. It's within the EU apple the right to repair. It's a lot more
[01:06:52.200 --> 01:06:58.040]   Aggressive so you should apple has to let you actually repair your device you crack your screen
[01:06:58.040 --> 01:07:01.880]   You don't void your warranty if you go actually get your screen repaired
[01:07:02.040 --> 01:07:07.960]   but to me my favorite and the one i'm most excited about and the uh the realization of good policy
[01:07:07.960 --> 01:07:13.480]   Is if the app the next iphone will have a usb c at least in europe
[01:07:13.480 --> 01:07:17.240]   Because they have to and they have to have single chargers
[01:07:17.240 --> 01:07:24.760]   And I can finally get rid of my lightning cables because that is that the day that happens. I will just uh
[01:07:24.760 --> 01:07:30.200]   You know, let me channel how you meet let me channel apple fanboys though
[01:07:30.920 --> 01:07:34.200]   Uh, because I know because we got a few of them on our show mac break weekly
[01:07:34.200 --> 01:07:35.960]   uh
[01:07:35.960 --> 01:07:37.960]   That is the EU
[01:07:37.960 --> 01:07:41.640]   Dictating technology to a technology company
[01:07:41.640 --> 01:07:43.720]   These guys
[01:07:43.720 --> 01:07:46.520]   Are not technologists. They shouldn't be dictating
[01:07:46.520 --> 01:07:50.840]   What happens when the next thing comes along and everybody's stuck with type c
[01:07:50.840 --> 01:07:54.120]   Because uh the you said you have to use it
[01:07:54.120 --> 01:07:56.680]   Yeah, but
[01:07:56.680 --> 01:08:00.840]   Then don't make my ipad pro usb c keep it lightning. I just want I just want
[01:08:00.840 --> 01:08:09.000]   Fanboy, he's right. He's totally right. I'm an apple fanboy, but just let me carry only one or two cables man
[01:08:09.000 --> 01:08:15.960]   Completely agree. Yeah, I've been walking around with a broken iphone 10 for about a year waiting for that usb c 15
[01:08:15.960 --> 01:08:19.000]   If the iphone 15 comes out and there's no usb c
[01:08:19.000 --> 01:08:22.920]   Go in android this ridiculous at this point pixel time. Yeah
[01:08:23.720 --> 01:08:30.600]   Pixel pro. Yeah, no, I think you're gonna win. I think the I think we're gonna see usb c quickly and and it's the right thing thanks to the EU
[01:08:30.600 --> 01:08:31.800]   Uh, yeah
[01:08:31.800 --> 01:08:37.080]   And also maybe it would have happened anyway because as you pointed out they've already done it with them every other device of theirs
[01:08:37.080 --> 01:08:39.240]   Is type c now?
[01:08:39.240 --> 01:08:43.000]   Uh, now you're gonna have to charge air pods with the same lightning cable just
