;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[00:53:22.060 --> 00:53:23.820]   The girls they go to the mall
[00:53:23.820 --> 00:53:28.940]   They buy a bunch of clothes in their bags they come back and sit in front of their webcam and try them on
[00:53:29.580 --> 00:53:33.500]   And they show no they show the clothes they bought or they show the items that they purchased
[00:53:33.500 --> 00:53:38.540]   And these videos have hundreds of thousands of clicks and youtube says these are the number one videos right now in youtube
[00:53:38.540 --> 00:53:39.900]   It's actually why
[00:53:39.900 --> 00:53:43.260]   You know why because they keep thinking they're gonna take off their clothes and they never do
[00:53:43.260 --> 00:53:49.020]   Right, maybe but with a bunch of horny boys going come on take it off. Take
[00:53:49.020 --> 00:53:52.700]   Chad you can you can
[00:53:52.700 --> 00:53:58.140]   Deal with this. I mean the one of the biggest things on youtube is people walking around in video games and just playing a game
[00:53:58.140 --> 00:54:02.380]   Right that's twitch commentary. That's twitch. It's twitch is good at the live stuff
[00:54:02.380 --> 00:54:07.180]   But the archive stuff you have I mean the yoggs cast is a good idea. It's called. It's called. Let's plays
[00:54:07.180 --> 00:54:13.100]   I talked to a 10 year old today who has a youtube channel of minecraft how to's right
[00:54:13.100 --> 00:54:19.260]   And and every kid I know is making minecraft videos like anybody's nobody's watching them, but they're making them
[00:54:19.260 --> 00:54:24.540]   Yeah, we're like like right now the the big thing that I'm watching on youtube is the minecraft server
[00:54:24.540 --> 00:54:30.780]   Which is a server of minecraft players. They just came out with an ultra hardcore series and and we're in episode three
[00:54:30.780 --> 00:54:34.220]   And every two days they they release a new video and it's just like
[00:54:34.220 --> 00:54:39.980]   I have to watch the next video and each of those videos are 30 minutes long. I want to see multiple people's perspectives
[00:54:39.980 --> 00:54:45.020]   That's an hour and a half of content. I am in the long field. I could tell that's really weird
[00:54:45.020 --> 00:54:47.580]   I'm telling you it's the weirdest thing but that's the future
[00:54:47.580 --> 00:54:52.460]   It's happening in front of us. What's really funny is how little youtube gets this because they said
[00:54:52.780 --> 00:54:57.740]   Oh, let's put 300 million dollars into traditional broadcast style shows
[00:54:57.740 --> 00:55:04.460]   Let's get these guys to upgrade their videos and nobody I think of the of the new youtube channels
[00:55:04.460 --> 00:55:09.100]   If any uh none if any maybe one maybe source feds made its money back
[00:55:09.100 --> 00:55:11.980]   nobody else meanwhile
[00:55:11.980 --> 00:55:13.980]   this
[00:55:13.980 --> 00:55:22.140]   Wandering around minecraft and that's that's crazy. But youtube doesn't want this to be successful. I can tell you right now
[00:55:22.700 --> 00:55:25.340]   This there's no model for this. They don't get it
[00:55:25.340 --> 00:55:27.820]   But this is where the future is
[00:55:27.820 --> 00:55:31.740]   They didn't sound sad in a by the way my wife texted me. It's called shopping hall
[00:55:31.740 --> 00:55:37.820]   H a u l is this trend if you search for shopping hall, okay, you hold your shopping
[00:55:37.820 --> 00:55:42.220]   Yeah, but you know women do this anyway. They're just now they're putting it on youtube
[00:55:42.220 --> 00:55:47.180]   Right and maybe that's why it's so successful. It's voyeurism. It's oh she got this great deal
[00:55:47.180 --> 00:55:51.580]   No, because they can't get their husbands to go along with it because I know my ex-wife used to do that all the time
[00:55:51.660 --> 00:55:53.660]   You want to see what I got? I said no
[00:55:53.660 --> 00:55:55.980]   I do not
[00:55:55.980 --> 00:55:59.500]   I do not want to see what you got right doesn't just Natalie do that to you
[00:55:59.500 --> 00:56:01.660]   Would you like to see what I got?
[00:56:01.660 --> 00:56:07.580]   Yeah, she knows better than to show me because I see a box of shoes arrive and I said oh didn't we just have a talk about not spending too much money
[00:56:07.580 --> 00:56:11.340]   She well, I don't know but then she'll she'll be happy to show me the little kids
[00:56:11.340 --> 00:56:15.740]   You know ava's little onesies that she ordered like here's her spring dresses
[00:56:15.740 --> 00:56:19.900]   Here's the fall haul. I got some mac. I got some lush. I got some target and more
[00:56:20.700 --> 00:56:23.100]   Come on. Let's go watch what I just bought at the mall
[00:56:23.100 --> 00:56:27.980]   How many how many views half a million views half a million freaking views?
[00:56:27.980 --> 00:56:32.300]   That makes me want to just that makes me want to set fire to things. I don't understand this one
[00:56:32.300 --> 00:56:38.060]   This is a we see i'm telling you as guys who are creating content and I do some of my own, but I mean
[00:56:38.060 --> 00:56:41.100]   This has got a chapter ass
[00:56:41.100 --> 00:56:47.500]   You know, it's well shot. I gotta tell you though. That's professionally shot
[00:56:47.980 --> 00:56:51.900]   This is the one I got this is not that look at this. This is professionally shot
[00:56:51.900 --> 00:56:57.980]   It's well, it may be professionally lit, but the shot is all DSLR. That's that yeah, that's that soup
[00:56:57.980 --> 00:57:02.220]   I mean, that's not even tell look at the background. It's yeah. Yeah, I mean, that's not even a natural like
[00:57:02.220 --> 00:57:05.260]   Yeah, it's super this is shot and lit
[00:57:05.260 --> 00:57:12.220]   But what's the difference between professionally made up I might add too so so back in the day xkcd
[00:57:12.220 --> 00:57:16.860]   Which I love launched a comic right and everybody went crazy for it, especially in the tech crowd
[00:57:16.860 --> 00:57:18.860]   Everyone loves xkcd
[00:57:18.860 --> 00:57:23.900]   And cartoonists everywhere crap to their pants because what they saw was stick people
[00:57:23.900 --> 00:57:26.780]   And they've been training their whole lives to draw well
[00:57:26.780 --> 00:57:31.420]   And he's he's not even hashing in the shadows right what is he doing?
[00:57:31.420 --> 00:57:35.020]   It pissed everybody off. It really did it. It caused a huge stir
[00:57:35.020 --> 00:57:40.220]   Uh, at least dramatically in this web comic sphere of things which was not very loud crowd
[00:57:40.220 --> 00:57:42.380]   Because it's good
[00:57:42.380 --> 00:57:44.380]   But that's my point is
[00:57:44.460 --> 00:57:49.980]   We nobody anymore can say what they youtube can't even say what they think youtube should be right
[00:57:49.980 --> 00:57:54.140]   You know people are gonna make it what they want which I love in the long run
[00:57:54.140 --> 00:58:01.100]   You know, I don't care. I'm old hat up dying soon anyway, so go ahead kids make your shopping hall videos. Enjoy yourself
[00:58:01.100 --> 00:58:06.940]   Have a good time. It's fine. We used to make real television, but not anymore
[00:58:06.940 --> 00:58:11.740]   You got to show off your makeup all okay go for it. I don't care
[00:58:11.820 --> 00:58:16.700]   Well, I want to be dead anyway, you know, then these sorts of things get they they they they they they go out there
[00:58:16.700 --> 00:58:21.660]   And then they get bought by somebody right so these things be popular too late already bought by soda
[00:58:21.660 --> 00:58:29.740]   No, I mean the shows right I mean, you know, do you well gobble up those popular? Well, what a revision three gets gobbled up by in a discovery
[00:58:29.740 --> 00:58:31.740]   Yeah, you get these
[00:58:31.740 --> 00:58:34.380]   Twit twit was just bought by AOL
[00:58:34.380 --> 00:58:40.140]   Oh god. Thank you. Thank you. It's not too late marissa. I love you darling
[00:58:40.620 --> 00:58:43.900]   Come on over. We'll have tea. We'll have coffee. I'll do some shopping
[00:58:43.900 --> 00:58:48.060]   Here's a good will haul you doesn't have to be even the mall. It could be good will
[00:58:48.060 --> 00:58:51.340]   They went to good will good will hunting
[00:58:51.340 --> 00:58:54.460]   I like it
[00:58:54.460 --> 00:59:00.700]   So you start doing these the new twitch shopping channel there on youtube chat. I got a great idea
[00:59:00.700 --> 00:59:06.380]   We'll do fries haul. Oh, yeah, we'll go to fries. Here's what I am is on haul. I get I went to fries
[00:59:06.380 --> 00:59:08.380]   here's what I bought
[00:59:09.100 --> 00:59:14.140]   Yeah, but they were killing the gizwiz. It's gonna be fries haul. Jeff yells. That's what you do on gizwiz
[00:59:14.140 --> 00:59:16.140]   No, this is better
[00:59:16.140 --> 00:59:18.140]   This is better. Look what I got on who
[00:59:18.140 --> 00:59:23.820]   Actually, we buy we brand new Samsung stores and best buy here's what I got
[00:59:23.820 --> 00:59:28.540]   I think fries is the one because it's not it's not every bnh
[00:59:28.540 --> 00:59:34.780]   Bnh is yeah, it could be multiple because she she had target. She had lush. She had and more
[00:59:34.780 --> 00:59:36.780]   You know, I got it. Well, that's because you can go to a mall
[00:59:36.780 --> 00:59:43.900]   There's no electronics small. Oh, we go to shoot like here. We get a Japan right. Yeah, just do that. It's just go to Japan
[00:59:43.900 --> 00:59:47.180]   I went to I went to target Bnh in Japan
[00:59:47.180 --> 00:59:52.220]   For I think that's a good way. I think this is a good show. We're called fries haul
[00:59:52.220 --> 00:59:58.060]   Fries, I think it fries. All right. How are you sure people won't think that we're a food blog of some flavor?
[00:59:58.060 --> 01:00:01.660]   Doesn't matter they'll tune in for the french fries. They'll stay for the electronics. It'll be great
[01:00:02.380 --> 01:00:07.740]   I really I think we could have french fries. We could have food. We could have oh and I and I got some taco bell
[01:00:07.740 --> 01:00:15.100]   Look at this. Oh, would you believe this? Jeloopa? It seems like a mushy middle product. I'm not gonna lie. No, no
[01:00:15.100 --> 01:00:18.380]   It's a hit I could tell I know I've got the I got the thing
[01:00:18.380 --> 01:00:22.460]   I started better move on it. You better move on it fast because you know scott's gonna launch a show
[01:00:22.460 --> 01:00:23.820]   Damn you scott
[01:00:23.820 --> 01:00:26.380]   Scott johnson now and frogpads fries all
[01:00:26.380 --> 01:00:30.060]   I'm all over this next week. I did I'm doing some video content now
[01:00:30.140 --> 01:00:34.540]   And the number one request for me is to build more things out of lego on camera
[01:00:34.540 --> 01:00:41.500]   Do you see what i'm saying? You're kidding. It's crazy planned. It doesn't make any sense, but do you think I'm sorry?
[01:00:41.500 --> 01:00:45.180]   I'm turning into an old jewish man. Hey, there we are
[01:00:45.180 --> 01:00:49.900]   I mean, I'll do pair I pair normal stuff again hundreds of thousands of views
[01:00:49.900 --> 01:00:55.020]   People love that and then I'll do an unboxing and I'll not walk through of how to use like the uh
[01:00:55.260 --> 01:01:00.060]   You know the Sony RX one. No, I get like 800. You got to do ghosts at lake tinky wiggy
[01:01:00.060 --> 01:01:03.420]   It'll be so good
[01:01:03.420 --> 01:01:08.620]   The lady died in the robo and we're going to wait until she shows up
[01:01:08.620 --> 01:01:11.580]   And all that was left was a hook on the hand
[01:01:11.580 --> 01:01:14.300]   Yeah
[01:01:14.300 --> 01:01:18.780]   Ghost stories with clayton morris live from lake tinky wiggy. It'll be good
[01:01:18.780 --> 01:01:21.740]   No, it's a million charmer said tech hall
[01:01:22.860 --> 01:01:25.820]   Chad reserve that name tech hall tech hall
[01:01:25.820 --> 01:01:29.020]   I swear to god. That's a youtube channel
[01:01:29.020 --> 01:01:35.580]   Yeah, I hated tech hall three like you did with i have to dig for sure. It's still i gotta wear that next time
