;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[00:45:06.480 --> 00:45:12.560]   A new iPhone, we're gonna see,
[00:45:12.560 --> 00:45:14.760]   you know, I'm thinking the rumors are congealing.
[00:45:14.760 --> 00:45:17.560]   Yeah, definitely.
[00:45:17.560 --> 00:45:21.600]   It's probably not a very auspicious image in your mind,
[00:45:21.600 --> 00:45:23.480]   but the rumors feel like they're kind of
[00:45:23.480 --> 00:45:27.280]   converging maybe a better word on two iPhones,
[00:45:27.280 --> 00:45:29.880]   a 4.7 inch iPhone and a 5.5.
[00:45:29.880 --> 00:45:34.000]   You think we'll see both Tim on September 9th?
[00:45:34.000 --> 00:45:35.760]   Yeah, I'm inclined to think that we will see
[00:45:35.760 --> 00:45:37.680]   both devices on that date.
[00:45:37.680 --> 00:45:39.760]   I don't know whether they'll launch simultaneously.
[00:45:39.760 --> 00:45:41.200]   There's definitely a chance that Apple will say
[00:45:41.200 --> 00:45:42.280]   one's gonna be out next week
[00:45:42.280 --> 00:45:44.320]   and the other one maybe will be a month later.
[00:45:44.320 --> 00:45:47.120]   Certainly we've heard issues of low yields
[00:45:47.120 --> 00:45:48.920]   on some of their display componentry
[00:45:48.920 --> 00:45:51.200]   that might be causing some shortages
[00:45:51.200 --> 00:45:52.960]   when it comes to supply.
[00:45:52.960 --> 00:45:54.640]   But short of that, I think they would probably like
[00:45:54.640 --> 00:45:56.800]   to have both launched simultaneously.
[00:45:56.800 --> 00:45:58.360]   And it'll be interesting to see how that goes,
[00:45:58.360 --> 00:46:01.360]   how they message the two, how they differentiate the two,
[00:46:01.360 --> 00:46:04.000]   because they did launch, of course, the 5C,
[00:46:04.000 --> 00:46:04.840]   not that long ago.
[00:46:04.840 --> 00:46:06.360]   And the messaging there was very much,
[00:46:06.360 --> 00:46:07.600]   you know, this is not a cheaper phone.
[00:46:07.600 --> 00:46:10.160]   This is just a different type of phone.
[00:46:10.160 --> 00:46:11.480]   But I think that these are gonna have to be
[00:46:11.480 --> 00:46:12.760]   a little bit more focused devices
[00:46:12.760 --> 00:46:14.200]   when it comes to the messaging,
[00:46:14.200 --> 00:46:16.040]   a little bit more focused in terms of usage
[00:46:16.040 --> 00:46:18.400]   and maybe aiming to a professional
[00:46:18.400 --> 00:46:20.960]   versus just casual users and that kind of thing.
[00:46:20.960 --> 00:46:22.480]   So I think we'll see some interesting marketing
[00:46:22.480 --> 00:46:23.680]   and some interesting advertising.
[00:46:23.680 --> 00:46:25.360]   And I'm curious to see what the message is
[00:46:25.360 --> 00:46:26.720]   on September 9th.
[00:46:26.720 --> 00:46:30.600]   Reuters says because of the new display,
[00:46:30.600 --> 00:46:32.400]   the new in-cell touch screens they're using,
[00:46:32.400 --> 00:46:36.120]   they're having a hard time getting those from LG and Sharp.
[00:46:36.120 --> 00:46:40.800]   And that's one concern that might hold up either
[00:46:40.800 --> 00:46:43.120]   or both of the phones.
[00:46:43.120 --> 00:46:44.800]   This makes it a little bit thinner
[00:46:44.800 --> 00:46:48.860]   because the in-cell touch panel eliminates some layers.
[00:46:48.860 --> 00:46:53.600]   - Every year, talk about how the newest device
[00:46:53.600 --> 00:46:56.440]   will be delayed from Apple and they're never right.
[00:46:56.440 --> 00:46:57.280]   (laughs)
[00:46:57.280 --> 00:46:59.000]   - Yeah, I mean, I understand these rumors
[00:46:59.000 --> 00:47:01.440]   are complete speculation in most cases.
[00:47:01.440 --> 00:47:05.080]   Although I do trust the supply rumors a little bit more
[00:47:05.080 --> 00:47:08.080]   because frankly it's hard to keep a lid on the suppliers.
[00:47:08.080 --> 00:47:10.480]   Even Foxconn is starting to leak
[00:47:10.480 --> 00:47:13.840]   a little bit about this stuff.
[00:47:13.840 --> 00:47:14.680]   So.
[00:47:14.680 --> 00:47:18.960]   - Are you gonna go with, I mean, my sources are telling me
[00:47:18.960 --> 00:47:22.520]   we're gonna see two phones for sure.
[00:47:22.520 --> 00:47:25.360]   - You've had some very good sources in the past, Lee.
[00:47:25.360 --> 00:47:26.200]   - Right.
[00:47:26.200 --> 00:47:27.800]   - Are you still in touch with those folks?
[00:47:27.800 --> 00:47:28.880]   - Oh, yeah, absolutely.
[00:47:28.880 --> 00:47:31.520]   And I really think we're gonna see two new phones.
[00:47:31.520 --> 00:47:34.160]   The question for me is whether or not,
[00:47:34.160 --> 00:47:36.600]   I don't know, I mean, walk around with the,
[00:47:36.600 --> 00:47:40.000]   just to test obviously the larger--
[00:47:40.000 --> 00:47:42.640]   - That's the 1520, the Nokia 1520 there.
[00:47:42.640 --> 00:47:43.480]   - Yeah, yeah.
[00:47:43.480 --> 00:47:50.120]   And, you know, to me it's just too big.
[00:47:50.120 --> 00:47:51.560]   But I'm not a senior citizen yet,
[00:47:51.560 --> 00:47:53.400]   so maybe I would enjoy--
[00:47:53.400 --> 00:47:54.240]   - I am.
[00:47:54.240 --> 00:47:55.080]   - Much larger.
[00:47:55.080 --> 00:47:56.560]   - And I like it, but you like the note.
[00:47:56.560 --> 00:47:57.760]   You like the note, right?
[00:47:57.760 --> 00:48:00.400]   - I have that 1520, I loved it until I bricked it.
[00:48:00.400 --> 00:48:03.880]   - I'm hearing that obviously the screen resolution
[00:48:03.880 --> 00:48:07.040]   on the larger phone is gonna be much better.
[00:48:08.040 --> 00:48:10.240]   - Well, actually that's a good question.
[00:48:10.240 --> 00:48:14.080]   What is the resolution gonna be on the 47 and the 55?
[00:48:14.080 --> 00:48:16.680]   Do we know-- - What I'm hearing,
[00:48:16.680 --> 00:48:19.000]   what I'm hearing from a couple of sources
[00:48:19.000 --> 00:48:22.360]   is three times retina on the larger screen.
[00:48:22.360 --> 00:48:26.200]   - That's not, that's the pixels per inch.
[00:48:26.200 --> 00:48:27.520]   - Right.
[00:48:27.520 --> 00:48:31.240]   - You're saying three times that would be like 600?
[00:48:31.240 --> 00:48:33.880]   - And Gruber actually had a great post about it
[00:48:33.880 --> 00:48:35.720]   the other day too, where he broke it down.
[00:48:35.720 --> 00:48:37.840]   And this is jiving with what I've been hearing
[00:48:37.840 --> 00:48:42.840]   as well, 461 PPI, so on the 5.5 inch.
[00:48:42.840 --> 00:48:47.760]   So like, what did he say, 2208?
[00:48:47.760 --> 00:48:48.600]   Is that right?
[00:48:48.600 --> 00:48:52.920]   2208 times 1248 on the 5.5 inch screen.
[00:48:52.920 --> 00:48:53.760]   - And he did a little bit of that one.
[00:48:53.760 --> 00:48:57.360]   - The 5.5 is 2208 by 1242.
[00:48:57.360 --> 00:48:58.200]   - Yeah.
[00:48:58.200 --> 00:49:00.920]   - And that would be four to 61 pixels per inch.
[00:49:00.920 --> 00:49:04.160]   Ironically, more than the smaller iPhones,
[00:49:04.160 --> 00:49:06.360]   you'd think those would have a higher density.
[00:49:06.360 --> 00:49:09.760]   The 4.7 would be 1334 by 750.
[00:49:09.760 --> 00:49:12.760]   Is this because it's doubled and tripled?
[00:49:12.760 --> 00:49:14.640]   Is that why they come up with this?
[00:49:14.640 --> 00:49:16.960]   - I think so, yeah.
[00:49:16.960 --> 00:49:19.400]   I'm terrible with math, I have to get out my abacus,
[00:49:19.400 --> 00:49:22.280]   but the amount of time that John's been going through
[00:49:22.280 --> 00:49:25.680]   all of the different variables, but it's jiving in--
[00:49:25.680 --> 00:49:27.320]   - John used to get ready for this,
[00:49:27.320 --> 00:49:29.720]   the Pythagorean theorem.
[00:49:29.720 --> 00:49:30.560]   - Right.
[00:49:30.560 --> 00:49:32.680]   - I remember the name, I have no idea.
[00:49:32.680 --> 00:49:35.800]   Is that A squared plus B squared equals C squared?
[00:49:35.800 --> 00:49:36.640]   - What is that?
[00:49:36.640 --> 00:49:37.480]   - Yeah, I think so.
[00:49:37.480 --> 00:49:38.320]   - Okay.
[00:49:38.320 --> 00:49:40.160]   Well, that sure helps me.
[00:49:40.160 --> 00:49:41.000]   - Right.
[00:49:41.000 --> 00:49:45.960]   - Did Gruber have to go back and get his eighth grade math book
[00:49:45.960 --> 00:49:46.800]   or what?
[00:49:46.800 --> 00:49:48.640]   - He must have.
[00:49:48.640 --> 00:49:49.800]   - Wow.
[00:49:49.800 --> 00:49:50.640]   That's impressive.
[00:49:50.640 --> 00:49:52.280]   - But it makes a serious questions though, I think too,
[00:49:52.280 --> 00:49:54.600]   when I'm thinking about some of the different apps
[00:49:54.600 --> 00:49:56.280]   that when I think about Readquick for instance,
[00:49:56.280 --> 00:49:59.000]   about well, there's a difference,
[00:49:59.000 --> 00:50:02.200]   we made it a universal app for a reason, right?
[00:50:02.200 --> 00:50:03.800]   But there's different versions of it.
[00:50:03.800 --> 00:50:07.560]   So what does it mean to have the app running on an iPad,
[00:50:07.560 --> 00:50:09.640]   an iPad Air, an iPad Mini?
[00:50:09.640 --> 00:50:12.520]   Then what does it mean to have it on such a small device
[00:50:12.520 --> 00:50:14.840]   when you're in line at a Starbucks?
[00:50:14.840 --> 00:50:16.840]   Well, then what does it now mean to have
[00:50:16.840 --> 00:50:18.520]   on a 5.5 inch screen?
[00:50:18.520 --> 00:50:20.880]   What sorts of buttons can we employ there?
[00:50:20.880 --> 00:50:22.400]   What sorts of things will pop up?
[00:50:22.400 --> 00:50:24.720]   What sorts of tools will pop up on that screen?
[00:50:24.720 --> 00:50:30.000]   And I know that obviously Apple seems to be pushing
[00:50:30.000 --> 00:50:32.200]   developers in that direction to really consider
[00:50:32.200 --> 00:50:34.440]   these different screen sizes when they're building
[00:50:34.440 --> 00:50:35.600]   their apps tall.
[00:50:35.600 --> 00:50:40.840]   And I know there's a bit of rumors out there about.
[00:50:40.840 --> 00:50:43.360]   - Go ahead.
[00:50:43.360 --> 00:50:47.120]   - Oh, I was gonna say with split screen apps now,
[00:50:47.120 --> 00:50:48.200]   let me see what the surface is.
[00:50:48.200 --> 00:50:50.400]   - Well, we know iOS 8 will have that.
[00:50:50.400 --> 00:50:51.240]   - Right.
[00:50:51.240 --> 00:50:56.080]   So a lot of developer questions I'm having
[00:50:56.080 --> 00:50:57.800]   just a couple of weeks.
[00:50:57.800 --> 00:51:01.280]   - His point is that if you make the 4.7 inch,
[00:51:01.280 --> 00:51:06.000]   1334 by 750, that's double the pixel density.
[00:51:06.000 --> 00:51:10.400]   Doubles easy to do for a developer.
[00:51:10.400 --> 00:51:11.320]   You wanna do multiples.
[00:51:11.320 --> 00:51:15.960]   You don't wanna do it by 1.68 times because then that's tough.
[00:51:15.960 --> 00:51:19.940]   The 5.5 inch he's thinking will be three times the density.
[00:51:19.940 --> 00:51:22.680]   And I'll read you his reasoning.
[00:51:22.680 --> 00:51:26.080]   First, I'm assuming that both the 4.7 and 5.5 inch rumors
[00:51:26.080 --> 00:51:26.920]   are true.
[00:51:26.920 --> 00:51:30.520]   Second, I'm assuming a 69 aspect ratio for both displays.
[00:51:30.520 --> 00:51:33.360]   Given these assumptions and the Pythagorean theorem,
[00:51:33.360 --> 00:51:35.080]   it's easy to create a spreadsheet model
[00:51:35.080 --> 00:51:37.040]   that gives you the pixels per inch resolution
[00:51:37.040 --> 00:51:39.520]   for a given pixel count.
[00:51:39.520 --> 00:51:41.320]   Given the height and width and pixels we could solve
[00:51:41.320 --> 00:51:43.360]   for the diagonal and pixels, A squared plus B squared
[00:51:43.360 --> 00:51:45.520]   equals C squared, starting with value.
[00:51:45.520 --> 00:51:46.440]   Oh, forget it.
[00:51:46.440 --> 00:51:48.960]   He's just showing off now.
[00:51:48.960 --> 00:51:52.120]   Anyway, but that makes sense
[00:51:52.120 --> 00:51:54.080]   because you wanna make it easy for developers.
[00:51:54.080 --> 00:51:59.080]   And did you see the Android fragmentation graphic
[00:52:00.000 --> 00:52:01.160]   that came out this week?
[00:52:01.160 --> 00:52:04.600]   And it shows you why, what Apple's trying to avoid.
[00:52:04.600 --> 00:52:09.120]   There are so many different Android devices
[00:52:09.120 --> 00:52:14.560]   and so many different, this is the graphic for Android users.
[00:52:14.560 --> 00:52:16.080]   This is from OpenSignal.
[00:52:16.080 --> 00:52:19.320]   This looks like my hard drive.
[00:52:19.320 --> 00:52:22.120]   - Defragging. - Defragging.
[00:52:22.120 --> 00:52:25.560]   Each rectangle represents a unique Android device.
[00:52:25.560 --> 00:52:27.520]   According to OpenSignal,
[00:52:27.520 --> 00:52:29.200]   which makes software for mobile devices
[00:52:29.200 --> 00:52:31.240]   that track cell phone towers and Wi-Fi signals.
[00:52:31.240 --> 00:52:33.840]   So they're getting this data from the field.
[00:52:33.840 --> 00:52:38.840]   There are, get this, 18,796 different unique Android devices.
[00:52:38.840 --> 00:52:44.680]   Imagine, do you do read quick for Android?
[00:52:44.680 --> 00:52:45.520]   - No.
[00:52:45.520 --> 00:52:46.360]   (laughs)
[00:52:46.360 --> 00:52:47.520]   - You know why? - Now you know why.
[00:52:47.520 --> 00:52:48.760]   - I've been talking back and forth with it for months.
[00:52:48.760 --> 00:52:52.040]   I mean, people ask for it, but I just--
[00:52:52.040 --> 00:52:56.000]   - Look at this, this is the various Android screen sizes
[00:52:56.000 --> 00:52:57.480]   that you have to deal with.
[00:52:58.840 --> 00:53:00.200]   They're all over the place.
[00:53:00.200 --> 00:53:03.920]   Now iPad and iPhone, it's very linear.
[00:53:03.920 --> 00:53:05.240]   And this is the key.
[00:53:05.240 --> 00:53:09.360]   If you add the new iPhone, it goes right in here in the box.
[00:53:09.360 --> 00:53:14.360]   It's not nearly so crazy.
[00:53:14.360 --> 00:53:18.920]   Android versions over time, these graphs are just bizarre.
[00:53:18.920 --> 00:53:22.680]   91% of iOS devices run the latest version.
[00:53:22.680 --> 00:53:24.880]   So that's also a simplification for you.
[00:53:24.880 --> 00:53:27.040]   - There's a graph missing there
[00:53:27.040 --> 00:53:29.480]   and that is Android sales versus iOS.
[00:53:29.480 --> 00:53:30.320]   (laughs)
[00:53:30.320 --> 00:53:31.760]   That would tell a very different story, wouldn't it?
[00:53:31.760 --> 00:53:33.160]   - Yeah.
[00:53:33.160 --> 00:53:35.440]   Android has 80% market share globally.
[00:53:35.440 --> 00:53:36.600]   80%.
[00:53:36.600 --> 00:53:40.680]   And frankly, I use, I'm using this OnePlus One, I love it.
[00:53:40.680 --> 00:53:42.800]   And this is a five, I don't know what,
[00:53:42.800 --> 00:53:45.000]   this is five, five and a half.
[00:53:45.000 --> 00:53:46.240]   Can't remember.
[00:53:46.240 --> 00:53:47.080]   It's big.
[00:53:47.080 --> 00:53:48.320]   - What is that one?
[00:53:48.320 --> 00:53:50.600]   - This is the crazy one where they wanted women
[00:53:50.600 --> 00:53:52.160]   to put tattoos on their butt.
[00:53:52.160 --> 00:53:55.240]   You know what, the OnePlus One?
[00:53:56.240 --> 00:53:58.680]   (laughs)
[00:53:58.680 --> 00:53:59.840]   - Did that marketing campaign work for them?
[00:53:59.840 --> 00:54:01.200]   - Did not work for them, no.
[00:54:01.200 --> 00:54:02.920]   (laughs)
[00:54:02.920 --> 00:54:04.680]   However, this is the irony of it.
[00:54:04.680 --> 00:54:08.320]   If it's $350 for 64 gig and it's a really great phone.
[00:54:08.320 --> 00:54:11.520]   I don't know.
[00:54:11.520 --> 00:54:13.560]   I am very intrigued by the new iPhone
[00:54:13.560 --> 00:54:16.480]   and I probably, I know I will get one.
[00:54:16.480 --> 00:54:18.320]   I'm actually, there are things that have been keeping me
[00:54:18.320 --> 00:54:19.800]   from, that got me off the iPhone
[00:54:19.800 --> 00:54:22.320]   over the last couple of years or screen size
[00:54:22.320 --> 00:54:24.240]   and the God awful keyboard
[00:54:24.240 --> 00:54:27.360]   and both of these are gonna be solved in the new iPhone.
[00:54:27.360 --> 00:54:28.200]   You'll be able to put it forward.
[00:54:28.200 --> 00:54:29.040]   - A couple of questions I have too,
[00:54:29.040 --> 00:54:32.520]   is will there be any difference between the two devices
