;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[01:01:16.960 --> 01:01:21.200]   Certainly it's the case that social networks twit you got to include twitter in this
[01:01:21.200 --> 01:01:26.240]   Uh, have been have been used for queuing on we're huge. Yeah for good and ill
[01:01:27.120 --> 01:01:30.240]   Uh, you know and you could say you know the Arab spring
[01:01:30.240 --> 01:01:34.480]   Uh was also enabled by facebook and twitter among others
[01:01:34.480 --> 01:01:36.560]   um
[01:01:36.560 --> 01:01:38.560]   Are they evil?
[01:01:38.560 --> 01:01:41.280]   In intent or just in
[01:01:41.280 --> 01:01:43.760]   Um
[01:01:43.760 --> 01:01:46.400]   By omission or co-mission. I guess is the question
[01:01:46.400 --> 01:01:52.080]   Well, I can't call anyone evil. I I can't be that well, but that's in a way. That's the issue right because
[01:01:52.640 --> 01:01:55.440]   Yeah, so facebook is so big so vast
[01:01:55.440 --> 01:02:03.360]   It probably is impossible to police it. I would guess I think that they were pretty aware. I mean look everybody's talking
[01:02:03.360 --> 01:02:05.920]   Uh, look trident twitter had
[01:02:05.920 --> 01:02:13.200]   Remarkably capable people in their trust and safety, but they still overlooked the proliferation of qanon, which was a very harmful look
[01:02:13.200 --> 01:02:15.200]   I was docked by qanon sent
[01:02:15.200 --> 01:02:17.440]   countless death threats
[01:02:17.440 --> 01:02:19.040]   I I mean
[01:02:19.040 --> 01:02:23.440]   twitter helped enable this but do I think their trust and safety people helped enable it?
[01:02:23.440 --> 01:02:24.800]   No, I don't think that
[01:02:24.800 --> 01:02:28.560]   So I I don't know the answer to your question leo, but I think that you know and i'm sorry
[01:02:28.560 --> 01:02:33.600]   I always come on this program to talk politics and I don't mean to but I think tech intersects politics. No, no
[01:02:33.600 --> 01:02:37.280]   It's really important ways right now. It's important. I think it's important to be aware of it
[01:02:37.280 --> 01:02:42.240]   You know, uh, what is that new movie that is essentially a qanon?
[01:02:42.240 --> 01:02:44.880]   movie is being heavily promoted
[01:02:44.880 --> 01:02:47.760]   by the new york times
[01:02:48.320 --> 01:02:49.840]   um
[01:02:49.840 --> 01:02:52.160]   Right now the uh sound of freedom
[01:02:52.160 --> 01:02:58.080]   Which is well if you look into it, uh, the the origins story is not good
[01:02:58.080 --> 01:03:02.000]   and um, I I feel like
[01:03:02.000 --> 01:03:08.720]   It's so pervasive in our society that anything any social network that reflects our society
[01:03:08.720 --> 01:03:11.200]   Is going to reflect that kind of evil
[01:03:11.200 --> 01:03:13.360]   content
[01:03:13.360 --> 01:03:17.440]   And even newspapers where you would expect you know the new york times to know a little bit better than to
[01:03:18.000 --> 01:03:20.000]   promote sound of freedom
[01:03:20.000 --> 01:03:24.320]   Make mistakes. I'm sure this was an editorial mistake on their part. I hope it was
[01:03:24.320 --> 01:03:30.400]   So the challenge I have with any social network is the vast sums of money and profit that has been
[01:03:30.400 --> 01:03:32.400]   uh, uh
[01:03:32.400 --> 01:03:37.680]   earned by not just the companies themselves but pocketed by the individuals there and I do think that there is
[01:03:37.680 --> 01:03:40.480]   a significant amount of responsibility by
[01:03:40.480 --> 01:03:47.760]   The the people who are responsible for these social platforms for enabling things like while we say the engagements up
[01:03:47.760 --> 01:03:52.080]   The engagements really high. Well, like that can do good things and it can do bad things
[01:03:52.080 --> 01:03:57.680]   And I think that you know to quote spider-man for the five millionth time with great power comes great responsibility
[01:03:57.680 --> 01:04:03.040]   And I would like the platform owners to take a little more responsibility and they have tremendous power
[01:04:03.040 --> 01:04:06.240]   Uh, but I think they've dodged a lot of responsibility
[01:04:06.240 --> 01:04:09.040]   So I take it you're not on threats
[01:04:09.040 --> 01:04:14.560]   I have like everybody. I mean like I made an accounts and like I posted a couple links
[01:04:15.120 --> 01:04:22.560]   Uh, I I but I don't engage and I don't have any social media on my phone. Um, I and that's in general
[01:04:22.560 --> 01:04:28.480]   You have zero social media. I have I don't think I have a youtube on my phone. Um, well, I
[01:04:28.480 --> 01:04:33.520]   Gurbaging garbage out. Oh, absolutely. I mean, yeah, definitely. Absolutely. I take
[01:04:33.520 --> 01:04:41.600]   With clean hands, but part of this is just the vast reach these services have it would be almost impossible. I mean
[01:04:42.800 --> 01:04:46.400]   It would be almost impossible for them to have completely clean hands. I think for sure
[01:04:46.400 --> 01:04:49.920]   Is an example of a company. I mean google and youtube want to
[01:04:49.920 --> 01:04:56.800]   Uh, do not want to promote terrorism or or or, um, you know genocide
[01:04:56.800 --> 01:05:02.160]   But sometimes are used that way they do their best not to but it's almost impossible for them to prevent it 100
[01:05:02.160 --> 01:05:09.520]   Right. And they certainly I mean there are voices of anti-Semitism and voices absolutely that certainly were amplified on youtube
[01:05:09.520 --> 01:05:10.800]   Yeah
[01:05:10.800 --> 01:05:12.800]   I mean the problem is us
[01:05:12.800 --> 01:05:18.640]   Uh and to the degree that social networks reflect us they're going to be problematic
[01:05:18.640 --> 01:05:23.920]   How what is there was how how how much can we expect them to?
[01:05:23.920 --> 01:05:29.280]   To filter this stuff and how effective are they going to be is a big question to me
[01:05:29.280 --> 01:05:36.800]   We can expect that an honest effort and we can expect that if you have made billions then then don't be disingenuous
[01:05:36.880 --> 01:05:42.880]   Yeah, I think maybe the formation of the for example facebook oversight committee was disingenuous
[01:05:42.880 --> 01:05:48.400]   Yes, it is not a supreme court. It did not do it. I mean and it really did a very
[01:05:48.400 --> 01:05:53.120]   Scary thing which was you know, they would get down to the very granular level and say well
[01:05:53.120 --> 01:05:57.120]   We we are examining this post this post this post this post which
[01:05:57.120 --> 01:06:00.960]   Marginalizes and makes the scale of the problem seem small
[01:06:00.960 --> 01:06:06.480]   It makes the scale of the problem seem like individual posts and that they're ruling an individual post when the problem is
[01:06:06.800 --> 01:06:13.440]   Large and at scale and let me tell you with artificial intelligence the 2024 election and disinformation
[01:06:13.440 --> 01:06:18.240]   Get ready. Media is going to be a big challenge. Yeah, if you hate politics in your tech now
[01:06:18.240 --> 01:06:20.240]   You're going to hate it a lot more in a year
[01:06:20.240 --> 01:06:23.600]   Yeah, actually this week a congressional report found that meta
[01:06:23.600 --> 01:06:28.320]   And tax prep companies recklessly shared taxpayers data
[01:06:28.320 --> 01:06:34.720]   Another reason to hate it dislike meta this comes from the markup the mark up dot org
[01:06:35.520 --> 01:06:36.480]   uh
[01:06:36.480 --> 01:06:39.200]   h&r block tax act and tax layer
[01:06:39.200 --> 01:06:45.120]   Had a tool called the meta pixel on their software transmitting
[01:06:45.120 --> 01:06:47.920]   data to facebook to meta
[01:06:47.920 --> 01:06:51.120]   As you filed your taxes using those
[01:06:51.120 --> 01:07:01.280]   Programs and those websites and it sent information like your first and last name your income your filing status and your refund amounts
[01:07:04.320 --> 01:07:09.040]   Yikes, um, but again, uh, you know you have to consider intent
[01:07:09.040 --> 01:07:14.240]   Was this just an accidental data leak or was this an intentional?
[01:07:14.240 --> 01:07:16.240]   uh
[01:07:16.240 --> 01:07:18.240]   data mining effort
[01:07:18.240 --> 01:07:22.640]   And I don't know and I don't know how I think we should investigate it
[01:07:22.640 --> 01:07:28.960]   Um h&r block meta and tax layer did not respond to the markups requests for comment
[01:07:29.680 --> 01:07:35.760]   Uh google analytics apparently does something similar a spokesperson for google said the company has strict policies and technical features
[01:07:35.760 --> 01:07:39.280]   To stop google analytics users from collecting sensitive data
[01:07:39.280 --> 01:07:43.520]   Um, and I think that that's the case we use google analytics
[01:07:43.520 --> 01:07:48.480]   And even though it's been banned in denmark and some other countries we continue to use it
[01:07:48.480 --> 01:07:51.840]   I've been trying to not use it, but our advertisers demand it
[01:07:51.840 --> 01:07:54.720]   um
[01:07:55.520 --> 01:07:59.440]   It's interesting how immune we've become to this idea that that you know privacy is
[01:07:59.440 --> 01:08:06.000]   Is really not existing at this point. Yeah bring up really good points about like about meta's track record and and um,
[01:08:06.000 --> 01:08:10.080]   And there was this really clear hesitation with a lot of people about whether they should join threads
[01:08:10.080 --> 01:08:16.640]   Because of all the reasons that you bring up, but it's also a testament to how desperate people are to find that twitter alternative
[01:08:16.640 --> 01:08:24.240]   And I think that's really the takeaway here is that people were so desperate that they had to essentially choose between the quote-unquote lesser of two evils
[01:08:24.400 --> 01:08:26.400]   And it's just our reality
[01:08:26.400 --> 01:08:29.280]   I don't think anybody at this point can question
[01:08:29.280 --> 01:08:38.640]   How horrible twitter has become and and I feel like being untruthable it was once it was once valuable, but but but I think you can't
[01:08:38.640 --> 01:08:42.800]   You must know if you use twitter today that you are kind of supporting
[01:08:42.800 --> 01:08:49.520]   Something that is that doesn't deserve your support and yet. I know so many people that are still on twitter
[01:08:49.520 --> 01:08:53.040]   As a company we still use twitter as much as i've tried to stop it
[01:08:53.600 --> 01:08:55.760]   um
[01:08:55.760 --> 01:08:57.760]   It's hard
[01:08:57.760 --> 01:08:59.840]   It's hard. It's it's all nice to be a dude.
[01:08:59.840 --> 01:09:03.440]   There's these weird moral choices all the time like you know
[01:09:03.440 --> 01:09:08.240]   Right now we have you know tom cruises new movie mission and possible outright and
[01:09:08.240 --> 01:09:14.880]   He's an incredible actor who does like amazing stuff in his films and they're really good movies and yet the Scientology thing
[01:09:14.880 --> 01:09:18.880]   So do you draw the line and say i'm boycotting?
[01:09:19.440 --> 01:09:26.160]   Tom cruise films and I again, you know like I respect people who do but the fact is most people aren't and it's a weird moral choice
[01:09:26.160 --> 01:09:29.600]   I don't even know whether it's no Michael Jackson's music anymore
[01:09:29.600 --> 01:09:32.560]   Right. Yeah
[01:09:32.560 --> 01:09:40.080]   Yeah, it really does become the use like weird like what do you support and we all just have to draw our draw our own lines where they are
[01:09:40.080 --> 01:09:43.600]   You know there's have to be a line, you know, you can just say like, you know
[01:09:43.600 --> 01:09:48.960]   I have certain things that I I believe but like, you know, I still posted on threads
[01:09:49.120 --> 01:09:56.160]   Like it doesn't have to be a hard line. It can just be like I have values at least be aware. I guess and thinking right in conscience
[01:09:56.160 --> 01:10:01.520]   Uh, I think the idea is like we use this power to push these companies into the right direction
[01:10:01.520 --> 01:10:04.640]   I would argue that you know facebook has been under a lot of scrutiny
[01:10:04.640 --> 01:10:08.720]   They have improved a lot of ways one thing that's interesting about threads
[01:10:08.720 --> 01:10:14.400]   You know people just say it's a twitter alternative, but their mission statements kind of different than uh twitter, you know
[01:10:14.400 --> 01:10:15.360]   They've
[01:10:15.360 --> 01:10:18.880]   Publicly said they don't want to focus on hard news and politics
[01:10:18.880 --> 01:10:23.920]   They want to focus on people's like hobbies and interests and form communities around them
[01:10:23.920 --> 01:10:28.080]   But how are they gonna stop thinking of block politics and news? I don't understand
[01:10:28.080 --> 01:10:33.200]   Well, one interesting thing is you don't if you go and post something
