;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[00:49:37.520 --> 00:49:40.480]   Maybe you're more cynical than I am, but that's my take.
[00:49:40.480 --> 00:49:43.200]   You know, I'm sure they will, but only if they get pressure.
[00:49:43.200 --> 00:49:45.200]   So we're giving them pressure.
[00:49:45.200 --> 00:49:46.360]   Thank God for turning this on.
[00:49:46.360 --> 00:49:49.120]   Apple clearly thought about it.
[00:49:49.120 --> 00:49:50.240]   They were aware of this.
[00:49:50.240 --> 00:49:54.720]   They even mentioned in the event and in their press releases, "Here's what we're doing
[00:49:54.720 --> 00:49:58.280]   to prevent this been used by stalkers."
[00:49:58.280 --> 00:50:02.240]   It's just important that people raise this issue, and I think this article in Mashable
[00:50:02.240 --> 00:50:06.480]   by Brenda Stolier is very good at raising some real critical issues.
[00:50:06.480 --> 00:50:08.000]   People should be aware of this.
[00:50:08.000 --> 00:50:10.440]   I guess one solution is for everybody to buy an iPhone.
[00:50:10.440 --> 00:50:12.840]   Apple wouldn't mind that solution.
[00:50:12.840 --> 00:50:16.760]   Another solution might be for Apple to make some changes to how this works.
[00:50:16.760 --> 00:50:17.760]   Yeah.
[00:50:17.760 --> 00:50:26.040]   Would it be possible for a tag to be disabled by another person's iOS device?
[00:50:26.040 --> 00:50:31.840]   So you can actually disable it even with an Android device if you find it.
[00:50:31.840 --> 00:50:37.000]   So it has NFC in it, and you can scan it, and it'll say, "This tracker belongs to this
[00:50:37.000 --> 00:50:39.920]   person, and you can disable it at that point."
[00:50:39.920 --> 00:50:42.680]   But you have to find it.
[00:50:42.680 --> 00:50:44.560]   I mean, Brandon, that makes an excellent point.
[00:50:44.560 --> 00:50:48.560]   I mean, every smartphone is potentially the worst tracker in the world.
[00:50:48.560 --> 00:50:55.120]   It has a microphone camera and GPS, and there are ways to make any smartphone be dangerous
[00:50:55.120 --> 00:50:56.120]   to you.
[00:50:56.120 --> 00:50:57.200]   So this is a general-
[00:50:57.200 --> 00:51:01.400]   But the battery in a phone, the battery in a phone would die after a couple of days
[00:51:01.400 --> 00:51:03.520]   if you're running GPS and everything on it.
[00:51:03.520 --> 00:51:04.520]   Right.
[00:51:04.520 --> 00:51:07.240]   The battery in an air tag, I think, can last about a year.
[00:51:07.240 --> 00:51:08.240]   Yeah.
[00:51:08.240 --> 00:51:09.240]   Yeah.
[00:51:09.240 --> 00:51:13.880]   I think it could be problematic much as I don't want it to be, and I hope it isn't.
[00:51:13.880 --> 00:51:15.680]   It's something to be aware of.
[00:51:15.680 --> 00:51:16.680]   That's all I...
[00:51:16.680 --> 00:51:18.640]   And I think Apple needs to respond to these...
[00:51:18.640 --> 00:51:20.040]   I think reasonable criticisms.
[00:51:20.040 --> 00:51:23.000]   Somebody, by the way, is pointing out...
[00:51:23.000 --> 00:51:26.120]   Somebody in the RRC says, "You know, you can't disable it.
[00:51:26.120 --> 00:51:30.880]   You hit it with a hammer, or you can actually remove the battery.
[00:51:30.880 --> 00:51:33.000]   So if you can find it, you can disable it.
[00:51:33.000 --> 00:51:34.760]   That's not hard to do."
[00:51:34.760 --> 00:51:35.760]   Go ahead, Tim.
[00:51:35.760 --> 00:51:36.760]   Sorry.
[00:51:36.760 --> 00:51:38.960]   I was just going to say, "This reminds me a bit of the release of Google Glass, actually,
[00:51:38.960 --> 00:51:42.080]   where Google decided for a cool tech product."
[00:51:42.080 --> 00:51:45.120]   And it seemed like they really didn't put any thought into the whole privacy aspect
[00:51:45.120 --> 00:51:46.120]   of the thing.
[00:51:46.120 --> 00:51:48.480]   They threw it out there to see what consumers would do with it.
[00:51:48.480 --> 00:51:50.720]   And everybody said, "Oh my God, this is terrifying.
[00:51:50.720 --> 00:51:52.640]   You're going to be recording me in the bathroom and things like that."
[00:51:52.640 --> 00:51:57.160]   And Google, at the time, was very reluctant to make any changes to Google Glass, to make
[00:51:57.160 --> 00:52:01.600]   any privacy advocate feel even a little bit better about other people wearing this thing.
[00:52:01.600 --> 00:52:04.880]   Ultimately, it wasn't a mass market product, and it really never went anywhere.
[00:52:04.880 --> 00:52:08.920]   Apple, I hope they respond in a better way that they're more receptive to these things.
[00:52:08.920 --> 00:52:12.240]   And I think they will, too, because they obviously want to sell a lot of these things.
[00:52:12.240 --> 00:52:13.240]   Yeah, and they will.
[00:52:13.240 --> 00:52:16.760]   I mean, this is going to be, and Tiles right to be terrified.
[00:52:16.760 --> 00:52:21.800]   You can't compete with a billion iPhones, and this is going to be ubiquitous.
[00:52:21.800 --> 00:52:23.040]   I ordered four.
[00:52:23.040 --> 00:52:24.560]   People are starting to get them already.
[00:52:24.560 --> 00:52:25.560]   Me too.
[00:52:25.560 --> 00:52:26.560]   And the thing that--
[00:52:26.560 --> 00:52:27.560]   They're a product.
[00:52:27.560 --> 00:52:33.960]   It is, and the thing that it does that nothing else does is this UWB, this ability with the
[00:52:33.960 --> 00:52:40.640]   ultra wideband chip built into late model iPhones, point your iPhone and get-- it's under the
[00:52:40.640 --> 00:52:43.480]   couch, pointed at it, and then there it is.
[00:52:43.480 --> 00:52:45.920]   That's-- nobody can do that, and that's fantastic.
[00:52:45.920 --> 00:52:49.080]   I mean, eventually, I suppose, UWB isn't owned by Apple.
[00:52:49.080 --> 00:52:50.880]   I suppose other companies can do this.
[00:52:50.880 --> 00:52:55.480]   But this is why you live in that ecosystem, Brianna, because it works.
[00:52:55.480 --> 00:52:56.480]   Yeah.
[00:52:56.480 --> 00:53:02.280]   I do have to say, one of the problems I think Tyle made-- this is just my experience with
[00:53:02.280 --> 00:53:06.640]   it, but the first versions of it did not have a user replaceable battery.
[00:53:06.640 --> 00:53:07.640]   That was shame.
[00:53:07.640 --> 00:53:08.640]   I will never forget.
[00:53:08.640 --> 00:53:12.200]   What's the site with the funny illustrations that you go to?
[00:53:12.200 --> 00:53:13.200]   XKCD here.
[00:53:13.200 --> 00:53:16.640]   No, no, no, no, the one-- how to, how to wiki.
[00:53:16.640 --> 00:53:17.640]   How to.
[00:53:17.640 --> 00:53:18.640]   Yeah.
[00:53:18.640 --> 00:53:19.640]   And you're going there before--
[00:53:19.640 --> 00:53:21.840]   I like how you remember the how to wiki.
[00:53:21.840 --> 00:53:22.840]   [LAUGHTER]
[00:53:22.840 --> 00:53:28.640]   But you know, it's showing you how to like provide these things apart to replace the battery
[00:53:28.640 --> 00:53:32.240]   in it, because they want to sell you an earth destroying thing.
[00:53:32.240 --> 00:53:33.240]   Every year.
[00:53:33.240 --> 00:53:35.520]   And I'm like, F this.
[00:53:35.520 --> 00:53:42.200]   You know, if Tyle had not made such user hostile decisions at the beginning, I think
[00:53:42.200 --> 00:53:46.760]   they would have more market share today and would be in a more aggressive position with
[00:53:46.760 --> 00:53:47.760]   Apple.
[00:53:47.760 --> 00:53:52.200]   Yeah, they have replaceable batteries now, but I think the perception that you throw away
[00:53:52.200 --> 00:53:55.960]   the tile when it runs out of juice is still with a lot of people.
[00:53:55.960 --> 00:54:01.000]   I mean, maybe they made some steps wrong, but boy, I don't think anybody ever wants to
[00:54:01.000 --> 00:54:03.240]   compete with Apple.
[00:54:03.240 --> 00:54:05.960]   That's just a bad place to be, you know?
[00:54:05.960 --> 00:54:06.960]   Maybe Google will.
[00:54:06.960 --> 00:54:07.960]   In fact, it's interesting.
[00:54:07.960 --> 00:54:12.520]   Google I/O is coming up in a couple of weeks, May 18th.
[00:54:12.520 --> 00:54:15.760]   Sundar Pachay and we'll talk about Google in the next segment, but Sundar Pachay, but
[00:54:15.760 --> 00:54:20.800]   it's a little tease, Sundar Pachay in the quarterly analyst's call, basically said,
[00:54:20.800 --> 00:54:24.960]   "Yeah, we kind of took it easy last year."
[00:54:24.960 --> 00:54:28.320]   And the cadence product cadence is going to step up and we're going to have something
[00:54:28.320 --> 00:54:33.200]   very big to announce at Google I/O.
[00:54:33.200 --> 00:54:36.760]   And I wonder if they're going to move the Pixel 6 announcement up.
[00:54:36.760 --> 00:54:39.560]   Normally, they do that in the fall.
[00:54:39.560 --> 00:54:43.800]   We know that Google is going to design its own chips this time.
[00:54:43.800 --> 00:54:48.280]   And so the Pixel, which really, the Pixel 5 was kind of like, "Ah, ahh."
[00:54:48.280 --> 00:54:53.240]   In fact, so much so that I stuck with my Pixel 4 and you know me, I always get the whatever
[00:54:53.240 --> 00:54:55.440]   the latest is.
[00:54:55.440 --> 00:54:58.680]   I think this could be very interesting and that's only a couple of weeks off.
[00:54:58.680 --> 00:55:02.320]   So I want to see a vital, engaged Google.
[00:55:02.320 --> 00:55:06.640]   I don't like the Google of 2020, the sleepy Google.
[00:55:06.640 --> 00:55:07.880]   That wasn't good.
[00:55:07.880 --> 00:55:15.960]   We will talk about Google's quarterly results and Amazon's profits and a whole lot more,
[00:55:15.960 --> 00:55:20.840]   including a Google privacy robot in their offices.
[00:55:20.840 --> 00:55:24.920]   But first to word, as long as we're talking about privacy from ExpressVPN, have you ever
[00:55:24.920 --> 00:55:26.840]   browsed in incognito mode?
[00:55:26.840 --> 00:55:29.600]   It's not as incognito as you might think.
[00:55:29.600 --> 00:55:35.360]   In fact, there's a $5 billion class action lawsuit against the company right now because
[00:55:35.360 --> 00:55:38.520]   a user said, "You know, I went in incognito mode.
[00:55:38.520 --> 00:55:41.840]   Little did I know Google's still collecting user data."
[00:55:41.840 --> 00:55:45.720]   Google's made its fortune by tracking your movements online.
[00:55:45.720 --> 00:55:47.840]   Google says, "Well incognito doesn't mean invisible."
[00:55:47.840 --> 00:55:49.760]   And they do have an announcement, I guess, when you go in there.
[00:55:49.760 --> 00:55:56.000]   But really, you should know that even if you're using private browsing in Safari or any of
[00:55:56.000 --> 00:56:01.680]   these so-called incognito modes, your ISP can still see everywhere you go when you search
[00:56:01.680 --> 00:56:02.680]   on Google.
[00:56:02.680 --> 00:56:04.720]   Google knows you're there.
[00:56:04.720 --> 00:56:07.960]   How do you actually make yourself invisible as possible online?
[00:56:07.960 --> 00:56:08.960]   ExpressVPN.
[00:56:08.960 --> 00:56:11.200]   That's our sponsor for this segment.
[00:56:11.200 --> 00:56:12.480]   We're big fans.
[00:56:12.480 --> 00:56:15.640]   Even in incognito mode, your online activity gets tracked.
[00:56:15.640 --> 00:56:18.880]   Data brokers still got by and sell your information.
[00:56:18.880 --> 00:56:23.200]   Data harvesters can use your IP address to uniquely identify you in your location.
[00:56:23.200 --> 00:56:27.720]   With ExpressVPN, your connection gets rerouted through an encrypted server.
[00:56:27.720 --> 00:56:29.480]   Your IP address is masked.
[00:56:29.480 --> 00:56:36.000]   You're given a random IP address that is shared by many, many other ExpressVPN customers.
[00:56:36.000 --> 00:56:40.360]   So it's a lot harder for third parties to identify you and harvest your data.
[00:56:40.360 --> 00:56:45.840]   The best part is how easy it is to use ExpressVPN no matter what device you're using, phone,
[00:56:45.840 --> 00:56:47.280]   laptop or smart TV.
[00:56:47.280 --> 00:56:50.080]   The button gives you protection.
[00:56:50.080 --> 00:56:52.960]   Sometimes I'll turn it on and forget, leave it on for weeks.
[00:56:52.960 --> 00:56:56.480]   Finally go, "Oh, but why not leave it on if it's that fast?"
[00:56:56.480 --> 00:57:02.560]   So if you really want to go incognito and protect your privacy and secure yourself with
[00:57:02.560 --> 00:57:08.360]   the number one rated VPN, visit expressvpn.com/twit.
[00:57:08.360 --> 00:57:12.680]   You'll get three extra months with a one year package and you'll be helping Twitout by
[00:57:12.680 --> 00:57:14.680]   just going to that website.
[00:57:14.680 --> 00:57:18.120]   It's also very secure.
[00:57:18.120 --> 00:57:20.080]   ExpressVPN.com/twit.
[00:57:20.080 --> 00:57:24.320]   Get three extra months free with a one year package.
[00:57:24.320 --> 00:57:29.360]   It's the only VPN I use because it really, no logging, it respects your privacy.
[00:57:29.360 --> 00:57:30.800]   It's also very secure.
[00:57:30.800 --> 00:57:31.800]   ExpressVPN.com/twit.
[00:57:31.800 --> 00:57:37.960]   Thank you, ExpressVPN, for your support.
[00:57:37.960 --> 00:57:41.480]   This has been a week to remember on Twit.
[00:57:41.480 --> 00:57:43.160]   We've made a little video.
[00:57:43.160 --> 00:57:46.440]   This won't win an Oscar, but it should win something.
[00:57:46.440 --> 00:57:47.440]   Watch.
[00:57:47.440 --> 00:57:54.040]   I'm going to explain that due to COVID requirements, I'm recording this by myself with an Insta360
[00:57:54.040 --> 00:57:57.480]   360 degree camera.
[00:57:57.480 --> 00:58:01.640]   Previously on Twit, hands on tech.
[00:58:01.640 --> 00:58:04.320]   Finally, my Mustang Mach-E has arrived.
[00:58:04.320 --> 00:58:08.920]   Yes, it's not quite a Mustang, but it has some Mustang touches and it sure is fun to
[00:58:08.920 --> 00:58:11.440]   drive.
[00:58:11.440 --> 00:58:12.440]   Tech News Weekly.
[00:58:12.440 --> 00:58:20.680]   Researchers are taking time to look into and ponder the possible effects of deep fate.
[00:58:20.680 --> 00:58:25.480]   Geography, for example, creating hysteria around things like wildfires.
[00:58:25.480 --> 00:58:26.480]   There you go.
[00:58:26.480 --> 00:58:28.440]   We're not exists.
[00:58:28.440 --> 00:58:29.600]   This week in Google.
[00:58:29.600 --> 00:58:30.960]   This is not moral panic.
[00:58:30.960 --> 00:58:33.920]   This is really a scary story from The Washer bust.
[00:58:33.920 --> 00:58:38.200]   She never returned her VHS copy of Sabrina the Teenage Witch.
[00:58:38.200 --> 00:58:39.600]   What the fuck is this story?
[00:58:39.600 --> 00:58:40.600]   The DA's office.
[00:58:40.600 --> 00:58:42.160]   This happened to me.
[00:58:42.160 --> 00:58:47.240]   20 years later, she faces a felony charge.
