;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[00:59:06.020 --> 00:59:10.820]   But we don't have to because the day before that law went on effect the judge said what are you kidding me?
[00:59:12.820 --> 00:59:14.820]   Florida man get out of here
[00:59:14.820 --> 00:59:21.140]   Uh other governmental action ftc is going to uh says yep, you know, we're gonna
[00:59:21.140 --> 00:59:28.100]   We maybe we were a little lax a little lenient with the instagram facebook and the uh, what's that facebook?
[00:59:28.100 --> 00:59:35.060]   So this amazon mgm purchase we're gonna investigate. Oh, yeah, the problem is it takes so long
[00:59:36.820 --> 00:59:44.340]   It actually it actually may put the kibosh on the whole thing amazon wanted to buy mgm for 8.5 billion
[00:59:44.340 --> 00:59:47.620]   good article in the uh information saying
[00:59:47.620 --> 00:59:50.260]   in a way it is
[00:59:50.260 --> 00:59:53.220]   absolutely competitive if you think about
[00:59:53.220 --> 00:59:56.180]   amazon's competing with
[00:59:56.180 --> 00:59:59.220]   television networks
[00:59:59.220 --> 01:00:01.380]   other streaming services
[01:00:01.380 --> 01:00:03.940]   This is this is a good thing and
[01:00:04.580 --> 01:00:08.580]   Sand to say it's not gonna happen probably because it's just gonna take so long for this
[01:00:08.580 --> 01:00:10.980]   Amazon we're strictly in the
[01:00:10.980 --> 01:00:13.620]   business of selling things like it used to be
[01:00:13.620 --> 01:00:18.420]   It wouldn't have been an issue because the ftc traditionally allows companies to buy
[01:00:18.420 --> 01:00:24.100]   Other companies in different industries, but the fact that they are already a major studio
[01:00:24.100 --> 01:00:27.780]   And it seems to me that's gonna be part of the argument right now. Yeah, yeah
[01:00:27.780 --> 01:00:30.820]   um
[01:00:30.820 --> 01:00:33.620]   You know, I think the issue at this point is
[01:00:34.340 --> 01:00:40.020]   Really that the movie studios are pulling content from places like amazon prime so they can launch
[01:00:40.020 --> 01:00:42.020]   You know p-cock
[01:00:42.020 --> 01:00:47.460]   Things and so this is a defensive move from amazon against any competitive moves
[01:00:47.460 --> 01:00:54.100]   From the content creators and definitely and also from letting that content go to other people, you know, like that's all it is
[01:00:54.100 --> 01:00:59.780]   That's all it is. I mean stick with mgm does it is not making hot new films by the way
[01:00:59.780 --> 01:01:01.940]   No
[01:01:01.940 --> 01:01:07.220]   Yeah, they're buying a catalog they aren't making anything theatrically. I don't even think they've had they haven't had any hit theatrical
[01:01:07.220 --> 01:01:09.860]   James Bond and other that's what they're buying
[01:01:09.860 --> 01:01:17.460]   Yeah, because and because the good catalog the historical imgm catalog went to Warner Brothers when tener bought mgm in the 80s
[01:01:17.460 --> 01:01:20.340]   So and then Warner Brothers bought
[01:01:20.340 --> 01:01:23.380]   Turner in in the 90s
[01:01:23.380 --> 01:01:28.980]   Uh, but yeah, I mean they're buying the catalog they're buying James Bond and they don't have a James Bond too
[01:01:30.100 --> 01:01:35.940]   Yeah, I was gonna say they don't get the IP they get the past catalog and they get the movies, but they can't make new movies
[01:01:35.940 --> 01:01:38.660]   And no not necessarily
[01:01:38.660 --> 01:01:43.780]   Yeah, they have to use broccoli's okay and in the last James Bond film, you know, was distributed by universal
[01:01:43.780 --> 01:01:48.100]   To my mother used to say what I said is it time for dessert? She said not without the broccoli
[01:01:48.100 --> 01:01:54.980]   Yeah, but but it's interesting because we've seen this happen before and it'll be interesting to see how this kind of waves out because
[01:01:55.300 --> 01:02:00.420]   When these media companies started buying television networks when they were allowed to do that starting with
[01:02:00.420 --> 01:02:04.900]   You know the cbs and then a busy by an ABC and whatnot
[01:02:04.900 --> 01:02:09.620]   We started to see like this kind of a conglomeration where you know
[01:02:09.620 --> 01:02:17.620]   20th century fox would only make tv shows that they would have first rights access for for the fox television network and universal would have first rights at
[01:02:17.620 --> 01:02:21.700]   NBC once they became a thing and ABC stuff for for
[01:02:22.260 --> 01:02:25.860]   Disney and whatnot, but what happened was is they would still sell
[01:02:25.860 --> 01:02:30.420]   You know those shows to other networks, um, you know, wb
[01:02:30.420 --> 01:02:37.060]   One of others they've had two networks over the past two decades neither have been like successful so to speak
[01:02:37.060 --> 01:02:43.380]   You know it's the ww wb, but one of others television is behind some of the biggest tv shows in history
[01:02:43.380 --> 01:02:46.820]   you know the big bang theory friends um er and
[01:02:47.940 --> 01:02:54.260]   They didn't even consider they wouldn't even consider okay. Would we take friends from nbc and put it on our fledgling wb service?
[01:02:54.260 --> 01:02:58.100]   No, of course not right it's like the same reason that they they wouldn't you know
[01:02:58.100 --> 01:03:00.660]   Like put big bang theory on the cw
[01:03:00.660 --> 01:03:04.900]   Even though that launched the same year, um that that uh big bang went to
[01:03:04.900 --> 01:03:06.740]   CBS
[01:03:06.740 --> 01:03:13.300]   They they sell these things in other places because it makes sense to get the audience that way and we've seen some of this where you've seen
[01:03:13.300 --> 01:03:16.980]   some of the you know like uh, you know, uh, ted lasso is is a
[01:03:17.860 --> 01:03:23.220]   uh, one of others, um and then I think like an nbc co-production, um that's that's on apple
[01:03:23.220 --> 01:03:26.580]   Um, obviously it would have been better to be on pecock, right?
[01:03:26.580 --> 01:03:30.500]   Like that would have made more sense, but they they put it on apple before pecock launched
[01:03:30.500 --> 01:03:34.420]   And you might say yeah, but remember that office got pulled off of the office got
[01:03:34.420 --> 01:03:39.540]   Well, yes, well, of course well of course, but they had to pay for that like that's the thing
[01:03:39.540 --> 01:03:45.220]   Pecock had to pay a huge amount of money to that side of universal to be able to yeah
[01:03:45.220 --> 01:03:51.540]   But it's all I don't get that because so it's just it's accounting because it is but it's all the same company
[01:03:51.540 --> 01:03:55.300]   Yeah, but it's not because they have different p&l stuff for each different
[01:03:55.300 --> 01:03:57.780]   So it is all it is all like it is all accounting
[01:03:57.780 --> 01:04:01.460]   But if you think about it, they're running them like different divisions. So yeah corporate wise
[01:04:01.460 --> 01:04:06.020]   It's big but my point was gonna be but i'm wondering if the ceo of whatever this
[01:04:06.020 --> 01:04:09.860]   Super company is is just moving chess pieces around
[01:04:10.820 --> 01:04:17.380]   Sometimes but the other thing my point is like I wonder how long it's gonna be before they just kind of have to accept a reality and go
[01:04:17.380 --> 01:04:21.300]   Okay, no, we're gonna have to sell our shows to netflix or to amazon
[01:04:21.300 --> 01:04:25.620]   Because that's where the eyeballs are and if we want this to be a hit and actually get
[01:04:25.620 --> 01:04:28.420]   Point or get advertising
[01:04:28.420 --> 01:04:33.460]   Peacock is not driven a lot of business, but the other option is as a consumer
[01:04:33.460 --> 01:04:39.220]   And if we have this balkanization of streaming services and we have to pay we have to buy all of them agreed
[01:04:39.700 --> 01:04:43.300]   Our old cable bill is it gonna look like pnex compared to what it already does
[01:04:43.300 --> 01:04:49.780]   Well, no, well already does well look the i've been predicting this for for close to a decade that cable is just going to be repackaged through streaming
[01:04:49.780 --> 01:04:55.940]   And and the and it is it's exactly what's happened and we only we want a disaggregation we got re we got aggregation
[01:04:55.940 --> 01:05:01.380]   And that's always that happens. Yeah, no you aggravation and it's harder to find things
[01:05:01.380 --> 01:05:06.420]   We want an all our cart and instead we're getting once we're never never gonna get all our car funding
[01:05:06.580 --> 01:05:10.260]   Yeah, we're never gonna get all our car. We're never gonna get all our car even even true all our car
[01:05:10.260 --> 01:05:17.780]   It's not that great too, right like yeah, it's not I don't want to be paying iTunes, you know for a specific show
[01:05:17.780 --> 01:05:21.300]   You know, I've tried that much faster. It's very annoying. Yeah, it's not great
[01:05:21.300 --> 01:05:27.220]   It's not great people think they want it. They don't what happens is that when when you truly have all a cart
[01:05:27.220 --> 01:05:32.740]   There are the great shows that don't have a wide enough audience that they can get that money for the don't exist
[01:05:32.740 --> 01:05:37.220]   So when you have all a cart what happens is it's just like what happens to the box office and traditional movies right now
[01:05:37.220 --> 01:05:41.220]   Everything is Marvel. Isn't that the isn't that the bigger question though?
[01:05:41.220 --> 01:05:46.020]   Is the ultimate damage to content in general
[01:05:46.020 --> 01:05:49.140]   that
[01:05:49.140 --> 01:05:53.060]   You know, it costs a lot of money to make good tv in movies, right?
[01:05:53.060 --> 01:05:57.220]   If you balkanize it, you're slicing the pie thinner and thinner and thinner
[01:05:57.220 --> 01:06:01.220]   Pretty soon. Are you not gonna have great movies? Are you still gonna have
[01:06:02.260 --> 01:06:06.420]   The high quality I mean where where where is the premier content gonna show up?
[01:06:06.420 --> 01:06:15.380]   It's a what tv yeah tv movies. It's uh, we're we're this has been a crazy notice how crappy the movies have been this year
[01:06:15.380 --> 01:06:22.340]   Right, there's no I don't think there's been a decent maybe maybe there've been some maybe a new uh black widow's good
[01:06:22.340 --> 01:06:27.460]   But but they're having fun fast nine is fast nine is saving cinema and I always knew
[01:06:28.260 --> 01:06:32.180]   That says something right there. That's fine. It's fun. If f9 is saving movies
[01:06:32.180 --> 01:06:34.420]   We're indeed because that's why we go to movies
[01:06:34.420 --> 01:06:40.660]   They have fun. Well, this point now. Yeah, that's all we got to say at this point
[01:06:40.660 --> 01:06:48.100]   Because I think of this huge, you know, shift over the last 15 years these massive blockbusters really over the last 10 years
[01:06:48.100 --> 01:06:49.940]   The last 15 I think you could really make the argument
[01:06:49.940 --> 01:06:55.780]   All what we've done is we've ensured that studio is really either are willing to do tiny tiny films or
[01:06:56.420 --> 01:07:01.780]   Um these big sure to be global international blockbusters. So you go to lowest common denominator
[01:07:01.780 --> 01:07:06.740]   It's kind of we were saying before about like the the ai voices thing. It's like you lose everything in the middle
[01:07:06.740 --> 01:07:13.220]   And so is amazon buying engm? It doesn't matter in other words. What where are the other
[01:07:13.220 --> 01:07:19.780]   It's not for the it's back catalog mostly. Yeah. Yeah. Also. They've been for sale for two years like yep
[01:07:19.780 --> 01:07:26.180]   I would argue so it's a little weird that the ftc is suddenly gotten woken up and this is what they chose to
[01:07:26.580 --> 01:07:30.260]   To pick together. They're gonna do something. Yeah, if I were amazon
[01:07:30.260 --> 01:07:35.140]   I almost be happy because what might happen is saves them goes on and you longer they will
[01:07:35.140 --> 01:07:37.380]   Well, well, well, hey, they they back out
[01:07:37.380 --> 01:07:43.780]   But then what happens is mgm doesn't have any other prospects and then it becomes one of these scenarios where you wait another 18 months
