
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[01:08:56.900 --> 01:09:03.620]   It's kind of the equivalent of like recurring revenue in some ways because people don't I mean look at disney plus disney plus is a great example of this
[01:09:03.620 --> 01:09:09.240]   They've carefully set up their schedule so that like there's there's never a time that you don't want to be watching disney plus
[01:09:09.480 --> 01:09:16.040]   Right describe to disney plus and I think a lot of the other streamers are following the same tech where it's like let's have this sort of constant
[01:09:16.040 --> 01:09:21.720]   Roll out of things so that we can keep bringing people back and that that helps right in Netflix
[01:09:21.720 --> 01:09:27.160]   I think in some ways has struggled more with the film aspect right because they they've dropped a ton of films
[01:09:27.160 --> 01:09:33.560]   But to your point earlier about score sazy and like the you know finding the the signal of noise ratio there where it's like well
[01:09:33.560 --> 01:09:38.360]   You know there's a movie coming out or ten movies coming out on this one day
[01:09:38.440 --> 01:09:44.040]   And it's like do I really want to invest my time in that or do I want to do something where I can sort of watch over a long term and get to
[01:09:44.040 --> 01:09:46.840]   Get comfortable with it because I think I don't know much for myself
[01:09:46.840 --> 01:09:54.200]   I am much easier for me to like reach for a remote and start watching a new episode of something that i'm already invested in
[01:09:54.200 --> 01:09:56.520]   Then to commit any two hours like a movie
[01:09:56.520 --> 01:10:01.240]   That's I didn't even think about that psychology thing. Yeah thinking about my own use absolutely
[01:10:01.240 --> 01:10:03.080]   Absolutely
[01:10:03.080 --> 01:10:08.840]   One thing of the calculus that you should also factor in with apple specifically is that it's not just money
[01:10:08.840 --> 01:10:11.320]   But it's influenced and they have spent a lot of time
[01:10:11.320 --> 01:10:17.880]   Yeah, bringing in some hollywood insiders into the fold to make sure you don't just have their expertise
[01:10:17.880 --> 01:10:23.080]   But you have their network and that network that network effect is also extremely powerful
[01:10:23.080 --> 01:10:25.800]   It's currently run by two insiders from sony
[01:10:25.800 --> 01:10:31.480]   And I think that when they brought the sony guys in that's really one apple tv started to take off
[01:10:31.880 --> 01:10:35.880]   You know, oh yeah, no 100 percent and and uh the the puck news
[01:10:35.880 --> 01:10:40.440]   thing that that I um posted I posted both of them the irc and um the
[01:10:40.440 --> 01:10:42.440]   Discord
[01:10:42.440 --> 01:10:48.520]   Goes into some of those details, but I think you're exactly right like they they their first attempts at content was not good
[01:10:48.520 --> 01:10:56.200]   And then they found the the sony execs who were you know had like a good tv sensibility and
[01:10:56.200 --> 01:10:59.000]   You know now film acquisition stuff and this
[01:10:59.800 --> 01:11:05.400]   To us it's like they have influence and so people don't have the same kind of in hollywood, especially
[01:11:05.400 --> 01:11:11.720]   They don't have the same maybe reservations and feelings of negativity towards apple that they might you know towards, you know
[01:11:11.720 --> 01:11:14.280]   Netflix and in amazon
[01:11:14.280 --> 01:11:17.560]   um, which helps when it comes time to trying to
[01:11:17.560 --> 01:11:23.320]   You know, uh, lower people and to make exclusive projects for you. Yeah
[01:11:23.320 --> 01:11:26.440]   I didn't I didn't see tim cook at the Oscars
[01:11:27.960 --> 01:11:32.760]   Matthew said he was gonna be there and I was looking for he was wasn't he was you know, I'm pretty sure he was
[01:11:32.760 --> 01:11:34.520]   Cheapsets
[01:11:34.520 --> 01:11:39.960]   Yeah, well he well yeah because at this point because you know they had to have like the social distancing spaces and whatnot
[01:11:39.960 --> 01:11:46.040]   So it was kind of like the golden globes in term of setup. So yeah the execs and whatnot were they were in the back
[01:11:46.040 --> 01:11:52.360]   Yeah, he's funny. He's sure he got no airtime if he was there. I'd funny all the movie stars
[01:11:52.360 --> 01:11:54.360]   That just shows you you know as much as
[01:11:54.360 --> 01:12:01.320]   Silicon valley wants to be hollywood and as much as they make and they really are probably more of an economic driving force than hollywood
[01:12:01.320 --> 01:12:06.280]   And more of an influence culturally they still have they have the the nose place
[01:12:06.280 --> 01:12:10.520]   They're still in the back of the auditorium when it comes to glamour events
[01:12:10.520 --> 01:12:12.840]   It's an interesting point about the netflix thing too
[01:12:12.840 --> 01:12:17.800]   I somebody mentioned this it might have been julia al-exander on twitter talking about this like the netflix
[01:12:17.800 --> 01:12:21.560]   And the studios have a almost a very adversarial relationship right? Yes
[01:12:21.560 --> 01:12:25.560]   Netflix's whole point was like we're kind of trying to supplant the existing model
[01:12:25.560 --> 01:12:30.520]   Whereas all the people to your point Christina about apple like having a little more goodwill like
[01:12:30.520 --> 01:12:34.040]   People in hollywood use apple products. They like apple products
[01:12:34.040 --> 01:12:38.920]   That gives us a sort of a positive spin on it and that's not apple's only business right?
[01:12:38.920 --> 01:12:42.520]   They're not there just to put hollywood out of business. They're there to sell phones
[01:12:42.520 --> 01:12:47.400]   That's just the sideline and so and and they're buying things from existing studios
[01:12:47.400 --> 01:12:51.160]   Right like it's not like they're trying to do everything and house which is which is what nephlix
[01:12:51.720 --> 01:12:55.240]   You know shifted to doing so they're they're still buying other things too
[01:12:55.240 --> 01:12:58.920]   But exactly it doesn't have that same adversarial relationship. You're exactly right
[01:12:58.920 --> 01:13:01.400]   interesting
[01:13:01.400 --> 01:13:04.760]   Really interesting. Yeah, I actually ended up paying for puk news
[01:13:04.760 --> 01:13:08.440]   partly because our friend baritone days there, but also
[01:13:08.440 --> 01:13:11.640]   It's a really good
[01:13:11.640 --> 01:13:17.240]   Journal for covering kind of the confluence of silicon valley politics and hollywood
[01:13:17.880 --> 01:13:22.840]   I love it. I'm a big fan of that and also the ancla is interesting because uh that the trades have
[01:13:22.840 --> 01:13:26.520]   You know almost all of the the hollywood trades are now owned by
[01:13:26.520 --> 01:13:29.080]   Penske media group
[01:13:29.080 --> 01:13:36.520]   All of them a really deadline hollywood reporter of variety and now we're seeing the next generation kind of disrupt things the same way deadline did
[01:13:36.520 --> 01:13:44.200]   You know 20 years ago with with with the the ancla and and puk news. So and by the way if you say pensky
[01:13:44.200 --> 01:13:47.240]   That's a familiar name. Yes. It's rottor penske sun
[01:13:47.800 --> 01:13:51.720]   Who took the billions he made in uh in auto racing and automotive
[01:13:51.720 --> 01:13:55.720]   And invested it in hollywood media
[01:13:55.720 --> 01:14:00.760]   He owns variety he owns hollywood reporter. He owns deadline. He owns it all
[01:14:00.760 --> 01:14:04.360]   Moncums rowing stone rowing stone. That's right
[01:14:04.360 --> 01:14:09.000]   What a fast south by south west south by he he saved south by
[01:14:09.000 --> 01:14:12.520]   When they were about to go out of business because of covid
[01:14:12.520 --> 01:14:15.160]   He stepped in and he's a majority owner now
[01:14:16.040 --> 01:14:18.680]   Uh of the penskis isn't that funny
[01:14:18.680 --> 01:14:26.920]   Uh, let's say a little break more to come what a panel love it wesley fock. Nur is he here? I almost called you wesley fock
[01:14:26.920 --> 01:14:32.680]   That's a short version wesley fock nur is here head of community at single store. Tell us about late for dinner
[01:14:32.680 --> 01:14:37.880]   Well, you are going to be late for dinner today because we're going to keep you late. Sorry
[01:14:37.880 --> 01:14:41.480]   Tell me about single store. What are you what are you still loving it there?
[01:14:41.480 --> 01:14:45.000]   Single store is a database company that
[01:14:45.400 --> 01:14:47.400]   uh does both
[01:14:47.400 --> 01:14:51.000]   ingests and analytics and using the same
[01:14:51.000 --> 01:14:55.640]   Storage in the same server so you don't have to move it over to another
[01:14:55.640 --> 01:14:59.960]   Instance of some other specialized database in order to do those same functions
[01:14:59.960 --> 01:15:03.480]   So because it's it's the data stays in place without that transfer
[01:15:03.480 --> 01:15:09.800]   Penalty or cost it does these actions really really quick. So if you are doing
[01:15:09.800 --> 01:15:13.560]   A high amount of ingest and a high amount of analytics on your workload
[01:15:13.800 --> 01:15:19.240]   This is a good way to make sure that you can eke out every bit of performance nice speaking of a south by south west
[01:15:19.240 --> 01:15:24.520]   Yes, I did run into baritone day there. So it was good to see him. So bringing this full circle
[01:15:24.520 --> 01:15:28.200]   I miss baritone. He's too big time for us ever to get him on the show. He's such a great guy
[01:15:28.200 --> 01:15:33.160]   But I love so busy. I know everything we try to get him on more of a can he's a great guy
[01:15:33.160 --> 01:15:40.840]   Uh also with us christina warren now at github isn't that we've got two developer advocates on the show today. Isn't that great
[01:15:41.800 --> 01:15:47.960]   And then there's the single guy miss no just just teasing dan morn's not getting in trouble with my wife
[01:15:47.960 --> 01:15:52.280]   Not no, no, no in fact. We know you bought your wife a ps5
[01:15:52.280 --> 01:15:55.080]   That is a good man. That is a good man
[01:15:55.080 --> 01:16:02.600]   Yeah, she's she's currently playing assassin screed val halla downstairs probably that's pretty good actually I like his assistant screed val halla
[01:16:02.600 --> 01:16:05.800]   That's pretty fun. Oh, she's not hacking some government entity or some
[01:16:05.800 --> 01:16:10.040]   You know what I can't say I can't say i haven't seen her in a couple hours as far as he knows
[01:16:10.440 --> 01:16:12.440]   She's really good at computers though. We do know
[01:16:12.440 --> 01:16:15.480]   Do that
[01:16:15.480 --> 01:16:20.200]   Don't forget dan's newest book is coming out in just a couple of months. That means it's all done
[01:16:20.200 --> 01:16:25.880]   You finished it. You got the galleys. You've done the galley proofs. It's ready to go. Right did the whole thing
[01:16:25.880 --> 01:16:29.160]   Did a lot I read it so much that even you know I started to get tired of it
[01:16:29.160 --> 01:16:34.600]   But I think that's that's me. I read it like eight times right? I think people reading it the first time we're gonna be blown away
[01:16:34.600 --> 01:16:36.680]   So that's what I that's the heart
[01:16:36.920 --> 01:16:40.600]   And I I never wrote fiction, but that is the hardest thing about writing a book
[01:16:40.600 --> 01:16:44.840]   Is the galley proofs and you got to read the thing again and again and again. It's like
