
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[01:59:58.900 --> 02:00:04.100]   I said pre-book because we were always panicking it the saturday night and I then they can pep boogin pack in the audience
[02:00:04.100 --> 02:00:08.020]   Maybe
[02:00:08.020 --> 02:00:13.060]   Will you bring pellegrino? We'll have pellegrino and a roast beef sandwich waiting for well, I promise
[02:00:13.060 --> 02:00:16.020]   Or my name is not pizza roll
[02:00:16.020 --> 02:00:20.020]   My name is what's his name gla gla gla gla dadstone drake
[02:00:20.820 --> 02:00:25.120]   Gladstone gander gla dadstone gander or my name is in gla gla
[02:00:25.120 --> 02:00:26.900]   gander
[02:00:26.900 --> 02:00:32.820]   Harry macraken writes for time magazine. He's also on the a web at the technologizer technologizer.com
[02:00:32.820 --> 02:00:39.380]   And at harry macraken on twitter and he's now my facebook friend. Hi my finally. I didn't know you weren't i'm
[02:00:39.380 --> 02:00:42.500]   How did that happen and was amazed to see it
[02:00:42.500 --> 02:00:49.700]   And Dwight Silverman does a great radio show that you have to listen to every wednesday night on uh pacificer radio and houston
[02:00:49.700 --> 02:00:51.700]   It's called technology bites
[02:00:51.700 --> 02:00:56.900]   But it's been your facebook friend leo for a long time. I'm trying to spin my facebook friend
[02:00:56.900 --> 02:01:01.540]   Uh, you can also catch his work. Uh now we've got a gary johnson ad
[02:01:01.540 --> 02:01:04.820]   gary johnson 2012 all right
[02:01:04.820 --> 02:01:07.140]   And don't go boingo videos
[02:01:07.140 --> 02:01:11.460]   You can't just work at the use of chronicle blog.com.com/techblog
[02:01:11.460 --> 02:01:15.460]   Why does the verge keep getting there is there somebody there's somebody working for the verge
[02:01:15.460 --> 02:01:17.860]   Somebody from the verge keeps putting birds
[02:01:18.340 --> 02:01:20.340]   Yeah, no kidding
[02:01:20.340 --> 02:01:25.620]   I love it. I love it. This is this is just getting better and better and there is uh rick hello rick
[02:01:25.620 --> 02:01:28.500]   Uh
[02:01:28.500 --> 02:01:33.860]   Dwight it's so great to have you. Thank you for joining us. Uh, that's today. Yeah, we really appreciate it
[02:01:33.860 --> 02:01:38.260]   Thank you all for watching the show as I said 3 pm pacific sunday 6 pm eastern time
[02:01:38.260 --> 02:01:42.660]   2200 utc on twitter.tv, but we make audio and video available after the fact
[02:01:42.660 --> 02:01:46.500]   And uh, you could check out help i'm in the basement dot squarespace.com
[02:01:46.820 --> 02:01:51.220]   By this time by the time you hear this podcast god only knows what it's going to look like
[02:01:51.220 --> 02:01:57.940]   We we can only guess what it's going to look like but uh, please uh, no, I'm not responsible
[02:01:57.940 --> 02:02:00.420]   Okay, but I think joshua tupolsk might be
[02:02:00.420 --> 02:02:05.540]   Thank you for joining us. We'll see you next time on this week in tech. Bye. Bye
[02:02:05.540 --> 02:02:13.220]   Another twitch not in the can another twitch. It's not in the can it is in the can
[02:02:13.220 --> 02:02:15.380]   It's in the can
[02:02:15.380 --> 02:02:17.380]   It's a
[02:02:17.380 --> 02:02:19.380]   Do
[02:02:19.380 --> 02:02:26.900]   All right, do it. All right, do it. All right, do it. All right, do it. All right, do it.

