
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[00:54:14.960 --> 00:54:21.040]   Actually, I guess that's not a new genre, but it's a really great movie, but you're right. They've got surfaces. Yeah surface tablets
[00:54:21.040 --> 00:54:26.160]   At one point you're sending a text on a Microsoft Windows phone. It's like yeah
[00:54:26.160 --> 00:54:29.680]   And then he calls his buddy and his buddy picks up on a Windows phone and it's like dude
[00:54:29.680 --> 00:54:36.880]   You just know yeah the logo's like always conveniently like I just heard it on my zoom. Yeah
[00:54:36.880 --> 00:54:40.240]   That's how you know it's not the future
[00:54:43.520 --> 00:54:48.960]   And also here Nathan all of us Giles we love having Nathan and studio with us and we are having more of him now
[00:54:48.960 --> 00:54:54.240]   Yeah, all the time you could find a higher me. I hired him. No going back now. I stole you away from the journal
[00:54:54.240 --> 00:54:58.480]   I feel like pretty good about that. Yeah, Nate. Oh gee although you'll still be doing some work for them
[00:54:58.480 --> 00:55:01.280]   I know for I'm gonna be pitching some freelance stuff for me
[00:55:01.280 --> 00:55:05.040]   Yeah, and you're still doing your podcast your little kitchen table version of this show
[00:55:05.040 --> 00:55:12.080]   Well, not quite this show, but uh, yeah, I'm I'm doing a podcast called buzzkill with my friends mark million from bloomberg and brine
[00:55:12.240 --> 00:55:17.120]   Chen from the new york times and we spent about a half hour talking about tech politics and pop culture
[00:55:17.120 --> 00:55:23.280]   And if any one of the three of us gets bored with this subject to hand we hit a little buzzer and it kills a conversation
[00:55:23.280 --> 00:55:26.880]   We move on. Oh, I love that. Yeah, so we eat that here
[00:55:26.880 --> 00:55:32.240]   Like the gong part of like a show. Yeah, everyone talks really fast and tries to be really punchy
[00:55:32.240 --> 00:55:35.840]   Guys every time sports comes up right. It's the buzzer really?
[00:55:35.840 --> 00:55:38.880]   That's the rock there about sports
[00:55:39.040 --> 00:55:42.640]   Someone go around and take out the batteries of someone else's buzzer. No, they're pressing it
[00:55:42.640 --> 00:55:48.880]   And they can't actually it's a laptop right in between all of us. And so yeah, yeah, that's a great idea for it's on sound cloud
[00:55:48.880 --> 00:55:51.040]   I do this google play tune in
[00:55:51.040 --> 00:55:56.640]   A lot a lot of scary scary to be a guest on that show though. Well, so far
[00:55:56.640 --> 00:56:00.160]   I wonder why
[00:56:00.160 --> 00:56:06.000]   Right now it's just three of us, but at some point someone will have to you know getting the book on there. Yeah, step up
[00:56:06.080 --> 00:56:09.040]   So if you want to get in on that sure if I can get
[00:56:09.040 --> 00:56:12.880]   Couple of seconds man. It's like the gong show
[00:56:12.880 --> 00:56:20.400]   There is just really yeah Chuck Chuck. I saw that you know, ci spy and game guy
[00:56:20.400 --> 00:56:23.680]   I know ci assassin. Was he really a ci assassin?
[00:56:23.680 --> 00:56:27.600]   Hand imagine I like the sound of it. Or was he nutty? Probably not true
[00:56:27.600 --> 00:56:32.960]   He claims he was he was even a movie called. Yeah, my dangerous mind or something like that
[00:56:33.920 --> 00:56:38.080]   Well, he took the secret to his grade. I don't think so, but
[00:56:38.080 --> 00:56:41.120]   There's why things that have happened, you know
[00:56:41.120 --> 00:56:41.520]   I like that
[00:56:41.520 --> 00:56:47.920]   I like the idea that we live in an interesting world and a world in which Chuck Barris of the gong show was actually a ci assassin that
[00:56:47.920 --> 00:56:51.040]   Tol time is much more interesting in the world. I think I inhabit salsa
[00:56:51.040 --> 00:56:53.840]   Yeah, I'd like that to be if you're gonna be a ci assassin
[00:56:53.840 --> 00:56:58.240]   You don't want to be you know, you don't you want to have good cover. That's a great cover
[00:56:58.240 --> 00:57:01.600]   Yeah, it's like hiding in plain sight. It's like it's never gonna be this guy
[00:57:02.240 --> 00:57:06.080]   You know, I would I would not fear him. Yes. He might gong me
[00:57:06.080 --> 00:57:10.480]   Instead he pulls out a you know a gun with a silencer and wax me
[00:57:10.480 --> 00:57:14.400]   Maybe that was like his signature thing before you off somebody's like here's the gong
[00:57:14.400 --> 00:57:22.800]   Last words for it by the dangerous mind evil dictators everywhere. Yeah, you just got so I don't
[00:57:22.800 --> 00:57:26.320]   It's so funny. I did not know about this till gizmodo wrote about it
[00:57:26.320 --> 00:57:30.320]   But maybe you've heard about the supreme court case impression products
[00:57:30.960 --> 00:57:32.960]   versus lexmark
[00:57:32.960 --> 00:57:38.320]   Impression products is a small 35 person shop that was refilling
[00:57:38.320 --> 00:57:40.800]   printer cartridges
[00:57:40.800 --> 00:57:46.160]   Actually 25 people they specialized in buying used printer cartridges and men remanufacturing them
[00:57:46.160 --> 00:57:54.880]   Lexmark the printer company had been suing other re manufacturers that decided to add impression of the case in 2012 five years ago
[00:57:54.880 --> 00:57:57.600]   everyone else settled
[00:57:58.480 --> 00:58:04.800]   Except for the little impressions product and they fought it and now they're in the supreme
[00:58:04.800 --> 00:58:10.240]   Court the arg oral argon C a thing like that because I remember less
[00:58:10.240 --> 00:58:16.000]   Lessing learn less than used to talk about the fact that the dm ca could be perverted to things as bizarre as people suing
[00:58:16.000 --> 00:58:18.720]   Because you made ink from my printer. So this is a dm ca
[00:58:18.720 --> 00:58:23.920]   Wow, and it's going to the supreme court. It already is they had oral arguments this week. Wow
[00:58:23.920 --> 00:58:25.920]   um
[00:58:25.920 --> 00:58:29.360]   Now here's ronald man writing in scotus blog
[00:58:29.360 --> 00:58:34.640]   He says unfortunately, I don't think many people left the courtroom knowing much more about the case than they did with the editor
[00:58:34.640 --> 00:58:42.240]   Perhaps the justices wore themselves out with so much incisive questioning in the microsoft versus baker case from the morning
[00:58:42.240 --> 00:58:44.640]   but apparently the
[00:58:44.640 --> 00:58:48.560]   The justices were kind of baffled by the by the whole thing
[00:58:48.560 --> 00:58:52.800]   Um, the case involves the doctrine of exhaustion
[00:58:54.720 --> 00:59:00.640]   That's worse than a buzzer and a podcast. Yeah under which patent holders rights to enforce his patent or ordinarily run out
[00:59:00.640 --> 00:59:08.240]   The moment the patent holder sells the object in other words if I say i've got a patent on ink cartridges and sell you the ink cartridge
[00:59:08.240 --> 00:59:13.920]   Well, that's it. Mm-hmm. Now you own the ink cartridge you can do what you want with it. Yeah. Yeah. So the question is
[00:59:13.920 --> 00:59:19.040]   Is our lek smark's rights to the cartridges exhausted when it sells them?
[00:59:19.040 --> 00:59:23.680]   But lek smark has shrink wrap on there that says you're not buying this cartridge
[00:59:24.240 --> 00:59:31.760]   You're borrowing it. You will only let you use it if you agree by opening the cartridge that you will not refill it
[00:59:31.760 --> 00:59:34.400]   The you love it. Yeah
[00:59:34.400 --> 00:59:39.520]   By watching this thing open you have agreed. Yeah, we're gonna read this
[00:59:39.520 --> 00:59:40.000]   You see it
[00:59:40.000 --> 00:59:44.720]   with like, you know the syringe and my little ink and I try to refill the ink and get it everywhere
[00:59:44.720 --> 00:59:47.120]   Yeah, the real problem is
[00:59:47.120 --> 00:59:50.720]   That and I think this you know, this is probably a good thing
[00:59:51.120 --> 00:59:57.200]   I don't think this I wish the supreme court would address shrink wrap licenses or or actual patent rights
[00:59:57.200 --> 01:00:02.880]   Yeah, but they're they're probably gonna make it a very narrow decision because and that's the right thing to do
[01:00:02.880 --> 01:00:04.160]   You don't want to make
[01:00:04.160 --> 01:00:10.000]   Chief jesus roberts and steven briar probe repeatedly as to why patent holders can't just use con
[01:00:10.000 --> 01:00:15.120]   Cannot rely solely on contract law, but instead need patent law to enforce these restrictions
[01:00:15.120 --> 01:00:17.920]   um and
[01:00:18.000 --> 01:00:21.360]   After listening to the lexmark attorney's response
[01:00:21.360 --> 01:00:30.960]   Briar seemed confused. That's we all are it really I don't sure how much of this I want to read but they they did talk about it
[01:00:30.960 --> 01:00:32.400]   um
[01:00:32.400 --> 01:00:36.640]   According to scotas blog my take on this justices are well aware of the major implications here
[01:00:36.640 --> 01:00:41.520]   And don't see any obvious way to avoid doing something that will have real economic
[01:00:41.520 --> 01:00:44.640]   consequences
[01:00:44.640 --> 01:00:46.640]   So maybe they will have to make
[01:00:46.960 --> 01:00:50.320]   A significant decision. This this might be pretty important
[01:00:50.320 --> 01:00:52.060]   I find as a consumer
[01:00:52.060 --> 01:00:55.920]   Reprehensible that that they sell the you know and other companies do this they put chips
[01:00:55.920 --> 01:01:00.640]   In the uh in the cartridge so you can't uh buy third party cartridges
[01:01:00.640 --> 01:01:07.680]   Well, just the very notion that you've you've paid an exact extravagant amount of money for like a little tiny bit of ink
[01:01:07.680 --> 01:01:12.560]   Right and then they sort of you know sneak up on you by saying on the wrapper by opening this you agree
[01:01:12.560 --> 01:01:16.320]   You don't I mean that's just sleazy. Yeah, you know, it's some point it becomes such
[01:01:16.400 --> 01:01:20.160]   You know common sense rebels trickery. Yeah, it becomes such a
[01:01:20.160 --> 01:01:26.640]   You know parody of itself that hopefully the the supreme court saw that because I mean that's just there's no way
[01:01:26.640 --> 01:01:31.840]   There's been informed consent has been given by somebody who had a market choice
[01:01:31.840 --> 01:01:38.240]   To make in that environment when they ripped open this it's just ridiculous. Yeah, so I I I hope that um
[01:01:38.240 --> 01:01:40.480]   It's gonna be four to four right
[01:01:40.480 --> 01:01:42.480]   We know how it's gonna turn out
[01:01:42.480 --> 01:01:45.360]   Unless someone does a lot of printing and they're like, you know what?
[01:01:45.520 --> 01:01:50.640]   I'm so done with that. Yeah. Yeah. Yeah, because there's no way that you've read the small fine print when you've ripped something
[01:01:50.640 --> 01:01:53.920]   You can't really say that that's a signature on something
[01:01:53.920 --> 01:01:58.560]   I think that like a little bit of an overhaul to patent law would be just a good thing
[01:01:58.560 --> 01:02:03.360]   I think so, but it's a judge except for patrick's court of four could it go into supreme court over time
[01:02:03.360 --> 01:02:07.200]   You know what?
[01:02:07.200 --> 01:02:11.920]   Which dog are the justices gonna adhere to I mean, yeah
[01:02:12.800 --> 01:02:18.000]   For instance, there's other big businesses who are in favor of the little business against lexmark costco
[01:02:18.000 --> 01:02:24.320]   Costco yes filed in amicus brief on whose side on the side of impressions against lexmark
