
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[00:46:27.560 --> 00:46:28.560]   Yeah.
[00:46:28.560 --> 00:46:29.560]   Yeah.
[00:46:29.560 --> 00:46:33.520]   And also those towers are towards the front of the store as well that they've been experimenting
[00:46:33.520 --> 00:46:35.440]   with those automated towers.
[00:46:35.440 --> 00:46:37.440]   So that's interesting.
[00:46:37.440 --> 00:46:38.440]   I'll just say here.
[00:46:38.440 --> 00:46:42.840]   Isn't that the advantage of Amazon is, and maybe it's just got on my curmudgeon, there's
[00:46:42.840 --> 00:46:45.120]   no people involved.
[00:46:45.120 --> 00:46:46.960]   There's no contact with humans.
[00:46:46.960 --> 00:46:48.960]   I kind of like that.
[00:46:48.960 --> 00:46:51.600]   Although sometimes you do want that, you know, or if you're wanting to make a return
[00:46:51.600 --> 00:46:53.680]   or something, but Amazon's customer service is pretty good.
[00:46:53.680 --> 00:46:55.320]   Well, let's really think about this.
[00:46:55.320 --> 00:46:56.320]   It's a good conversation.
[00:46:56.320 --> 00:46:58.080]   What is the future of retail?
[00:46:58.080 --> 00:47:00.320]   Is there a future for brick and mortar retail?
[00:47:00.320 --> 00:47:05.400]   Is it, you know, I've thought maybe that, and I think you see this.
[00:47:05.400 --> 00:47:08.800]   It's a little bit in some areas, downtown Petaluma.
[00:47:08.800 --> 00:47:10.720]   You know, retail is dying.
[00:47:10.720 --> 00:47:14.480]   The places that survive are places that provide more experiential.
[00:47:14.480 --> 00:47:15.480]   Yeah.
[00:47:15.480 --> 00:47:17.800]   You know, you're not just there to get a product.
[00:47:17.800 --> 00:47:21.240]   And as to your point, Wesley, you're not there to save money.
[00:47:21.240 --> 00:47:22.640]   But you're there for an experience.
[00:47:22.640 --> 00:47:25.600]   Movie theaters are trying to do that too, to get people back into the movie theater,
[00:47:25.600 --> 00:47:27.600]   which is really dying.
[00:47:27.600 --> 00:47:30.040]   Is that what does the future of retail look like?
[00:47:30.040 --> 00:47:31.960]   Yeah, I think that's part of it.
[00:47:31.960 --> 00:47:35.000]   I mean, I also think what's interesting is you've seen this kind of shift where you have
[00:47:35.000 --> 00:47:39.640]   companies like Warby Parker and, you know, Casper and other things that are known for
[00:47:39.640 --> 00:47:43.680]   being online and then they set up stores where people go and can actually see them in person.
[00:47:43.680 --> 00:47:44.680]   And there is something-
[00:47:44.680 --> 00:47:47.760]   Well, sponsors probably both about to be acquired by Amazon, I don't know.
[00:47:47.760 --> 00:47:48.760]   Probably.
[00:47:48.760 --> 00:47:54.640]   But, you know, but it's one of those interesting things of, there's a term for it, like showcasing
[00:47:54.640 --> 00:47:55.640]   or something like that.
[00:47:55.640 --> 00:47:56.640]   Showrooming.
[00:47:56.640 --> 00:47:57.640]   Showroom.
[00:47:57.640 --> 00:47:58.640]   Yes.
[00:47:58.640 --> 00:48:04.200]   This is actually in the, I'm told in the Torah, it is, it's considered a sin.
[00:48:04.200 --> 00:48:09.200]   It's called the shopkeepers law that if you go into a shop and you get the shopkeeper
[00:48:09.200 --> 00:48:14.400]   to help you understand, to purchase and choose a product and then go out and buy it somewhere
[00:48:14.400 --> 00:48:17.080]   else, that's a sin.
[00:48:17.080 --> 00:48:18.680]   That's what people do all the time now.
[00:48:18.680 --> 00:48:20.680]   They showroom and then they go buy on Amazon.
[00:48:20.680 --> 00:48:21.680]   Yeah, totally.
[00:48:21.680 --> 00:48:26.560]   But what's interesting is you see these brands and these companies that are primarily online
[00:48:26.560 --> 00:48:29.080]   who are now opening up, you know, pop-ups or small places where-
[00:48:29.080 --> 00:48:30.080]   Just to do that.
[00:48:30.080 --> 00:48:37.040]   A lot of times you have to actually still order it online, but before you buy a mattress,
[00:48:37.040 --> 00:48:41.080]   before you buy a sound system, before you buy certain other things, it does help if
[00:48:41.080 --> 00:48:42.760]   you can see it in person.
[00:48:42.760 --> 00:48:46.640]   And so maybe there's some sort of hybrid, you know, kind of showrooming model.
[00:48:46.640 --> 00:48:47.640]   I don't know.
[00:48:47.640 --> 00:48:50.000]   But I think experiential, that makes a lot of sense.
[00:48:50.000 --> 00:48:51.560]   The problem with that is it doesn't scale.
[00:48:51.560 --> 00:48:53.560]   You know, I think that works for some types of products.
[00:48:53.560 --> 00:48:54.560]   Yeah.
[00:48:54.560 --> 00:48:55.560]   Well, it is expensive.
[00:48:55.560 --> 00:48:58.920]   And also you have to kind of, you have a certain type of customer who's going to want
[00:48:58.920 --> 00:48:59.920]   to pay more for that experience.
[00:48:59.920 --> 00:49:03.800]   Leslie, did you ever go to the Austin Whole Foods?
[00:49:03.800 --> 00:49:06.040]   Wasn't that like there's restaurants in there?
[00:49:06.040 --> 00:49:07.760]   Oh, it's awesome.
[00:49:07.760 --> 00:49:14.040]   And during the Christmas season, they do a temporary ice skating rink right in front.
[00:49:14.040 --> 00:49:15.040]   Oh my God.
[00:49:15.040 --> 00:49:19.040]   They have a wine tasting bar.
[00:49:19.040 --> 00:49:20.560]   They have car chargers.
[00:49:20.560 --> 00:49:22.880]   So if you have an electric vehicle, you could charge there.
[00:49:22.880 --> 00:49:25.080]   They want the upscale trade, don't they?
[00:49:25.080 --> 00:49:33.640]   And then the corporate offices are on top and then back they have a culinary, like a chef
[00:49:33.640 --> 00:49:36.560]   cooking lessons.
[00:49:36.560 --> 00:49:39.160]   So you can learn how to cook better.
[00:49:39.160 --> 00:49:41.120]   Of course, using their products.
[00:49:41.120 --> 00:49:42.120]   It's a great place.
[00:49:42.120 --> 00:49:43.640]   It's an amazing place.
[00:49:43.640 --> 00:49:46.480]   So if you have a, if you go to Austin, I would definitely go to the headquarters.
[00:49:46.480 --> 00:49:51.240]   I was wondering if that maybe was one of the reasons Amazon was interested in Whole Foods
[00:49:51.240 --> 00:49:56.520]   is this whole idea of experiential shopping, but it doesn't scale very well.
[00:49:56.520 --> 00:49:58.600]   And everybody who works there is super smart.
[00:49:58.600 --> 00:49:59.840]   You ask about a product.
[00:49:59.840 --> 00:50:01.360]   They can tell you where it is.
[00:50:01.360 --> 00:50:04.320]   They can tell you why it's better than the one that's to it.
[00:50:04.320 --> 00:50:06.680]   They really do that well.
[00:50:06.680 --> 00:50:08.560]   And Walmart really should do that.
[00:50:08.560 --> 00:50:15.320]   I've gone through many Walmarts and it's always been no one knows where things are.
[00:50:15.320 --> 00:50:17.800]   Things are falling off into the aisle.
[00:50:17.800 --> 00:50:20.320]   It takes forever to get cleaned up.
[00:50:20.320 --> 00:50:24.440]   And no one knows how much things cost and they just scan it and move on.
[00:50:24.440 --> 00:50:27.120]   And as you say, you don't go there for customer service.
[00:50:27.120 --> 00:50:28.880]   You go there for cheap goods.
[00:50:28.880 --> 00:50:29.880]   Yeah.
[00:50:29.880 --> 00:50:34.040]   Because it's midnight and it's open.
[00:50:34.040 --> 00:50:35.040]   Don't ever go there.
[00:50:35.040 --> 00:50:36.040]   Don't go there.
[00:50:36.040 --> 00:50:37.040]   It's disgusting.
[00:50:37.040 --> 00:50:38.040]   It's too big.
[00:50:38.040 --> 00:50:41.480]   It's just want some pretzels.
[00:50:41.480 --> 00:50:43.160]   I gotta get out of here.
[00:50:43.160 --> 00:50:46.000]   There's no people of Whole Foods website.
[00:50:46.000 --> 00:50:47.000]   That's a good point.
[00:50:47.000 --> 00:50:48.240]   People along there should be.
[00:50:48.240 --> 00:50:49.240]   There should be.
[00:50:49.240 --> 00:50:52.240]   There would be a different kind of website.
[00:50:52.240 --> 00:50:53.240]   It would be different.
[00:50:53.240 --> 00:50:55.240]   People of Whole Foods, people of Trader Joe's.
[00:50:55.240 --> 00:50:56.240]   It's interesting.
[00:50:56.240 --> 00:50:59.000]   So Seattle proper does not have Walmart either.
[00:50:59.000 --> 00:51:01.640]   Again, you've got to go to like Red Bend or Kirkland or wherever.
[00:51:01.640 --> 00:51:03.400]   But you definitely have a whole food.
[00:51:03.400 --> 00:51:05.440]   You definitely have a trading Joe's.
[00:51:05.440 --> 00:51:06.440]   Oh yeah.
[00:51:06.440 --> 00:51:07.440]   You've got a Mardstrom.
[00:51:07.440 --> 00:51:08.920]   Yes, we do.
[00:51:08.920 --> 00:51:10.880]   We have the Nordstrom.
[00:51:10.880 --> 00:51:15.360]   That as a Nordstrom alkali to missed it very much in New York.
[00:51:15.360 --> 00:51:17.080]   I was very happy with that.
[00:51:17.080 --> 00:51:21.240]   But yeah, unfortunately I haven't been to a Walmart in so long.
[00:51:21.240 --> 00:51:25.600]   I obviously been to them in the South, but it's been a long time since I've been to a
[00:51:25.600 --> 00:51:26.600]   Walmart.
[00:51:26.600 --> 00:51:32.360]   But yeah, I feel like one of the big advantages they have that Amazon slowly is encroaching
[00:51:32.360 --> 00:51:36.960]   on is the fact that if you need something, you can go get it.
[00:51:36.960 --> 00:51:39.680]   That's the one thing that brick and mortar still kind of has going for it.
[00:51:39.680 --> 00:51:43.920]   But I think it's hard, especially for big ticket items where people will just go and
[00:51:43.920 --> 00:51:44.920]   look at it in person.
[00:51:44.920 --> 00:51:49.240]   You need to see it or increasingly they just learned to trust online reviews.
[00:51:49.240 --> 00:51:50.240]   Yeah.
[00:51:50.240 --> 00:51:55.360]   And it's a lot easier to find to choose a product on Amazon because you can read all
[00:51:55.360 --> 00:51:57.360]   the reviews.
[00:51:57.360 --> 00:52:00.640]   In some ways there's reverse showing showrooming going on.
[00:52:00.640 --> 00:52:03.320]   I wanted to get a picnic basket.
[00:52:03.320 --> 00:52:08.160]   I could have gone down to, you know, William Sonoma and bought an $80, $180 picnic basket.
[00:52:08.160 --> 00:52:11.720]   But I just bought one for 50 bucks on Amazon that got good reviews.
[00:52:11.720 --> 00:52:16.800]   On the other hand, I wanted to give my son Anthony Bourdain's book when Bourdain passed
[00:52:16.800 --> 00:52:17.800]   away.
[00:52:17.800 --> 00:52:21.720]   I went to the bookstore about a week later, the guy said, "Oh yeah, we're all sold out."
[00:52:21.720 --> 00:52:23.120]   We got a run on it.
[00:52:23.120 --> 00:52:27.440]   And I thought, if, as he said, "I can order it for you."
[00:52:27.440 --> 00:52:28.600]   I said, "Yeah, I can order it.
[00:52:28.600 --> 00:52:30.720]   I can get it faster on Amazon."
[00:52:30.720 --> 00:52:37.000]   If I were a bookstore, I would have a hundred, I would buy him from Amazon.
[00:52:37.000 --> 00:52:41.640]   I would get a hundred cases of that because you know there's demand, right?
[00:52:41.640 --> 00:52:42.640]   You got it.
[00:52:42.640 --> 00:52:47.680]   I think retail's got to start getting smarter if they're going to succeed against Amazon.
[00:52:47.680 --> 00:52:48.680]   That's for sure.
[00:52:48.680 --> 00:52:49.680]   Yeah, absolutely.
[00:52:49.680 --> 00:52:50.680]   Yeah.
[00:52:50.680 --> 00:52:53.000]   And honestly, I'll answer my own question.
[00:52:53.000 --> 00:52:54.000]   I think it's all over.
[00:52:54.000 --> 00:52:57.480]   I think Amazon's going to just dominate completely.
[00:52:57.480 --> 00:53:00.080]   I really do.
[00:53:00.080 --> 00:53:03.280]   Let's take a little break from the tech burger.
[00:53:03.280 --> 00:53:04.280]   It's Dwight Silverman.
[00:53:04.280 --> 00:53:06.440]   Do you do your radio show still Dwight?
[00:53:06.440 --> 00:53:07.720]   Or have you stopped doing that?
[00:53:07.720 --> 00:53:08.720]   No.
[00:53:08.720 --> 00:53:11.120]   The show I left in 2014.
[00:53:11.120 --> 00:53:12.120]   I believe.
[00:53:12.120 --> 00:53:15.280]   And then about two years later, oh, that's...
[00:53:15.280 --> 00:53:16.640]   He's in my forest.
[00:53:16.640 --> 00:53:20.040]   Dwight made the mistake of sitting in front of a green screen.
[00:53:20.040 --> 00:53:21.040]   No, no.
[00:53:21.040 --> 00:53:22.040]   It's no mistake.
[00:53:22.040 --> 00:53:23.040]   Look at that.
[00:53:23.040 --> 00:53:26.120]   Oh, you're at the Frank Lloyd Wright house.
[00:53:26.120 --> 00:53:27.120]   What's that called?
[00:53:27.120 --> 00:53:28.120]   Waterfall.
[00:53:28.120 --> 00:53:29.120]   Oh, yeah.
[00:53:29.120 --> 00:53:30.120]   Yeah.
[00:53:30.120 --> 00:53:31.120]   Yeah.
[00:53:31.120 --> 00:53:32.120]   Nice choice, Carsten.
[00:53:32.120 --> 00:53:33.120]   Cool.
[00:53:33.120 --> 00:53:34.120]   Yeah.
[00:53:34.120 --> 00:53:35.120]   Oh, it's refreshing.
[00:53:35.120 --> 00:53:36.120]   So, yeah.
[00:53:36.120 --> 00:53:37.120]   We...
[00:53:37.120 --> 00:53:38.120]   So what was the question?
[00:53:38.120 --> 00:53:39.120]   I forgot.
[00:53:39.120 --> 00:53:40.120]   Tech Burger.
[00:53:40.120 --> 00:53:41.120]   Radio show.
[00:53:41.120 --> 00:53:42.120]   That's...
[00:53:42.120 --> 00:53:43.120]   Oh, yeah.
[00:53:43.120 --> 00:53:45.480]   So the radio show kind of ended on its own.
[00:53:45.480 --> 00:53:50.440]   The guy who started at J. Lee decided out, he had been doing it for more than 25 years,
