
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:35:33.440 --> 00:35:34.440]   It's on the Red Cross dot org site.
[00:35:34.440 --> 00:35:35.440]   They couldn't get in.
[00:35:35.440 --> 00:35:37.440]   Apparently, the FEMA wouldn't let the Red Cross in.
[00:35:37.440 --> 00:35:40.600]   FEMA wouldn't let the - there's a bunch of - Maybe that was to protect them.
[00:35:40.600 --> 00:35:41.600]   Oh, yeah.
[00:35:41.600 --> 00:35:45.040]   And there's a bunch of airboat guys that wanted to get in to save people off the roofs.
[00:35:45.040 --> 00:35:48.040]   And there were people on regular boats wanted to save people.
[00:35:48.040 --> 00:35:49.520]   And they were called renegade boaters.
[00:35:49.520 --> 00:35:50.520]   They didn't want them.
[00:35:50.520 --> 00:35:53.240]   No, it's all done by Homeland Security because these were all security issues.
[00:35:53.240 --> 00:35:56.040]   But if there's guys running around with guns, shoot at people.
[00:35:56.040 --> 00:35:57.040]   No, no, no, no, no.
[00:35:57.040 --> 00:35:58.040]   Yeah, there is guys running around with guns.
[00:35:58.040 --> 00:36:02.000]   But it was three days before Katrina - excuse me - before FEMA showed up in Manhattan.
[00:36:02.000 --> 00:36:03.000]   Yeah.
[00:36:03.000 --> 00:36:04.440]   When the trade centers didn't count.
[00:36:04.440 --> 00:36:05.440]   72 plus hours.
[00:36:05.440 --> 00:36:06.440]   FEMA's broken.
[00:36:06.440 --> 00:36:08.240]   FEMA may be broken.
[00:36:08.240 --> 00:36:09.240]   FEMA may be broken.
[00:36:09.240 --> 00:36:11.880]   But the point is, it wasn't for a civilian response after -
[00:36:11.880 --> 00:36:12.880]   My 11th.
[00:36:12.880 --> 00:36:13.880]   After 9/11.
[00:36:13.880 --> 00:36:15.880]   Things would have been a lot nastier than they were.
[00:36:15.880 --> 00:36:16.880]   Yeah.
[00:36:16.880 --> 00:36:19.160]   You know, and the idea - yeah, it's a horrible and it's scary.
[00:36:19.160 --> 00:36:22.680]   And people are behaving in unconscionable manner down there.
[00:36:22.680 --> 00:36:24.600]   But the flip side is like, "Why are you preventing us?"
[00:36:24.600 --> 00:36:25.600]   You know what I mean?
[00:36:25.600 --> 00:36:26.600]   It's like, "I get it.
[00:36:26.600 --> 00:36:27.600]   You want it nice.
[00:36:27.600 --> 00:36:28.600]   You want it organized.
[00:36:28.600 --> 00:36:29.600]   You want it check boxes.
[00:36:29.600 --> 00:36:30.600]   You want your side.
[00:36:30.600 --> 00:36:31.600]   Yeah, it's a big brother phenomenon.
[00:36:31.600 --> 00:36:32.600]   They won't let people help themselves.
[00:36:32.600 --> 00:36:34.600]   I mean, I've had - I was blogging a lot of this stuff.
[00:36:34.600 --> 00:36:35.840]   Isn't that what George Bush is all about?
[00:36:35.840 --> 00:36:37.840]   I don't want to get too political.
[00:36:37.840 --> 00:36:42.160]   But there's an issue here and it has to be resolved.
[00:36:42.160 --> 00:36:44.840]   And the thing is, I think there's going to be a lot of moaning and groaning over the
[00:36:44.840 --> 00:36:46.000]   next few months.
[00:36:46.000 --> 00:36:47.000]   Very dramatic blog.
[00:36:47.000 --> 00:36:48.000]   Did you see this?
[00:36:48.000 --> 00:36:51.400]   I mean, the fact that the - Conda Lisa Rice was shopping for shoes two days after the
[00:36:51.400 --> 00:36:53.400]   hurricane hit is ridiculous.
[00:36:53.400 --> 00:36:54.400]   And she was taking Rouser.
[00:36:54.400 --> 00:36:59.880]   They had the Rouser from the shoe store because some woman apparently came out and started
[00:36:59.880 --> 00:37:02.720]   berating her for being a new - you know about this?
[00:37:02.720 --> 00:37:05.040]   Yeah, she was in New York the whole most of the time.
[00:37:05.040 --> 00:37:09.880]   So, berated her and apparently the store, secret service got freaked out and they whisked
[00:37:09.880 --> 00:37:12.720]   her back to Washington because everyone was like yelling at the woman.
[00:37:12.720 --> 00:37:19.680]   Did you read the - there was an amazing blog from Network Infer - a center - it was
[00:37:19.680 --> 00:37:21.680]   direct-neck down there in the warlands.
[00:37:21.680 --> 00:37:22.680]   Right, they're down there.
[00:37:22.680 --> 00:37:23.680]   They had amazing pictures.
[00:37:23.680 --> 00:37:25.680]   They had their own generator.
[00:37:25.680 --> 00:37:27.960]   And they're talking - the trucks are coming with more fuel.
[00:37:27.960 --> 00:37:28.960]   We hope we don't run out of fuel.
[00:37:28.960 --> 00:37:29.960]   Well, there's a live cam.
[00:37:29.960 --> 00:37:30.960]   It's amazing.
[00:37:30.960 --> 00:37:31.960]   You could watch it.
[00:37:31.960 --> 00:37:33.960]   In fact, there's a building that caught on fire a couple of days ago and they had it
[00:37:33.960 --> 00:37:35.760]   on the cam and it's burning.
[00:37:35.760 --> 00:37:36.760]   Yeah.
[00:37:36.760 --> 00:37:37.760]   Yeah.
[00:37:37.760 --> 00:37:39.120]   Well, I mean, there's an example of citizen journalism.
[00:37:39.120 --> 00:37:43.440]   I mean, this - long before the mainstream media were able to cover this story and before
[00:37:43.440 --> 00:37:47.480]   anybody was in there to rescue, we were seeing what was going on from blogs and people
[00:37:47.480 --> 00:37:49.880]   who were there and this Tex-America thing is a good example.
[00:37:49.880 --> 00:37:51.320]   And it is really quite amazing.
[00:37:51.320 --> 00:37:55.280]   You know, I was never a big fan of the idea that bloggers are going to be the new journalists
[00:37:55.280 --> 00:37:56.280]   of any sort.
[00:37:56.280 --> 00:38:00.040]   I'm still not completely convinced, but I have to say they've done a much better job
[00:38:00.040 --> 00:38:01.040]   than the general media.
[00:38:01.040 --> 00:38:04.920]   And you do have to kind of edit it yourself because there's guys that are just full of
[00:38:04.920 --> 00:38:05.920]   crap on there.
[00:38:05.920 --> 00:38:08.000]   They're not - I don't think journalists is the right word.
[00:38:08.000 --> 00:38:10.280]   It's covering the story.
[00:38:10.280 --> 00:38:14.280]   It's something that's there and recording what they see and talking about.
[00:38:14.280 --> 00:38:15.280]   There's storytellers.
[00:38:15.280 --> 00:38:16.280]   Yeah.
[00:38:16.280 --> 00:38:18.080]   And it's participatory journalism.
[00:38:18.080 --> 00:38:21.720]   It's people who are part of the story telling the story.
[00:38:21.720 --> 00:38:25.520]   And that's fine for journalists then to come in and make sense of it or analyze it if they
[00:38:25.520 --> 00:38:26.840]   do a decent job of it.
[00:38:26.840 --> 00:38:31.040]   But the fact is that the primary sources now are so much better than they used to be.
[00:38:31.040 --> 00:38:32.400]   I mean, you're really seeing stuff.
[00:38:32.400 --> 00:38:33.400]   And they're faster.
[00:38:33.400 --> 00:38:34.400]   Yeah, instantly.
[00:38:34.400 --> 00:38:35.400]   Yeah.
[00:38:35.400 --> 00:38:36.400]   I think it's just fascinating.
[00:38:36.400 --> 00:38:37.400]   Like we got this guy here.
[00:38:37.400 --> 00:38:39.400]   We're recording on that right now.
[00:38:39.400 --> 00:38:40.400]   Yeah, exactly.
[00:38:40.400 --> 00:38:41.400]   Exactly.
[00:38:41.400 --> 00:38:42.400]   I mean, there were a lot of people.
[00:38:42.400 --> 00:38:44.600]   Orak just said that Rice was in the shoe store.
[00:38:44.600 --> 00:38:47.760]   You believe this left way, right way, left way, left way, whatever.
[00:38:47.760 --> 00:38:49.320]   Well, that is one of the scary things.
[00:38:49.320 --> 00:38:54.480]   And we've seen that happen too, where there's this kind of wave of public opinion that's
[00:38:54.480 --> 00:38:58.120]   influenced by completely fallacious blogs.
[00:38:58.120 --> 00:38:59.120]   And that's another problem.
[00:38:59.120 --> 00:39:00.120]   That's a whole other issue.
[00:39:00.120 --> 00:39:02.440]   But I think people are going to get smarter about what they believe.
[00:39:02.440 --> 00:39:03.440]   I don't think so.
[00:39:03.440 --> 00:39:04.760]   You don't think so?
[00:39:04.760 --> 00:39:06.320]   No evidence.
[00:39:06.320 --> 00:39:10.720]   There's no evidence that people are getting smarter.
[00:39:10.720 --> 00:39:12.160]   They're actually talking about Katrina.
[00:39:12.160 --> 00:39:16.800]   Who was it that was telling me that their company is going to do-- come on over here.
[00:39:16.800 --> 00:39:21.280]   In fact, let me get the handheld mic.
[00:39:21.280 --> 00:39:23.640]   We all know Scott very well from reseller ratings.com.
[00:39:23.640 --> 00:39:24.640]   Hey, Scott, how you doing?
[00:39:24.640 --> 00:39:25.640]   Hey, great.
[00:39:25.640 --> 00:39:27.040]   Oh, let me-- I have to turn you up.
[00:39:27.040 --> 00:39:28.040]   I forgot.
[00:39:28.040 --> 00:39:29.040]   I don't have a rave on here anymore.
[00:39:29.040 --> 00:39:30.040]   Hear me now?
[00:39:30.040 --> 00:39:31.040]   Yeah.
[00:39:31.040 --> 00:39:32.040]   Okay.
[00:39:32.040 --> 00:39:33.040]   Great.
[00:39:33.040 --> 00:39:36.000]   So reseller ratings.com, great site, where you guys publish ratings of companies that
[00:39:36.000 --> 00:39:37.000]   sell stuff online.
[00:39:37.000 --> 00:39:40.760]   Yeah, you can go to our site and read reviews of merchants before you buy online and compare
[00:39:40.760 --> 00:39:41.760]   prices.
[00:39:41.760 --> 00:39:42.760]   What we're doing for Katrina?
[00:39:42.760 --> 00:39:46.160]   So what we're doing is we're matching donations to the Red Cross up to $10,000.
[00:39:46.160 --> 00:39:47.160]   That's great.
[00:39:47.160 --> 00:39:49.640]   So we're trying to raise a total of $20,000.
[00:39:49.640 --> 00:39:50.640]   Reseller ratings.com.
[00:39:50.640 --> 00:39:53.760]   Yeah, just go to our home page and click on the banner there and there'll be instructions.
[00:39:53.760 --> 00:39:56.240]   It's really easy to just donate forward your receipt to us.
[00:39:56.240 --> 00:39:57.240]   Nice to go.
[00:39:57.240 --> 00:39:58.240]   That's true.
[00:39:58.240 --> 00:39:59.240]   You're seeing a lot of companies doing that, doing matching donations.
[00:39:59.240 --> 00:40:02.040]   In fact, if you're going to do a donation, you should probably check to see if your company
[00:40:02.040 --> 00:40:03.040]   is doing matching.
[00:40:03.040 --> 00:40:06.960]   Do you see Clorox is giving a buck for everybody who goes to the Clorox site and clicks there
[00:40:06.960 --> 00:40:08.360]   some new detergent or something.
[00:40:08.360 --> 00:40:09.960]   You click there and give it away a buck.
[00:40:09.960 --> 00:40:10.960]   That's pretty cool.
[00:40:10.960 --> 00:40:12.560]   You might as well.
[00:40:12.560 --> 00:40:13.760]   How are things going on reseller ratings?
[00:40:13.760 --> 00:40:14.760]   Again, really good.
[00:40:14.760 --> 00:40:18.880]   We're focusing more on the fraud, preventing fraudulent reviews and working on the shopping
[00:40:18.880 --> 00:40:20.800]   engine and deals.
[00:40:20.800 --> 00:40:22.200]   So it's good to see you again.
[00:40:22.200 --> 00:40:23.200]   Thanks for coming by.
[00:40:23.200 --> 00:40:24.200]   Good to see you guys.
[00:40:24.200 --> 00:40:25.200]   Your success out here.
[00:40:25.200 --> 00:40:26.200]   It's a great show.
[00:40:26.200 --> 00:40:27.200]   We're twitifying.
[00:40:27.200 --> 00:40:28.200]   It is pretty amazing.
[00:40:28.200 --> 00:40:30.440]   I don't know how this happened.
[00:40:30.440 --> 00:40:33.240]   As long as we're talking to people, Sal's a gland is here.
[00:40:33.240 --> 00:40:36.760]   Matt, why don't you bring that mic over to Sal.
[00:40:36.760 --> 00:40:39.360]   Matt, send me a say, "Grenno Witski."
[00:40:39.360 --> 00:40:43.160]   We have a twit intern, ladies and gentlemen.
[00:40:43.160 --> 00:40:50.720]   This is Sal's, the Goyan Sal is the king of Apple Talk, the Apple Talk product manager
[00:40:50.720 --> 00:40:51.720]   at Apple.
[00:40:51.720 --> 00:40:52.720]   And a great guy.
[00:40:52.720 --> 00:40:54.520]   I learned a lot about Apple Talk.
[00:40:54.520 --> 00:40:56.320]   Apple Script, I'm sorry.
[00:40:56.320 --> 00:40:57.320]   Apple Talk.
[00:40:57.320 --> 00:41:01.520]   I think the Apple Talk product manager is a very lonely guy right now.
[00:41:01.520 --> 00:41:02.520]   Long gone.
[00:41:02.520 --> 00:41:04.960]   The Apple Script product manager.
[00:41:04.960 --> 00:41:07.000]   I learned a lot from you on the last Mac Mania.
[00:41:07.000 --> 00:41:08.760]   On the Geek Cruise, yeah.
[00:41:08.760 --> 00:41:09.760]   It was incredible.
[00:41:09.760 --> 00:41:10.760]   That was wonderful.
[00:41:10.760 --> 00:41:14.920]   And you showed me Automated before it came out in Tiger, and that is amazing.
[00:41:14.920 --> 00:41:15.920]   I'm sorry.
[00:41:15.920 --> 00:41:18.120]   You didn't show anything.
[00:41:18.120 --> 00:41:19.120]   I know nothing.
[00:41:19.120 --> 00:41:20.120]   What was that again?
[00:41:20.120 --> 00:41:22.040]   That'll be a sponge from the record.
[00:41:22.040 --> 00:41:23.040]   No, wait a minute.
[00:41:23.040 --> 00:41:24.040]   Let me think.
[00:41:24.040 --> 00:41:25.040]   That wasn't so long ago.
[00:41:25.040 --> 00:41:26.960]   It was after Tiger came out.
[00:41:26.960 --> 00:41:27.960]   Right.
[00:41:27.960 --> 00:41:30.000]   So how are things going now?
[00:41:30.000 --> 00:41:32.600]   It's, Automated is taking off like crazy.
[00:41:32.600 --> 00:41:35.920]   It's really, acceptance has been incredible.
[00:41:35.920 --> 00:41:40.200]   It's actually raised awareness about Apple Script, and we have more interest in Apple
[00:41:40.200 --> 00:41:41.880]   Script and Automated than we ever had before.
[00:41:41.880 --> 00:41:42.880]   I love Apple Script.
[00:41:42.880 --> 00:41:46.840]   I mean, for automating your workflows, for getting stuff done, it's just really nice
[00:41:46.840 --> 00:41:48.280]   to have that nice high level language.
[00:41:48.280 --> 00:41:52.840]   I find myself doing more and more in Apple Script and less and less in Pearl or Shell or
[00:41:52.840 --> 00:41:54.400]   you know, it's just really great.
[00:41:54.400 --> 00:41:55.400]   It's very approachable.
[00:41:55.400 --> 00:41:59.320]   I mean, you don't have to really get down and dirty with it so much.
[00:41:59.320 --> 00:42:04.880]   It's English like language that lets you control applications and the computer itself.
[00:42:04.880 --> 00:42:06.360]   We missed you on the last Geek Cruise.
[00:42:06.360 --> 00:42:07.360]   Yes.
[00:42:07.360 --> 00:42:08.360]   Are you going on the next one?
[00:42:08.360 --> 00:42:09.360]   Oh yeah.
[00:42:09.360 --> 00:42:13.600]   I'll be on the Geek Cruise to Acapulco and I'll be on the following one to the Mediterranean.
[00:42:13.600 --> 00:42:16.080]   Oh, you're going to see, I haven't said about the Mediterranean, but I'm going on the
[00:42:16.080 --> 00:42:17.080]   - I've got to go.
[00:42:17.080 --> 00:42:20.080]   - I'm going on the Mexican Riviera that's in February and the Mediterranean is in July,
[00:42:20.080 --> 00:42:21.080]   right?
[00:42:21.080 --> 00:42:22.080]   That's right.
[00:42:22.080 --> 00:42:23.080]   Yeah.
[00:42:23.080 --> 00:42:24.080]   Yeah.
[00:42:24.080 --> 00:42:25.080]   So that's GeekCruises.com.
[00:42:25.080 --> 00:42:26.080]   Yes.
[00:42:26.080 --> 00:42:27.080]   Give them a little plug.
[00:42:27.080 --> 00:42:28.080]   Because Woz will be there with us as well.
[00:42:28.080 --> 00:42:29.080]   Yes.
[00:42:29.080 --> 00:42:30.880]   And I'll be teaching a class again on Apple Script and one on Automated as well.
