;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[01:51:23.520 --> 01:51:29.280]   Uh that the deletion in the new I cloud photos the beta that apple's throwing off
[01:51:29.280 --> 01:51:34.560]   When you delete it on one thing deletes it everywhere and I had very carefully gone through my photos
[01:51:34.560 --> 01:51:37.280]   At home before because I know I show these on the air
[01:51:37.280 --> 01:51:40.480]   So and I knew we were going to talk about it. So I went through and deleted anything
[01:51:40.480 --> 01:51:45.200]   Remotely, you know scandalous, but for some reason there's like three pictures of mine
[01:51:46.960 --> 01:51:50.480]   Yep, not deleted and unfortunately Jason saw them all
[01:51:50.480 --> 01:51:55.600]   The way you would say this is there's three pictures of your tattoo. Right. Maybe that's what that was about. I don't know
[01:51:55.600 --> 01:51:58.720]   Yeah, oh yeah, there were there were pictures of your
[01:51:58.720 --> 01:52:01.280]   Darière
[01:52:01.280 --> 01:52:02.020]   My jen
[01:52:02.020 --> 01:52:03.520]   Dari
[01:52:03.520 --> 01:52:05.760]   A butt selfie
[01:52:05.760 --> 01:52:06.960]   Belfie a belphy
[01:52:06.960 --> 01:52:07.920]   Belfie
[01:52:07.920 --> 01:52:09.440]   So I just kind of give you an update
[01:52:09.440 --> 01:52:14.000]   Have you played with Appinvener at all or have your kids? I love Appinvener and I'm loving it more
[01:52:14.560 --> 01:52:19.360]   Well, I just did because I you know so in the radio show I have to hit
[01:52:19.360 --> 01:52:23.600]   It's a network show so I have to hit out times very hard
[01:52:23.600 --> 01:52:29.200]   By the second out times and I'm kind of perennially late and I had written a script for my for apple script
[01:52:29.200 --> 01:52:34.640]   But it wasn't working anymore. So I thought oh, this might be a good use for my Nexus 7 tablet
[01:52:34.640 --> 01:52:39.600]   I keep it on the charger. So I went to Appinvener. I mentioned this before it is so easy
[01:52:39.600 --> 01:52:45.520]   You drag and drop in pieces of the user interface in the designer and then you go in the blocks
[01:52:45.520 --> 01:52:52.560]   I have to admit as somebody who's written software. It's your fight. I found myself fighting Appinvener because you know, there's no case statement
[01:52:52.560 --> 01:52:54.880]   So I'm building this like giant if then else
[01:52:54.880 --> 01:53:00.560]   Tree and stuff like that, but ultimately I did get an app that is really it works and it's great
[01:53:00.560 --> 01:53:03.200]   And it was very simple and what's happens after you build it?
[01:53:03.200 --> 01:53:07.840]   um, you just uh, let's see go here and say build you can either
[01:53:08.240 --> 01:53:10.240]   They'll store it for I think a day or two
[01:53:10.240 --> 01:53:16.480]   You can have a QR code that you can just take a picture of and download it or you could save it to your computer and email it
[01:53:16.480 --> 01:53:18.560]   So I just saved it actually I saved it to google drive
[01:53:18.560 --> 01:53:23.760]   And all my devices have google drive so I can go to google drive and download the app and I have it now
[01:53:23.760 --> 01:53:27.520]   And so when it's yellow it means I have less than two minutes before the break
[01:53:27.520 --> 01:53:32.880]   It goes to red with the last minute if I'm in a if i'm talking on the show
[01:53:32.880 --> 01:53:36.560]   Uh, you know, it's green if i'm in a commercial. It's blue
[01:53:36.960 --> 01:53:41.520]   It's just a countdown timer. It's just a big but this was easy to write took me a couple of hours
[01:53:41.520 --> 01:53:43.760]   Yep, put it on my phone. I could put it everywhere
[01:53:43.760 --> 01:53:47.040]   If there's limits to what you can do with app and vener
[01:53:47.040 --> 01:53:53.040]   Um, it's really designed. I think more to teach kids how to program it is. Mm-hmm. It uses kind of the scratch methodology
[01:53:53.040 --> 01:53:57.760]   Yeah, it's like scratch. Yep, uh, if you play with things like tinker tyn k er
[01:53:57.760 --> 01:54:00.880]   It's a very similar thing can naturally graduate to this
[01:54:00.880 --> 01:54:06.640]   Um, but I think they've done a great job. See not only have 30 seconds left. I'm running out of running at a time on the
[01:54:06.960 --> 01:54:10.000]   On the countdown clock. That's awesome. It works great good for you
[01:54:10.000 --> 01:54:14.720]   That's just something something very simple. You're not going to write the next great app on here believe me
[01:54:14.720 --> 01:54:17.920]   But if but for a little utility and what I think is important
[01:54:17.920 --> 01:54:23.440]   Is that you kind of teach kids you want it to yourself not to just be consumers, but to be creators
[01:54:23.440 --> 01:54:28.640]   Right even something as simple as this gives you a sense of mastery over your technology
[01:54:28.640 --> 01:54:31.840]   And you're not quite as helpless. Yep, and now I've run out of time
[01:54:31.840 --> 01:54:34.880]   And we're in a commercial break for 342 seconds
[01:54:35.680 --> 01:54:39.120]   No, I didn't do the thing where you make it minutes and seconds. I figured this is good enough
[01:54:39.120 --> 01:54:42.080]   That's good enough. And by the way doing that there's no printf
[01:54:42.080 --> 01:54:45.920]   There's no right things doing that is actually a little bit
[01:54:45.920 --> 01:54:48.880]   Compful you just program in the times for the whole rundown. Yeah
[01:54:48.880 --> 01:54:52.880]   Oh, if I wanted to get fancy, I would put little buttons here that would let you
[01:54:52.880 --> 01:54:55.120]   Yep, you know make it other people do it
[01:54:55.120 --> 01:54:59.440]   But just the idea is is that you could do something so simple is really really great
[01:54:59.440 --> 01:55:02.160]   It's app inventor and all you have to do is search for app inventor
[01:55:02.160 --> 01:55:04.160]   MIT hosted Google developed it originally
[01:55:04.160 --> 01:55:09.200]   MIT hosts it now and it's free to use and what's cool is your programming on the web you could do it in google chrome
[01:55:09.200 --> 01:55:11.280]   It doesn't there's no
[01:55:11.280 --> 01:55:17.200]   The whole thing's on the web all your code and everything right? You don't need anything. It's really quick and easy to get started. Yeah. Yep
[01:55:17.200 --> 01:55:19.200]   Yeah, I love it
[01:55:19.200 --> 01:55:21.440]   Canada zero and the bomb didn't go off
[01:55:21.440 --> 01:55:24.560]   But this show has
[01:55:24.560 --> 01:55:28.240]   Thank you very much for coming up and then joining us here and yeah, you really appreciate it
[01:55:28.240 --> 01:55:33.600]   You bet always leisure you're on the google plus you're on the twitter anything else you want to plug that you're doing
[01:55:33.600 --> 01:55:37.760]   Uh, well floss weekly. I was on floss weekly this morning. That's what we brought you to
[01:55:37.760 --> 01:55:45.120]   Yeah, I kind of coordinated that with between randal and uh, Jason, you know try to get that. Yeah. Yeah, absolutely
[01:55:45.120 --> 01:55:49.600]   No, it's absolutely it was a really fun morning with randal if you haven't checked it out
[01:55:49.600 --> 01:55:53.920]   You should go check out the topic. Um, it was a company called. I'm just pulling it up now
[01:55:53.920 --> 01:55:58.320]   I want to make every loss weekly is these days has been a open source project of some kind of yeah
[01:55:58.320 --> 01:56:01.600]   Yeah, absolutely for the last few years. I love that and this one is a little bit of a surprising
[01:56:01.600 --> 01:56:06.720]   It's called crisis cleanup. I don't know if you've heard about it. It's an open source application for managing
[01:56:06.720 --> 01:56:12.560]   Um after there's a crisis for managing volunteers. Wow getting them involved with uh, you know
[01:56:12.560 --> 01:56:17.760]   Mobilizing essentially so you've got the baptist church and the methodist church and the lutheran church
[01:56:17.760 --> 01:56:21.040]   They all want to you know help out with some sort of disaster
[01:56:21.520 --> 01:56:26.560]   Confident in each other's way. They don't want to get in each other's way. Maybe some of them have facilities to do, you know overnight
[01:56:26.560 --> 01:56:31.040]   Uh housing some of them have food capabilities so they can basically take this
[01:56:31.040 --> 01:56:36.160]   Uh, program and run it and kind of coordinate a little bit better and it's all based on open source
[01:56:36.160 --> 01:56:40.400]   I love really fantastic examples of how open source is being used in business and
[01:56:40.400 --> 01:56:46.560]   Ngo's and charity. I mean it's more than just geeks doing databases. Yeah, no SQL databases
[01:56:46.560 --> 01:56:49.920]   There's a lot of great stuff. Yeah, so check that out one more thing. Well. I've got the camera
[01:56:50.480 --> 01:56:53.920]   Uh, if you are in the bay area and you'd like to come to a maker fair
[01:56:53.920 --> 01:56:57.680]   We're doing our very own maker fair in banisha. Oh, fawn banisha mini maker fair
[01:56:57.680 --> 01:57:02.560]   It's on march 28th and uh, it's for the whole bay area. So if you're in this area and you'd like to check it out
[01:57:02.560 --> 01:57:07.600]   It's banisha maker fair dot com by your tickets early because there's going to be a line at the door
[01:57:07.600 --> 01:57:11.200]   It's going to be a lot of fun. We've got all kinds of cool stuff. There's there's there's a so great
[01:57:11.200 --> 01:57:15.840]   There's an eight-year-old uh eight or nine-year-old girl who makes something called cardboard video games
[01:57:15.840 --> 01:57:18.000]   I don't know what that is, but i'm really interested in this
[01:57:18.640 --> 01:57:23.120]   Uh, so she's going to be coming out and showing that off and all kinds of other cool stuff. So check it out
[01:57:23.120 --> 01:57:25.440]   Very nice
[01:57:25.440 --> 01:57:27.200]   We are done
[01:57:27.200 --> 01:57:30.720]   Thank you everybody for joining us this week in google insight to it coming up in a second
[01:57:30.720 --> 01:57:37.120]   This week in google is every wednesday one p.m. Pacific four p.m. Eastern remember we are going to daylight savings time here in california
[01:57:37.120 --> 01:57:41.920]   On sunday, oh remember next week for live fans. We're going to be on early. Yep
[01:57:41.920 --> 01:57:45.840]   So, uh, if you are not on summertime yet, we're going to be
[01:57:46.400 --> 01:57:48.400]   springing for what let's put it this way
[01:57:48.400 --> 01:57:50.480]   We're on
[01:57:50.480 --> 01:57:52.240]   2000 UTC
[01:57:52.240 --> 01:57:58.080]   Okay, that's all you really need to do figure it out what your time differential is from utc and you'll and you'll know every wednesday
[01:57:58.080 --> 01:58:00.800]   And yes next week we are going to be early in the morning
[01:58:00.800 --> 01:58:07.360]   We're going to be 11 a.m. Pacific two p.m. Eastern time 1800 utc because uh, we're flip-flopping with windows weekly
[01:58:07.360 --> 01:58:11.600]   So tune in early if you want to join us live we love it if you do but i understand a lot of times
[01:58:11.600 --> 01:58:16.320]   You can't we have on-demand versions of every show we do on the twit network at twit.tv in this case
[01:58:16.800 --> 01:58:19.600]   Twit.tv/twig or wherever you get your podcasts
[01:58:19.600 --> 01:58:25.760]   iTunes and the the apps on your phone there's some great twit apps and on almost every platform including roku
[01:58:25.760 --> 01:58:30.080]   Uh, thanks for joining us. We'll see you next time on twig. Bye
[01:58:30.080 --> 01:58:40.080]   *Music*

