;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[00:47:45.280 --> 00:47:46.280]   That's right.
[00:47:46.280 --> 00:47:47.280]   What happens, Leo, don't be naive.
[00:47:47.280 --> 00:47:49.480]   That's what happens when an advertiser targets an ad.
[00:47:49.480 --> 00:47:51.880]   They're getting access to the data.
[00:47:51.880 --> 00:47:55.280]   They're making use of that data to target that ad.
[00:47:55.280 --> 00:47:58.120]   And that's one of the reasons I want to understand this better.
[00:47:58.120 --> 00:47:59.120]   Every media company does.
[00:47:59.120 --> 00:48:02.160]   Yes, because NBC could be characterizing...
[00:48:02.160 --> 00:48:03.640]   And by the way, NBC does it.
[00:48:03.640 --> 00:48:04.640]   NBC does it.
[00:48:04.640 --> 00:48:11.400]   But they could be characterizing that kind of behavior as giving data up or actually giving
[00:48:11.400 --> 00:48:12.400]   people the data.
[00:48:12.400 --> 00:48:17.960]   Because Facebook might say, "Well, yes, you can buy an ad against a demographic, but
[00:48:17.960 --> 00:48:23.040]   that doesn't mean we're giving you information about Leo."
[00:48:23.040 --> 00:48:24.760]   And so that's the real question is.
[00:48:24.760 --> 00:48:29.000]   And absolutely, NBC sells ads against the demographic all the time.
[00:48:29.000 --> 00:48:30.000]   Everybody does.
[00:48:30.000 --> 00:48:35.760]   I sat in a meeting with Google once some years ago, where the publishers were all saying
[00:48:35.760 --> 00:48:38.600]   to Google, "Give us data, give us data, give us data."
[00:48:38.600 --> 00:48:41.000]   And Google said, "No."
[00:48:41.000 --> 00:48:45.080]   And they said, "If you want access to the value of that data, you use our ad server
[00:48:45.080 --> 00:48:47.680]   and you get access, but we don't give you the data."
[00:48:47.680 --> 00:48:48.880]   That's the way this operates.
[00:48:48.880 --> 00:48:51.600]   So yes, there's access to the data into that extent.
[00:48:51.600 --> 00:48:54.720]   And yes, you can target things and you can do things.
[00:48:54.720 --> 00:48:59.800]   Where the data is residing, this talk becomes very naive at that point.
[00:48:59.800 --> 00:49:05.160]   So we're also talking about an entity that's much, much larger and has oceans more data
[00:49:05.160 --> 00:49:07.520]   than any media entity that's ever existed.
[00:49:07.520 --> 00:49:08.520]   And I was like, "Yeah, paper."
[00:49:08.520 --> 00:49:12.120]   Your companies are too damn stupid to have done this on their own.
[00:49:12.120 --> 00:49:13.120]   But are you saying...
[00:49:13.120 --> 00:49:14.120]   And we're saying...
[00:49:14.120 --> 00:49:15.120]   The company I know once this should have done this and didn't.
[00:49:15.120 --> 00:49:16.120]   But are you saying...
[00:49:16.120 --> 00:49:19.400]   Users are stupid for trusting that Facebook wouldn't do that?
[00:49:19.400 --> 00:49:22.200]   Are they dumb for not realizing, "Well, everybody does it.
[00:49:22.200 --> 00:49:23.200]   You're stupid."
[00:49:23.200 --> 00:49:26.000]   What's the what that they're doing that you're accusing them of doing here?
[00:49:26.000 --> 00:49:27.000]   Well, that's the question.
[00:49:27.000 --> 00:49:32.120]   If it's right and if it's nothing more than saying, "Hey, Amazon, these people are likely
[00:49:32.120 --> 00:49:35.720]   to want to be stupid enough to want your phone because of this fact and this fact and this
[00:49:35.720 --> 00:49:38.880]   fact, that's the nature of media advertising today."
[00:49:38.880 --> 00:49:39.880]   Absolutely.
[00:49:39.880 --> 00:49:40.880]   Period.
[00:49:40.880 --> 00:49:41.880]   Absolutely.
[00:49:41.880 --> 00:49:42.880]   So we don't...
[00:49:42.880 --> 00:49:43.880]   We're indicting...
[00:49:43.880 --> 00:49:45.520]   And there may be reason to indict Facebook.
[00:49:45.520 --> 00:49:46.960]   We're doing lots of stupid things.
[00:49:46.960 --> 00:49:48.400]   I'm not denying that.
[00:49:48.400 --> 00:49:51.040]   But let's not have the trial without the evidence.
[00:49:51.040 --> 00:49:52.040]   Right.
[00:49:52.040 --> 00:49:58.600]   And to be fair to Facebook, we should point out that the Pekinges app that was in this
[00:49:58.600 --> 00:50:06.680]   lawsuit that this data came from, the entire apps was designed to peek at people in Pekinges.
[00:50:06.680 --> 00:50:10.960]   And the way you've got that information is getting photos not just from you, but from
[00:50:10.960 --> 00:50:21.480]   your friends and Facebook cut them off saying, "You can't get photos not just of the people
[00:50:21.480 --> 00:50:25.760]   who are using the Pekinges app, but their friends and friends of friends."
[00:50:25.760 --> 00:50:30.000]   That's when Facebook very famously turned off that friends of friends feature.
[00:50:30.000 --> 00:50:32.560]   And that's a pretty reprehensible use of that data.
[00:50:32.560 --> 00:50:33.560]   Of that data.
[00:50:33.560 --> 00:50:39.600]   That is because all these things start with good intentions and good use and then bad
[00:50:39.600 --> 00:50:42.480]   people come along and figure out how to exploit it to deal.
[00:50:42.480 --> 00:50:47.680]   And the tech companies never saw enough what could have happened and then they got caught
[00:50:47.680 --> 00:50:49.160]   in arrears.
[00:50:49.160 --> 00:50:50.600]   That's the reality we've got to deal with now.
[00:50:50.600 --> 00:50:54.920]   So now you have to assume the worst more often than we did in the early days of the internet.
[00:50:54.920 --> 00:50:56.920]   We didn't do that.
[00:50:56.920 --> 00:50:57.920]   Right.
[00:50:57.920 --> 00:51:00.920]   All right.
[00:51:00.920 --> 00:51:04.720]   I think that we have to hold off...
[00:51:04.720 --> 00:51:05.720]   We've got to wait for evidence.
[00:51:05.720 --> 00:51:06.720]   Until there's...
[00:51:06.720 --> 00:51:07.720]   And the evidence could be bad.
[00:51:07.720 --> 00:51:09.360]   More than just a characterization of the evidence.
[00:51:09.360 --> 00:51:12.280]   But it's kind of like the bar report.
[00:51:12.280 --> 00:51:15.680]   We've got the four page letter.
[00:51:15.680 --> 00:51:17.640]   This is the four page letter.
[00:51:17.640 --> 00:51:19.800]   So he's going to have a press conference tomorrow at 930.
[00:51:19.800 --> 00:51:27.480]   The onion study is going to do a representative dance on it.
[00:51:27.480 --> 00:51:30.600]   There is of course, in these...
[00:51:30.600 --> 00:51:33.320]   There are email, there are reactions, there are discussions.
[00:51:33.320 --> 00:51:37.360]   But again, a lot of internal company discussions might propose that they do something that
[00:51:37.360 --> 00:51:42.880]   they never do for very good reason and that's not a smoking gun.
[00:51:42.880 --> 00:51:47.960]   I have read some really stupid memos in my day and written a few.
[00:51:47.960 --> 00:51:52.960]   We could do this.
[00:51:52.960 --> 00:51:53.960]   Here's some...
[00:51:53.960 --> 00:51:55.280]   There are a few quotes in here.
[00:51:55.280 --> 00:51:59.720]   In late November 2012, Zuckerberg sent a long email to Facebook's senior leadership team
[00:51:59.720 --> 00:52:04.040]   saying Facebook shouldn't charge developers for access to basic data feeds.
[00:52:04.040 --> 00:52:08.880]   He said that access to Facebook data should be contingent on the developers sharing all
[00:52:08.880 --> 00:52:14.440]   of the social content generated by their apps back to Facebook, something Zuckerberg called
[00:52:14.440 --> 00:52:18.360]   full reciprocity.
[00:52:18.360 --> 00:52:21.960]   The existing arrangement where developers weren't required to share their data back with Facebook
[00:52:21.960 --> 00:52:29.640]   might be "good for the world" but it's not "good for us," Zuckerberg wrote in the email.
[00:52:29.640 --> 00:52:33.920]   This is the kind of cynicism that worries me.
[00:52:33.920 --> 00:52:36.520]   It's the kind of bluntness that happens inside company.
[00:52:36.520 --> 00:52:37.520]   But you're right.
[00:52:37.520 --> 00:52:44.760]   I've been inside company meetings where executives kind of cackle about how can we get as much
[00:52:44.760 --> 00:52:47.560]   money out of subscribers and fool them into...
[00:52:47.560 --> 00:52:56.480]   I was around in my industry when the credit card subscription came in and there were meetings
[00:52:56.480 --> 00:53:00.080]   that I set in of trying to convince people who were dead and stopped reading the magazine
[00:53:00.080 --> 00:53:03.840]   to still charge them for it because they didn't know how to cancel it.
[00:53:03.840 --> 00:53:05.480]   Companies do bad stuff.
[00:53:05.480 --> 00:53:06.480]   Yeah.
[00:53:06.480 --> 00:53:09.520]   Or, and may even talk about bad stuff in their emails.
[00:53:09.520 --> 00:53:13.280]   And they talk about bad stuff and they cackle about bad stuff.
[00:53:13.280 --> 00:53:14.280]   Right.
[00:53:14.280 --> 00:53:15.280]   Right.
[00:53:15.280 --> 00:53:20.640]   It doesn't make them bad or good yet.
[00:53:20.640 --> 00:53:22.200]   Yet.
[00:53:22.200 --> 00:53:29.880]   I have to say, I was really disheartened day before yesterday.
[00:53:29.880 --> 00:53:31.520]   I'm at home and it's a day off.
[00:53:31.520 --> 00:53:33.360]   Lisa texts me.
[00:53:33.360 --> 00:53:38.920]   Notre Dame is burning and it's a terrorist attack.
[00:53:38.920 --> 00:53:40.560]   And of course it isn't.
[00:53:40.560 --> 00:53:41.560]   It wasn't.
[00:53:41.560 --> 00:53:45.080]   It looks like it was arson, whether it's not arson, but accidental whether it was arson
[00:53:45.080 --> 00:53:46.600]   intentional or accidental fire.
[00:53:46.600 --> 00:53:47.600]   They're not sure still.
[00:53:47.600 --> 00:53:48.600]   But not.
[00:53:48.600 --> 00:53:49.880]   Nobody is asserting it was a terrorist attack.
[00:53:49.880 --> 00:53:50.880]   Except...
[00:53:50.880 --> 00:53:51.880]   YouTube.
[00:53:51.880 --> 00:53:55.600]   Where they likened it to 9/11.
[00:53:55.600 --> 00:54:00.320]   They even showed a fact checking article from Wikipedia about 9/11.
[00:54:00.320 --> 00:54:02.280]   They initially, apparently they're automated.
[00:54:02.280 --> 00:54:04.760]   And this is all automated stuff, I'm sure.
[00:54:04.760 --> 00:54:07.160]   Because no sane human would have done this.
[00:54:07.160 --> 00:54:12.800]   They're automated stuff flagged it as potentially fake news.
[00:54:12.800 --> 00:54:16.760]   And they wanted to, and they put their fact checking information up under it.
[00:54:16.760 --> 00:54:21.080]   But this really does kind of underscore why algorithms have a problem.
[00:54:21.080 --> 00:54:22.440]   You know what Leo?
[00:54:22.440 --> 00:54:23.440]   You know what Leo?
[00:54:23.440 --> 00:54:29.320]   I had before that happened and before that came out, I saw many people on Twitter say,
[00:54:29.320 --> 00:54:31.440]   "Oh my God, this reminds me of 9/11."
[00:54:31.440 --> 00:54:32.440]   And it sure did.
[00:54:32.440 --> 00:54:35.800]   When you saw the steeplefall, it looked so much like 9/11.
[00:54:35.800 --> 00:54:41.560]   And so I get the criticism of YouTube in this case and it doesn't help them.
[00:54:41.560 --> 00:54:45.240]   But I also, they're mimicking human behavior.
[00:54:45.240 --> 00:54:46.240]   Yeah.
[00:54:46.240 --> 00:54:47.240]   Great.
[00:54:47.240 --> 00:54:49.240]   I would actually hope for better.
[00:54:49.240 --> 00:54:52.760]   Yeah, that's part of the problem.
[00:54:52.760 --> 00:54:56.600]   Both Lisa and I were very saddened by the thought that somebody could have done this
[00:54:56.600 --> 00:54:58.040]   on purpose as it turned out.
[00:54:58.040 --> 00:55:00.720]   Of course, it wasn't the case.
[00:55:00.720 --> 00:55:01.720]   And it was the...
[00:55:01.720 --> 00:55:06.600]   My favorite story in all of this, which was a, I think, Atlantic story.
[00:55:06.600 --> 00:55:12.640]   The guy who died not long ago, who was an architecture expert.
[00:55:12.640 --> 00:55:15.000]   And he took a detailed laser.
[00:55:15.000 --> 00:55:16.000]   I saw that.
[00:55:16.000 --> 00:55:17.000]   The entire structure.
[00:55:17.000 --> 00:55:19.200]   The footwell helped with the reconstruction.
[00:55:19.200 --> 00:55:21.000]   There was a lovely story.
[00:55:21.000 --> 00:55:27.400]   They built detailed models for when they were doing Assassin's Creed as well.
[00:55:27.400 --> 00:55:29.400]   Oh, wow.
[00:55:29.400 --> 00:55:30.400]   Inside and out.
[00:55:30.400 --> 00:55:31.400]   Yeah.
[00:55:31.400 --> 00:55:35.920]   A YouTube spokesperson said those informational panels are triggered algorithmically.
[00:55:35.920 --> 00:55:38.160]   Our systems sometimes make the wrong call.
[00:55:38.160 --> 00:55:41.320]   We're disabling these panels for live streams related to the fire.
[00:55:41.320 --> 00:55:46.000]   YouTube correctly, this is the verge writing, and quickly identified the Notre Dame fire
[00:55:46.000 --> 00:55:47.920]   as a breaking news event.
[00:55:47.920 --> 00:55:52.320]   Surfaced trusted news outlets near the top of the search results.
[00:55:52.320 --> 00:55:56.840]   So that part of the algorithm, in fact, worked as intended.
[00:55:56.840 --> 00:55:59.040]   Really just getting better at this stuff.
[00:55:59.040 --> 00:56:00.040]   Yeah.
[00:56:00.040 --> 00:56:04.160]   It's not an indictment of YouTube, but it is an indictment of algorithmic.
[00:56:04.160 --> 00:56:09.840]   And that's why every time Mark Zuckerberg says, "Ai's going to solve this problem."
[00:56:09.840 --> 00:56:10.840]   Yeah.
[00:56:10.840 --> 00:56:11.840]   I just...
[00:56:11.840 --> 00:56:12.840]   Yeah.
[00:56:12.840 --> 00:56:15.840]   It's not going to happen.
[00:56:15.840 --> 00:56:18.040]   You're going to Google I/O, right, Jeff?
[00:56:18.040 --> 00:56:19.040]   Yep.
[00:56:19.040 --> 00:56:24.480]   So I'm thinking that's Tuesday is the keynote.
[00:56:24.480 --> 00:56:30.720]   So I'll take some medication to get me over the bridge to come up Wednesday.
[00:56:30.720 --> 00:56:34.320]   I got a bottle of whiskey I'll have for you.
[00:56:34.320 --> 00:56:36.800]   Jeff is not driving, so it's okay.
[00:56:36.800 --> 00:56:38.640]   No, I'll be driving.
[00:56:38.640 --> 00:56:39.640]   That's the problem.
[00:56:39.640 --> 00:56:40.640]   Oh, you're going to drive?
[00:56:40.640 --> 00:56:41.640]   Oh.
[00:56:41.640 --> 00:56:42.640]   Well, how else do I get up there?
[00:56:42.640 --> 00:56:43.640]   Well, I think we could...
[00:56:43.640 --> 00:56:44.640]   Jeff would gladly pay for an Uber.
[00:56:44.640 --> 00:56:45.640]   I said you're a doctor.
[00:56:45.640 --> 00:56:47.560]   No, we'll gladly pay for a car for you.
[00:56:47.560 --> 00:56:49.200]   Well, that's a long way.
[00:56:49.200 --> 00:56:50.200]   Well, it's all right.
[00:56:50.200 --> 00:56:51.200]   It's worth it.
