;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[01:53:04.220 --> 01:53:05.900]   True
[01:53:05.900 --> 01:53:09.660]   Thanks everybody. We do this week in google and I promise that's it on our political
[01:53:09.660 --> 01:53:15.340]   Well, maybe I can't promise that I can't promise that I hope states you'll be back next week to to talk us down
[01:53:15.740 --> 01:53:20.060]   Uh, we do this show every um every wednesday 130 pacific 430 eastern
[01:53:20.060 --> 01:53:23.500]   Uh, I that is now 1930 utc
[01:53:23.500 --> 01:53:26.380]   uh because of uh various
[01:53:26.380 --> 01:53:29.260]   savings saving
[01:53:29.260 --> 01:53:31.820]   daylight summer time wintertime things
[01:53:31.820 --> 01:53:36.540]   Uh, so our utc chime has changed but you can figure out the offset from your
[01:53:36.540 --> 01:53:42.860]   Uh, your locale and uh figure out what time to watch live. We like it when you do you can also be in the chairman at irc.utwood.tv
[01:53:43.260 --> 01:53:47.180]   If live isn't in the picture for you don't worry on demand audio and videos available too
[01:53:47.180 --> 01:53:49.260]   You just go to twit.tv/twig
[01:53:49.260 --> 01:53:51.900]   Listen at your leisure watch at your leisure
[01:53:51.900 --> 01:54:00.140]   Or subscribe that way you always have something really good to listen to on your smartphone. We're on every platform stitcher slacker
[01:54:00.140 --> 01:54:05.100]   Uh, tune in internet radio. Yes, it works on the amazon echo
[01:54:05.100 --> 01:54:07.340]   I think
[01:54:07.340 --> 01:54:12.060]   I'm trying to remember if we're on google home or not we we are on the podcast on the google
[01:54:12.460 --> 01:54:15.580]   Play music podcast section. So I would think so
[01:54:15.580 --> 01:54:20.380]   Thanks for joining us and we'll see you next time on this week in google. Bye
[01:54:20.380 --> 01:54:30.380]   [Music]

