;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[01:17:50.760 --> 01:17:52.600]   The secret behind exceptional websites,
[01:17:52.600 --> 01:17:54.760]   everything you need to make a wonderful website,
[01:17:54.760 --> 01:17:57.520]   including, of course, the best hosting in the business.
[01:17:57.520 --> 01:18:00.320]   There is none better than Squarespace
[01:18:00.320 --> 01:18:02.800]   and the best content management system.
[01:18:02.800 --> 01:18:06.520]   So you get great software on top of a great hosting platform,
[01:18:06.520 --> 01:18:08.120]   always secure, always up to date,
[01:18:08.120 --> 01:18:09.160]   because they take care of that.
[01:18:09.160 --> 01:18:09.720]   You don't have to.
[01:18:09.720 --> 01:18:11.040]   It's fully managed.
[01:18:11.040 --> 01:18:13.320]   You focus on what you want to do, which really
[01:18:13.320 --> 01:18:15.360]   is the content, I presume.
[01:18:15.360 --> 01:18:16.800]   This is not a good site if you want
[01:18:16.800 --> 01:18:18.640]   to hack around with Apache.
[01:18:18.640 --> 01:18:21.240]   Mess around with .htaccess.
[01:18:21.240 --> 01:18:24.640]   Upload fixes and patches to your software.
[01:18:24.640 --> 01:18:28.200]   This is for people who want to post content.
[01:18:28.200 --> 01:18:32.000]   And whether it's a photo galleries for the photographer,
[01:18:32.000 --> 01:18:34.920]   importing from your existing blog, mobile type, WordPress
[01:18:34.920 --> 01:18:38.680]   Type Hat, or Blogger, using the iOS or Android apps
[01:18:38.680 --> 01:18:42.640]   for editing and creating content and moderating comments,
[01:18:42.640 --> 01:18:44.200]   it's got everything you need.
[01:18:44.200 --> 01:18:44.960]   You're going to love it.
[01:18:44.960 --> 01:18:46.120]   Take a look at the example sites.
[01:18:46.120 --> 01:18:46.920]   Take a tour.
[01:18:46.920 --> 01:18:49.640]   They even have great free workshops for Squarespace
[01:18:49.640 --> 01:18:54.600]   customers at workshops.squarespace.com.
[01:18:54.600 --> 01:18:57.480]   I don't think there is a better platform
[01:18:57.480 --> 01:18:59.920]   for creating your new website than Squarespace.
[01:18:59.920 --> 01:19:01.560]   I want you to visit it right now.
[01:19:01.560 --> 01:19:02.320]   And try it for you.
[01:19:02.320 --> 01:19:03.600]   You don't even need to use the offer code.
[01:19:03.600 --> 01:19:04.680]   Just click the try it free button.
[01:19:04.680 --> 01:19:06.440]   You've got two weeks of Squarespace.
[01:19:06.440 --> 01:19:08.320]   If you decide you want to buy, that's
[01:19:08.320 --> 01:19:10.840]   when you want to use the offer code, twig six.
[01:19:10.840 --> 01:19:12.960]   And do note, somebody said your offer code's no good,
[01:19:12.960 --> 01:19:14.400]   because they were listening to an old show.
[01:19:14.400 --> 01:19:15.360]   It updates every month.
[01:19:15.360 --> 01:19:19.360]   This is June, so it's the sixth month.
[01:19:19.360 --> 01:19:21.400]   So twig TWIG six.
[01:19:21.400 --> 01:19:24.120]   So always use the current month and twig in the number.
[01:19:24.120 --> 01:19:26.680]   Now what is the offer this time?
[01:19:26.680 --> 01:19:32.120]   Well, I'll tell you, 10% off your first purchase on new accounts.
[01:19:32.120 --> 01:19:33.960]   So get the yearly plan, because that's
[01:19:33.960 --> 01:19:35.760]   going to be the most savings.
[01:19:35.760 --> 01:19:39.760]   And in fact, by the way, the new pricing is very affordable.
[01:19:39.760 --> 01:19:42.360]   Websites are as low as $8 a month.
[01:19:42.360 --> 01:19:45.280]   And if you want the unlimited plan, which really is amazing
[01:19:45.280 --> 01:19:49.240]   deal, unlimited pages, bandwidth, storage, and with either--
[01:19:49.240 --> 01:19:50.400]   it's $16 a month.
[01:19:50.400 --> 01:19:55.080]   And with either plan, when you buy the annual plan,
[01:19:55.080 --> 01:19:56.840]   you get a free custom domain.
[01:19:56.840 --> 01:19:58.280]   So you can have your own domain.
[01:19:58.280 --> 01:20:00.280]   They'll hook it up, so it's automatic.
[01:20:00.280 --> 01:20:01.560]   And use the offer code twig six.
[01:20:01.560 --> 01:20:02.800]   You're going to take 10% off.
[01:20:02.800 --> 01:20:04.360]   Now that's a great deal.
[01:20:04.360 --> 01:20:07.520]   The Google Web Font Library, 300 fonts, fully integrated.
[01:20:07.520 --> 01:20:12.880]   24/7, support from a really good support team.
[01:20:12.880 --> 01:20:16.480]   Widgets for Twitter and Flickr and Facebook and on and on.
[01:20:16.480 --> 01:20:18.520]   And Google Maps, on and on and on.
[01:20:18.520 --> 01:20:20.680]   I want you to try it free.
[01:20:20.680 --> 01:20:22.720]   Go to squarespace.com, click the try and free button.
[01:20:22.720 --> 01:20:27.040]   Just remember, when you sign up, use twig six as the offer code.
[01:20:27.040 --> 01:20:29.320]   And you'll get 10% off your first purchase.
[01:20:29.320 --> 01:20:33.240]   Gina Trapani, your tip of the week.
[01:20:33.240 --> 01:20:36.320]   Well, LinkedIn had a password leak this week.
[01:20:36.320 --> 01:20:38.600]   So you should be auditing your passwords.
[01:20:38.600 --> 01:20:40.240]   You should change your LinkedIn password.
[01:20:40.240 --> 01:20:42.040]   You should make sure you're not using the same password
[01:20:42.040 --> 01:20:42.800]   everywhere.
[01:20:42.800 --> 01:20:46.640]   You should use LastPass or KeyPass or some sort of secure
[01:20:46.640 --> 01:20:48.000]   password tool.
[01:20:48.000 --> 01:20:49.680]   But if you're worried, if you haven't looked at LinkedIn
[01:20:49.680 --> 01:20:51.600]   in a while and maybe you're using an old password,
[01:20:51.600 --> 01:20:53.960]   if you want to know whether or not your password was
[01:20:53.960 --> 01:20:59.280]   in one of the leaked file, you can go to leakedin.org,
[01:20:59.280 --> 01:21:02.880]   which is actually kind of slow today because a lot of people
[01:21:02.880 --> 01:21:03.080]   are--
[01:21:03.080 --> 01:21:03.960]   It's busy.
[01:21:03.960 --> 01:21:06.160]   Exactly, but leakedin.org.
[01:21:06.160 --> 01:21:08.600]   If you enter your password on the page, normally,
[01:21:08.600 --> 01:21:10.840]   I would never tell you to enter your password on a random page.
[01:21:10.840 --> 01:21:11.960]   But you're not entering your username.
[01:21:11.960 --> 01:21:13.000]   Just your password.
[01:21:13.000 --> 01:21:15.880]   And that page actually hashes the password on its sides.
[01:21:15.880 --> 01:21:18.400]   You're not submitting your plain text password to the service.
[01:21:18.400 --> 01:21:21.160]   All it does is check to see whether or not
[01:21:21.160 --> 01:21:25.000]   your password was leaked or not.
[01:21:25.000 --> 01:21:26.400]   And mine wasn't.
[01:21:26.400 --> 01:21:27.960]   So I got that great little message.
[01:21:27.960 --> 01:21:29.320]   Looks like your password wasn't leaked.
[01:21:29.320 --> 01:21:30.280]   Hooray.
[01:21:30.280 --> 01:21:30.800]   Either way--
[01:21:30.800 --> 01:21:32.600]   Mine was, by the way.
[01:21:32.600 --> 01:21:33.520]   Oh, yours was.
[01:21:33.520 --> 01:21:34.020]   Yeah.
[01:21:34.020 --> 01:21:35.920]   I know a lot of people whose password was leaked.
[01:21:35.920 --> 01:21:38.120]   I know a lot of people who said, I signed up for LinkedIn
[01:21:38.120 --> 01:21:39.720]   forever ago, the same thing with me.
[01:21:39.720 --> 01:21:40.680]   And I used an old password.
[01:21:40.680 --> 01:21:43.240]   And back then, I used the same password for everything.
[01:21:43.240 --> 01:21:44.800]   If your password was leaked and you're
[01:21:44.800 --> 01:21:46.960]   using a simple password and use that same password
[01:21:46.960 --> 01:21:50.080]   other places, go change your password everywhere
[01:21:50.080 --> 01:21:53.120]   and start using different secure passwords everywhere.
[01:21:53.120 --> 01:21:56.240]   But leakedin.org, useful service, I think,
[01:21:56.240 --> 01:21:58.840]   programmer kind of threw that up real fast after the password
[01:21:58.840 --> 01:21:59.120]   leak.
[01:21:59.120 --> 01:21:59.960]   Yeah, it's really cool.
[01:21:59.960 --> 01:22:00.720]   That's what I'm not--
[01:22:00.720 --> 01:22:01.480]   And it's safe.
[01:22:01.480 --> 01:22:01.960]   --of your info got out.
[01:22:01.960 --> 01:22:02.480]   And it's safe.
[01:22:02.480 --> 01:22:04.280]   We talked about it-- Steve Gibson-- I asked Steve Gibson
[01:22:04.280 --> 01:22:05.440]   about it, and he said, no, no.
[01:22:05.440 --> 01:22:06.680]   The JavaScript is all local.
[01:22:06.680 --> 01:22:07.800]   So they are--
[01:22:07.800 --> 01:22:10.360]   What they're doing is they're using the same hash technology,
[01:22:10.360 --> 01:22:13.120]   SHA1, on whatever you submit.
[01:22:13.120 --> 01:22:13.960]   They're doing it locally.
[01:22:13.960 --> 01:22:16.880]   So it never sends that password back to their servers.
[01:22:16.880 --> 01:22:20.760]   And then you submit the resulting hash to their servers.
[01:22:20.760 --> 01:22:23.480]   And they compare it with the database of leaked hashes.
[01:22:23.480 --> 01:22:26.520]   And so unfortunately, I had a good random, long random
[01:22:26.520 --> 01:22:28.560]   password that I generated.
[01:22:28.560 --> 01:22:31.320]   And so even though they had it, it's very unlikely
[01:22:31.320 --> 01:22:32.680]   they would have been able to hack my account.
[01:22:32.680 --> 01:22:35.960]   They're only able to reverse the hashes on kind of crappy,
[01:22:35.960 --> 01:22:36.960]   obvious passwords.
[01:22:36.960 --> 01:22:37.880]   All right, weak passwords.
[01:22:37.880 --> 01:22:39.000]   What are you using now, Leo?
[01:22:39.000 --> 01:22:39.960]   Do you use LastPass or--
[01:22:39.960 --> 01:22:40.480]   LastPass.
[01:22:40.480 --> 01:22:40.480]   LastPass.
[01:22:40.480 --> 01:22:41.480]   LastPass.
[01:22:41.480 --> 01:22:42.280]   Yeah, me too.
[01:22:42.280 --> 01:22:45.320]   And so what I did, just in case, is I used LastPass
[01:22:45.320 --> 01:22:48.880]   to generate a new password and use that for LinkedIn.
[01:22:48.880 --> 01:22:50.600]   And then I canceled my account.
[01:22:50.600 --> 01:22:52.320]   That's the same price you signed here.
[01:22:52.320 --> 01:22:53.320]   And then I thought about it.
[01:22:53.320 --> 01:22:55.840]   And I said, I don't need this anymore.
[01:22:55.840 --> 01:22:56.600]   Bye-bye.
[01:22:56.600 --> 01:23:00.720]   So I guess I've already done my tool.
[01:23:00.720 --> 01:23:04.400]   I guess there's really no reason to go into any more detail.
[01:23:04.400 --> 01:23:07.520]   I have really think this is a fantastic phone.
[01:23:07.520 --> 01:23:09.960]   The speed, battery life is good.
[01:23:09.960 --> 01:23:12.840]   Cameras, superb.
[01:23:12.840 --> 01:23:15.880]   This is a nice implementation of ice cream sandwich.
[01:23:15.880 --> 01:23:16.840]   Couldn't be happier.
[01:23:16.840 --> 01:23:19.000]   I think that they've really done a nice job.
[01:23:19.000 --> 01:23:21.320]   This is the Galaxy S3.
[01:23:21.320 --> 01:23:24.600]   The good news is it's on every major carrier
[01:23:24.600 --> 01:23:27.240]   in the next month or so.
[01:23:27.240 --> 01:23:29.840]   So if you want it, you can get it.
[01:23:29.840 --> 01:23:31.560]   And I think this is--
[01:23:31.560 --> 01:23:34.840]   As long as Apple doesn't manage to get an injunction
[01:23:34.840 --> 01:23:36.560]   and keep it from coming into the US,
[01:23:36.560 --> 01:23:39.400]   I think this is going to be a very, very popular
[01:23:39.400 --> 01:23:39.900]   form.
[01:23:39.900 --> 01:23:45.000]   Phone pre-orders apparently were $9 million for this phone.
[01:23:45.000 --> 01:23:49.240]   Its predecessor sold 50 million units, which I think is--
[01:23:49.240 --> 01:23:51.880]   We're talking iPhone territory here.
[01:23:51.880 --> 01:23:54.320]   So this is a really spectacular phone.
[01:23:54.320 --> 01:23:56.240]   Very thin, very light.
[01:23:56.240 --> 01:23:59.560]   I don't have the same problems I had with the Nexus screen,
[01:23:59.560 --> 01:24:01.360]   which was a Pentile display as well.
[01:24:01.360 --> 01:24:02.960]   But for some reason, the Galaxy Nexus,
[01:24:02.960 --> 01:24:05.040]   I just saw a lot of noise.
[01:24:05.040 --> 01:24:08.920]   T-Mobile, AT&T Sprint, Verizon, all have it.
[01:24:08.920 --> 01:24:12.560]   Apparently $199, which is surprising,
[01:24:12.560 --> 01:24:15.400]   because usually these premium phones go for $100 more.
[01:24:15.400 --> 01:24:20.640]   June 21st for T-Mobile, Sprint, Verizon
[01:24:20.640 --> 01:24:24.920]   is taking pre-orders now, but won't be until July.
[01:24:24.920 --> 01:24:27.560]   AT&T has not announced a date, but has said yes, we'll carry it.
[01:24:27.560 --> 01:24:30.040]   In fact, I think they have a red one on AT&T.
[01:24:30.040 --> 01:24:31.440]   That's for the 16 gig model.
[01:24:31.440 --> 01:24:34.120]   And by the way, I think 16 gigs fine.
[01:24:34.120 --> 01:24:35.760]   It takes an SD card.
[01:24:35.760 --> 01:24:37.840]   I see no reason to get the 32 gig model.
[01:24:37.840 --> 01:24:41.200]   I think 16 is plenty.
[01:24:41.200 --> 01:24:43.880]   So buy it before it gets banned.
[01:24:43.880 --> 01:24:46.360]   Someone in the chat room, I think, was MMX reminded,
[01:24:46.360 --> 01:24:48.560]   mentioned-- and this is a story I--
[01:24:48.560 --> 01:24:50.200]   we should probably mention real quick--
[01:24:50.200 --> 01:24:51.360]   onx.ms.
[01:24:51.360 --> 01:24:52.720]   Did you get a chance to look at this, Leo?
[01:24:52.720 --> 01:24:53.800]   No, what's that?
[01:24:53.800 --> 01:24:58.040]   It's a new Microsoft product for Android phones only, oddly
[01:24:58.040 --> 01:24:58.920]   enough.
[01:24:58.920 --> 01:25:01.640]   But it's kind of an scripting automation tool for Android phone.
[01:25:01.640 --> 01:25:03.960]   So it's similar to like Tasker for Android.
[01:25:03.960 --> 01:25:06.160]   But it's a web app and an Android app.
[01:25:06.160 --> 01:25:08.440]   And you get to create recipes for action.
[01:25:08.440 --> 01:25:09.640]   I love it.
[01:25:09.640 --> 01:25:11.000]   Given a set of variables.
[01:25:11.000 --> 01:25:13.760]   So it's kind of like if that's than that, but for your phone.
[01:25:13.760 --> 01:25:16.960]   So you say, if you're leaving work, text your spouse
[01:25:16.960 --> 01:25:18.320]   and say I'm on my way.
[01:25:18.320 --> 01:25:21.400]   And is brand new, Microsoft just launched it, I think,
[01:25:21.400 --> 01:25:21.840]   this week.
[01:25:21.840 --> 01:25:22.760]   It's in beta.
[01:25:22.760 --> 01:25:27.240]   And all the recipes are it's onx.ms is the website.
[01:25:27.240 --> 01:25:29.080]   And interestingly, just Android for now.
[01:25:29.080 --> 01:25:31.400]   And I haven't had a chance, actually, to try this out myself.
[01:25:31.400 --> 01:25:35.560]   But it looks like a nice UI on top of something like Tasker,
[01:25:35.560 --> 01:25:39.040]   which we've talked about before on the show.
[01:25:39.040 --> 01:25:42.080]   For some reason, it wants a certificate.
[01:25:42.080 --> 01:25:45.560]   Wow, this is using the JavaScript API.
[01:25:45.560 --> 01:25:47.520]   Yeah, the recipes are JavaScript.
[01:25:47.520 --> 01:25:48.080]   JavaScript.
[01:25:48.080 --> 01:25:50.320]   So you can fork them and you can edit some.
[01:25:50.320 --> 01:25:51.520]   Bizarre.
[01:25:51.520 --> 01:25:52.840]   Yeah, I know.
[01:25:52.840 --> 01:25:54.600]   What are you up to, Microsoft?
[01:25:54.600 --> 01:25:56.000]   What are you up to?
[01:25:56.000 --> 01:25:56.680]   I know.
[01:25:56.680 --> 01:25:59.040]   I know.
[01:25:59.040 --> 01:26:00.160]   I'll play with this.
[01:26:00.160 --> 01:26:03.440]   Maybe we can make some little scripts.
[01:26:03.440 --> 01:26:05.800]   I always like this kind of stuff.
[01:26:05.800 --> 01:26:07.440]   Yeah, I do too, right?
[01:26:07.440 --> 01:26:08.520]   Because it's location.
[01:26:08.520 --> 01:26:11.000]   And they detect the speed at which you're moving.
[01:26:11.000 --> 01:26:12.680]   I assume it's speed and location, whether or not
[01:26:12.680 --> 01:26:15.360]   you're driving, running, or walking.
[01:26:15.360 --> 01:26:19.320]   So as you can say, if I'm running, play my music.
[01:26:19.320 --> 01:26:20.360]   If I'm driving--
[01:26:20.360 --> 01:26:21.400]   Oh, that's neat.
[01:26:21.400 --> 01:26:23.560]   Send my text messages to--
[01:26:23.560 --> 01:26:26.440]   Increasingly, increasingly, these Android phones
[01:26:26.440 --> 01:26:27.800]   really are kind of amazing.
[01:26:27.800 --> 01:26:31.960]   I have to say, the pace of innovation is fast.
[01:26:31.960 --> 01:26:32.960]   And that's what's missing.
[01:26:32.960 --> 01:26:35.160]   And the answer is, is the framework to do this kind of thing
[01:26:35.160 --> 01:26:35.660]   on?
[01:26:35.660 --> 01:26:37.480]   There are so many folks into the system that allow for this
[01:26:37.480 --> 01:26:38.480]   kind of thing to happen.
[01:26:38.480 --> 01:26:40.320]   It's wide open.
[01:26:40.320 --> 01:26:42.440]   Gina Trapani is at smarterware.org.
[01:26:42.440 --> 01:26:44.120]   That's where she blogs.
[01:26:44.120 --> 01:26:46.400]   You can also find her at thinkupapp.com,
[01:26:46.400 --> 01:26:48.560]   where she's writing the great think up app with the expert
[01:26:48.560 --> 01:26:50.440]   labs.
[01:26:50.440 --> 01:26:54.240]   Jeff Jarvis is gone on a plane, but he, of course,
[01:26:54.240 --> 01:26:55.440]   is at buzzmachine.com.
[01:26:55.440 --> 01:26:58.200]   And his book, Public Parts, is available in bookstores.
[01:26:58.200 --> 01:27:00.160]   Everywhere we thank James Span for joining us, too.
[01:27:00.160 --> 01:27:02.800]   Don't forget @Span on Twitter, two ends, SPA.
[01:27:02.800 --> 01:27:06.840]   And if you want to follow Alabama tornado updates,
[01:27:06.840 --> 01:27:10.280]   or just follow his WeatherBrains podcast at WeatherBrains.
[01:27:10.280 --> 01:27:11.120]   Come, thanks, Jeanette.
[01:27:11.120 --> 01:27:12.480]   Great to have you.
[01:27:12.480 --> 01:27:13.000]   Great to be on.
[01:27:13.000 --> 01:27:13.760]   Great show again.
[01:27:13.760 --> 01:27:17.040]   See you next week on This Week in Google.
[01:27:17.040 --> 01:27:20.400]   [MUSIC PLAYING]
[01:27:20.400 --> 01:27:23.380]   [BEEPING]
[01:27:23.380 --> 01:27:33.380]   [BLANK_AUDIO]

