;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[00:57:56.880 --> 00:57:59.440]   That was the thing to have yeah
[00:57:59.440 --> 00:58:05.200]   It was it was awesome. It was a terrible idea. Yes, before the internet, right? Yeah, we didn't have there was no one to tell us
[00:58:05.680 --> 00:58:07.200]   Don't get it
[00:58:07.200 --> 00:58:09.760]   So there was no one to make fun of us
[00:58:09.760 --> 00:58:17.200]   So I have eight indian executives from forbs in the in the that's amazing run down in the top and the
[00:58:17.200 --> 00:58:20.880]   I've talked to five companies. Yeah. Yeah. Yeah, pretty amazing
[00:58:20.880 --> 00:58:23.040]   It is
[00:58:23.040 --> 00:58:27.520]   Uh, have we covered everything we need to say? Uh, yes, we still love google plus
[00:58:27.520 --> 00:58:31.840]   BMW will not sell alphabet dot com to alphabet
[00:58:32.880 --> 00:58:39.360]   But they got a bc dot x y z which is actually pretty good and you know what that means doesn't it give x y z dot x y z?
[00:58:39.360 --> 00:58:44.400]   Is he some legitimacy it does it does? It's past you would have said oh, yeah, go to twit dot x y z and people go
[00:58:44.400 --> 00:58:47.280]   What do you mean twit dot com dot x y z? What do you what do you mean?
[00:58:47.280 --> 00:58:54.720]   Now you just it's it's real who owns x y z google probably yeah, and no, I don't think so no, somebody else does
[00:58:54.720 --> 00:59:01.920]   Um, no chow room will tell us but before we go on leo if I may yes, I have a prepared statement about
[00:59:02.320 --> 00:59:04.320]   The name google
[00:59:04.320 --> 00:59:07.920]   Nobody seems to know and this just shows the obviously the perfect place to talk about this
[00:59:07.920 --> 00:59:13.600]   Nobody seems to know what the origin of google is everybody tells the story that it's a it's a big number
[00:59:13.600 --> 00:59:17.840]   It's a one with a hundred zero oh g l or whatever the g o l yes
[00:59:17.840 --> 00:59:25.360]   G. L g o and there's another story that's in the rundown now about raman chandler who in 1953 wrote a letter to his agent that
[00:59:25.360 --> 00:59:29.440]   referenced google as a it's a pseudo scientific or sci-fi
[00:59:29.440 --> 00:59:35.360]   Style of writing what he mentioned. This is gonna get google fans going crazy because it makes fun of sci-fi
[00:59:35.360 --> 00:59:39.360]   Yeah, it's worth reading for that raman chandler who is one of the great
[00:59:39.360 --> 00:59:45.680]   Genre writers mocking another genre. Yes, but that is not the origin either the origin is in 1919
[00:59:46.160 --> 00:59:53.840]   Okay. Yeah, okay. There was a cartoon in 1919. Yeah, and one of the characters of that cartoon was named
[00:59:53.840 --> 00:59:56.560]   um
[00:59:56.560 --> 00:59:58.160]   George google
[00:59:58.160 --> 00:59:59.360]   Let me see
[00:59:59.360 --> 01:00:04.720]   So the cartoonist was billy de back and he created a character 1919 named barny google
[01:00:04.720 --> 01:00:06.880]   Barney google. Yeah, honey google
[01:00:06.880 --> 01:00:09.360]   Jason if you can find that
[01:00:09.360 --> 01:00:15.600]   Yes, that's that's so yes that that was song there was a very popular cartoon and that song was written as a popular
[01:00:16.160 --> 01:00:18.160]   song about the cartoon character
[01:00:18.160 --> 01:00:23.840]   And he had a horse named spark plug who's always trying to convince to win races and spark plug was a real game
[01:00:23.840 --> 01:00:26.320]   I'm playing the team right now at Jason if you have my idea
[01:00:26.320 --> 01:00:32.880]   I didn't wait for them to make that that arthy. Yeah, there you go. This is our new theme
[01:00:32.880 --> 01:00:36.400]   This sounds like the orchid. This sounds like the
[01:00:36.400 --> 01:00:43.920]   Suza version of it. There's actually a popular singer version of this. That's this is not it. Yes. No, this isn't it
[01:00:44.720 --> 01:00:48.320]   The only question is why would they choose that? Okay, so here's why they chose it
[01:00:48.320 --> 01:00:55.120]   They didn't choose it from the cartoon. They chose it from the mathematician, but the mathematician in 1940 his name was milton serata
[01:00:55.120 --> 01:00:58.960]   Uh, no, I'm sorry the night. There was a nine-year-old boy. There's a kid. Yeah
[01:00:58.960 --> 01:01:03.040]   Yeah, there was a nine-year-old boy named milton serata and his uncle was a mathematician
[01:01:03.040 --> 01:01:08.800]   Edward casner that's right Edward casner went to the kid and said give me a give me a great name for a really big number
[01:01:08.800 --> 01:01:12.080]   Yeah, and the kid who's a fan of the cartoon said google
[01:01:12.720 --> 01:01:16.880]   And but here's the interesting I knew that as a kid. I knew that story as a kid. I remember that
[01:01:16.880 --> 01:01:21.440]   Okay, but he spelled it properly. He they right the original the original barney google
[01:01:21.440 --> 01:01:27.840]   The google spelled g o o g l e and the mathematician changed the spelling to g o o g o l
[01:01:27.840 --> 01:01:31.840]   For 10 times 10 of the hundreds. Yeah, uh, I don't know
[01:01:31.840 --> 01:01:36.720]   But the origin is a cartoon. It's not I remember as a kid
[01:01:36.720 --> 01:01:42.160]   We all thought you know, oh, that was the largest number is a one with a hundred zeros after it and uh
[01:01:42.960 --> 01:01:50.720]   Huh, why would we think that as kids? Well, why not a million zeros? Yeah, why why that? Yeah, but that's what it was
[01:01:50.720 --> 01:01:53.120]   so
[01:01:53.120 --> 01:01:57.360]   Given larry and sergeis obvious knowledge of that. I think that
[01:01:57.360 --> 01:02:02.640]   Did they have they ever spoken out? Did you ever ask them jeff why the name? Oh
[01:02:02.640 --> 01:02:06.480]   By the way, this is funny because uh
[01:02:06.480 --> 01:02:10.880]   If you read this bit uh from ramen chandler
[01:02:12.000 --> 01:02:14.000]   He was a letter to his agent
[01:02:14.000 --> 01:02:18.640]   In which he's kind of he says did you ever read what they call science fiction? It's a scream
[01:02:18.640 --> 01:02:26.160]   It's written like this quote. I checked out with k19 on ada baron three and stepped out through the chromiolite hatch
[01:02:26.160 --> 01:02:28.800]   On my 22 models serious hardtop
[01:02:28.800 --> 01:02:33.920]   I cocked the time jector in secondary and waited through the bright blue mandagrass
[01:02:33.920 --> 01:02:40.640]   My breath froze into pink pretzels. I flipped on the heat bars and the brilless ran swiftly on five legs
[01:02:40.960 --> 01:02:46.000]   Using their other two to send out crylon vibrations the pressure was almost unbearable
[01:02:46.000 --> 01:02:49.200]   But I caught the range on my wrist computer through the transparent
[01:02:49.200 --> 01:02:54.400]   Sysocytes I pressed the trigger the thin violet glow was ice cold against the rust colored mountains
[01:02:54.400 --> 01:02:59.920]   The brilless shrank to half an inch long and I worked fast stepping on them with the poll techs
[01:02:59.920 --> 01:03:04.720]   But it wasn't enough the sudden brightness swum me around in the fourth moon had already risen
[01:03:04.720 --> 01:03:10.800]   I had exactly four seconds to hot up the disintegrator and google had told me it wasn't enough
[01:03:11.200 --> 01:03:12.880]   He was right
[01:03:12.880 --> 01:03:14.880]   They pay for this crap as
[01:03:14.880 --> 01:03:18.480]   Freeman Chandler nice google told me
[01:03:18.480 --> 01:03:23.520]   It wasn't enough. It was enough. I think google's a thing in this but a person
[01:03:23.520 --> 01:03:29.600]   Apparently he uh, he he's uh done the same thing with tv. This is a good article
[01:03:29.600 --> 01:03:35.840]   Could you know a little a little kudos to Vlad savav? Yeah, it was it was a cool article writing in the verge
[01:03:35.840 --> 01:03:39.120]   So going back to google, sorry
[01:03:39.120 --> 01:03:42.720]   Uh, it was really no don't apologize. Believe me
[01:03:42.720 --> 01:03:47.600]   The Wall Street Journal 2004 that that mentions built in serrata
[01:03:47.600 --> 01:03:52.960]   Okay, has who came up with google and it says that casner so
[01:03:52.960 --> 01:03:55.920]   uh
[01:03:55.920 --> 01:03:57.920]   His great niece
[01:03:57.920 --> 01:04:02.480]   Says she thinks casner tweaked the spelling to avoid trademark issues
[01:04:02.480 --> 01:04:07.280]   Hmm makes sense. Yeah, but but there's no interview with larry and syruge about this
[01:04:07.760 --> 01:04:09.760]   No, it doesn't have been able to talk
[01:04:09.760 --> 01:04:11.760]   They've never been uh
[01:04:11.760 --> 01:04:17.920]   Was there ever a case of the owner of bernie google having a fight here who all who was born google
[01:04:17.920 --> 01:04:25.040]   Apparently casner thought about suing google at one point. Um, really? Yeah
[01:04:25.040 --> 01:04:33.120]   Did he trade mark which is odd should have sued them for a google dollars? Yeah, i'll take one did i 100 damage
[01:04:34.720 --> 01:04:36.720]   Is there anything else in talk about are we done?
[01:04:36.720 --> 01:04:43.440]   Uh, everything pales, uh secondary to alphabet
[01:04:43.440 --> 01:04:46.000]   Um
[01:04:46.000 --> 01:04:49.520]   We did we mention last week and red one is being relaunched apparently
[01:04:49.520 --> 01:04:53.760]   Uh, it was a kind of a flop the idea of selling a hundred dollar phone
[01:04:53.760 --> 01:04:57.760]   In developing nations apparently that's still too expensive
[01:04:57.760 --> 01:05:01.120]   Yep, they're going to relaunch it with phones less than 50 bucks
[01:05:01.120 --> 01:05:08.320]   Which might even still be too expensive even as low as 30 for the range they're targeting now is 30 to 50 dollars in india
[01:05:08.320 --> 01:05:11.920]   Just india is where they're starting and uh
[01:05:11.920 --> 01:05:20.400]   I just can't imagine how you make that happen. I mean I am so impressed by this moto g. Yeah, but that's a 200 dollar phone
[01:05:20.400 --> 01:05:21.360]   Yep
[01:05:21.360 --> 01:05:23.920]   Although that's what they charge. I wonder
[01:05:23.920 --> 01:05:29.680]   what Jason what did you guys have to say on on uh android about about the verizon
[01:05:30.320 --> 01:05:32.320]   ending the
[01:05:32.320 --> 01:05:36.080]   No more subsidies babies. You know, we didn't actually talk about verizon last night
[01:05:36.080 --> 01:05:39.600]   So we talked about adding an item on every other show so yeah, yeah, bet
[01:05:39.600 --> 01:05:42.480]   We spent a lot of time on alphabet as well
[01:05:42.480 --> 01:05:48.000]   That's that that's a model for reducing the cost of the phone is that kind of subsidy structure
[01:05:48.000 --> 01:05:50.160]   But it's just that scale doesn't work in india obviously
[01:05:50.160 --> 01:05:56.960]   Yeah, well, uh, that's one point which is that subsidized phones are kind of a unique to the united states, uh, yes
[01:05:56.960 --> 01:05:59.600]   Situation so because it's a scam
[01:06:00.000 --> 01:06:07.120]   Yes, it would be prohibited by any sensible regulators. Yes. Yes, um or consumer marketplace. Yeah
[01:06:07.120 --> 01:06:10.720]   Well, yeah, that's an interesting thing. Why do consumers put up with this?
[01:06:10.720 --> 01:06:15.760]   Do they not know it's a scam? They do not know they think you know it's short-term thinking they think well
