
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[01:53:31.200 --> 01:53:37.040]   I co-host uh tech news today on fridays and I host two podcasts or co-host two podcasts
[01:53:37.040 --> 01:53:43.600]   One is called over tired with brat terpstra. What's uh from a from objective c to the oc from swift to tailor swift
[01:53:43.600 --> 01:53:48.160]   Two nerds kind of geeking out of her over tech and life and I co-host rocket
[01:53:48.160 --> 01:53:48.960]   um
[01:53:48.960 --> 01:53:57.040]   Accelerated geek conversation with stammon de rosh for and uh biran al wu, which is kind of a female perspective on the typical tech podcast
[01:53:58.560 --> 01:54:04.400]   And rene a congratulations by the way, uh, srennie kalbelt had a really great fact on uh apple music
[01:54:04.400 --> 01:54:06.800]   I'm sorry we can get a chance to really talk about that during the show
[01:54:06.800 --> 01:54:09.920]   Uh, but this and all one of the cool things are up on i'mor this week
[01:54:09.920 --> 01:54:12.720]   Oh, uh, it's the the same stuff
[01:54:12.720 --> 01:54:15.840]   I mean they the apple music is just gonna consume huge portions of it
[01:54:15.840 --> 01:54:18.560]   We're still trying to digest ios 9 and l captain
[01:54:18.560 --> 01:54:23.360]   So you can keep a lot to i'mor and for as long as we can survive we will keep putting stuff up there
[01:54:23.360 --> 01:54:27.520]   So long as you keep paying for the domain and auto renews there will be all kinds of abundance of joys
[01:54:28.000 --> 01:54:30.000]   And for the movies
[01:54:30.000 --> 01:54:36.080]   I go pause for a second. I gotta go pick a transaction. Nobody poached that
[01:54:36.080 --> 01:54:39.120]   And rene's actually go
[01:54:39.120 --> 01:54:42.080]   Leo's gonna be out for another two weeks of vacation rene is gonna be hosting
[01:54:42.080 --> 01:54:47.680]   Next week so you out of one has that to look forward to uh, but for now i am your host and master and you not go
[01:54:47.680 --> 01:54:54.480]   Thank you for listening this week looking forward to having you listen to us next week until then get back to work frick time is over
[01:54:55.680 --> 01:54:57.680]   And go bricks
[01:54:57.680 --> 01:54:59.680]   You
[01:54:59.680 --> 01:55:01.680]   You
[01:55:01.680 --> 01:55:03.680]   You
[01:55:03.680 --> 01:55:06.260]   (upbeat music)

