
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[00:54:11.920 --> 00:54:17.840]   Well, it buys companies but usually small ones which are essentially acquisitions of teams and their intellectual property
[00:54:17.840 --> 00:54:21.840]   This is the one that I think is such a good thing for us to to remember
[00:54:21.840 --> 00:54:23.200]   apple
[00:54:23.200 --> 00:54:30.160]   Does not buy business models or customers or cash flows and that's usually what you buy a company for the business model
[00:54:30.160 --> 00:54:34.000]   It's customers or it's cash flow apple doesn't need any of that
[00:54:34.800 --> 00:54:38.720]   Uh, also because apple has a strong culture and wishes to preserve it
[00:54:38.720 --> 00:54:43.360]   They're careful because acquisitions dilute culture when we talked about buying disney
[00:54:43.360 --> 00:54:47.440]   There's more disney employees than apple employees. That's gonna change
[00:54:47.440 --> 00:54:54.880]   The culture and he says this is why integrations, uh, often fail and that makes a lot of sense aol time winner
[00:54:54.880 --> 00:54:57.440]   hp compact
[00:54:57.440 --> 00:55:01.120]   Because if you get a big company that that's gonna change your company
[00:55:01.600 --> 00:55:07.520]   Statistically large acquisitions are valued destructive and the larger they are the more likely they are to fail
[00:55:07.520 --> 00:55:13.520]   Incidentally when a company is acquired with cash that hole in the balance sheet is filled with something called good will
[00:55:13.520 --> 00:55:20.960]   Which reflects some intangible value of the new asset if and when the acquisition is deemed to a fail you have to write off the good will
[00:55:20.960 --> 00:55:27.920]   And in other words rob shareholders of the cash they should have had so I thought as we were looking at like no
[00:55:28.480 --> 00:55:35.760]   He bought by microsoft or a well board by time. Sorry billion dollars in a write-off for microsoft because and in work
[00:55:35.760 --> 00:55:39.680]   Google buying Motorola. Yeah. Yeah, so let me let me find the rnd
[00:55:39.680 --> 00:55:44.800]   Stuff too because right above yeah, so why doesn't the company spend money on other things?
[00:55:44.800 --> 00:55:47.920]   You said they return what they can't use. Well, why can't they use it?
[00:55:47.920 --> 00:55:54.000]   Well, the company considers his mission to be very narrow add value. I love this. This is saurus
[00:55:54.080 --> 00:56:02.720]   You're great add value in specific areas where they can create tremendous value uniquely and under conditions they can control boy apple does that in spades, right?
[00:56:02.720 --> 00:56:06.720]   Many such products don't require capital
[00:56:06.720 --> 00:56:09.920]   manufacturing data centers apple stores
[00:56:09.920 --> 00:56:14.160]   require capital rnd and sales not so much
[00:56:14.160 --> 00:56:18.560]   Creating products is very cash efficient in other words apple's existing cash flow
[00:56:18.560 --> 00:56:21.360]   Is more than sufficient
[00:56:21.360 --> 00:56:26.640]   To plan their existing talent like the people who made the iPhone were drawn and like there were some new people like radio engineers
[00:56:26.640 --> 00:56:29.360]   And you know who were specific to the technology and to make a phone
[00:56:29.360 --> 00:56:34.320]   But most of them were people that were working on existing apple products from the industrial design
[00:56:34.320 --> 00:56:36.880]   Team to the hardware engineering team to the software team
[00:56:36.880 --> 00:56:41.520]   All those people were already employed by apple so the the our research and development required for iphone
[00:56:41.520 --> 00:56:46.720]   It was just a retasking of their time. Yeah, that's so that's often why you'll find that some lesser
[00:56:46.960 --> 00:56:54.640]   Second tier products are delayed because it became an all hands-on deck thing to get another product out the door or another piece of software at the door
[00:56:54.640 --> 00:57:01.920]   Or certain talent pool was robbed internally. They are biggest investment. I think is really in personnel and in talent because they feel as though
[00:57:01.920 --> 00:57:10.000]   Once they get once they get someone really into the apple system internally once they have an employee or an engineer who's really into the apple system
[00:57:10.400 --> 00:57:16.960]   A lot of them really want to stay in that system and that they they not only understand their area of engineering
[00:57:16.960 --> 00:57:20.960]   But they also understand how apple likes to articulate that kind of technology
[00:57:20.960 --> 00:57:28.960]   So that's where that's where they like to put their money at that's exactly what our us says is that the expensive developing something like the iphone is primarily salaries
[00:57:28.960 --> 00:57:32.560]   Paying the people you already have to do the job
[00:57:32.560 --> 00:57:37.360]   So this was I thought very very very useful
[00:57:38.000 --> 00:57:40.480]   And it's brilliant too because when you look at like a lot of times
[00:57:40.480 --> 00:57:44.960]   It's really easy to write a blog post saying apple should buy Netflix or nintendo or whatever
[00:57:44.960 --> 00:57:49.760]   Apple does make these purchases like authentic led to touch ID and prime sense
[00:57:49.760 --> 00:57:56.160]   And Siri and the purchases they made in the technology that gave and the differentiation they're able to bring to their product
[00:57:56.160 --> 00:58:03.760]   Which is what apple really wants they want differentiated experiences that they think will provide value to the customers or will increase the value of the current products
[00:58:04.320 --> 00:58:10.640]   Um, it's just those are the sort of flagship features you hear apple announce year after year and they come largely from those small acquisitions
[00:58:10.640 --> 00:58:12.160]   Yeah, absolutely
[00:58:12.160 --> 00:58:20.000]   We think back to the acquisition of beats and this what did not become a thing where beats were remained as the company that they were
[00:58:20.000 --> 00:58:24.480]   Uh only they're simply owned by apple. They didn't become like the makers of file maker
[00:58:24.480 --> 00:58:33.040]   Uh, they really it really was an acquisition of jimmy iovine dr. Dre getting apple music to from from zero to where it is today
[00:58:33.200 --> 00:58:38.480]   Which is a strong strong not only a strong financial competitor, but an influential competitor
[00:58:38.480 --> 00:58:45.760]   Uh, the beats brand of headphones. It was not allowed to contaminate anything that apple was doing while it also allowed apple to
[00:58:45.760 --> 00:58:51.120]   Uh add a very very compelling and important brand to the apple retail stores
[00:58:51.120 --> 00:58:56.720]   Which is far more important than whatever profits they're getting from the hardware itself and also being able to insert
[00:58:57.200 --> 00:59:05.440]   Apple technology into this most influential most important cultural brand. So yeah, all of this is really on the money. It's really it's
[00:59:05.440 --> 00:59:13.920]   It's the usual way of trying to wrap your head around how much of how much capital apple can throw around by trying to decide
[00:59:13.920 --> 00:59:21.600]   Now if we're trying if we're trying to the real estate of entire states road island definitely Delaware probably as well as deler
[00:59:21.920 --> 00:59:25.920]   But the but buying netflix buying disney buying these kind of properties
[00:59:25.920 --> 00:59:32.000]   Those aren't things those aren't things that apple would ever want to do unless it can solve a problem for apple as opposed to
[00:59:32.000 --> 00:59:34.560]   Allow them to be able to cover more
[00:59:34.560 --> 00:59:36.560]   Territories on that big risk
[00:59:36.560 --> 00:59:40.160]   Playboard they're really not interested in just simply covering more territories
[00:59:40.160 --> 00:59:46.480]   They're basically all all power is about the ability to determine your own future and your own destiny
[00:59:46.720 --> 00:59:54.400]   And everything apple does as a very very smart company is to make sure that everything they do allows them to continue to pursue their own destiny
[00:59:54.400 --> 01:00:01.040]   So I think that if they were to do any more acquisitions or any more infusions of talent would be to continue the idea of
[01:00:01.040 --> 01:00:07.040]   Let's try to build our own cpu's for everything and never have to take something off the shelf never be
[01:00:07.040 --> 01:00:15.120]   Uh, beholden to the schedule of intel or any other company never be beholden to the let's charager charitably call it
[01:00:15.360 --> 01:00:20.000]   functional quirks of a certain intel cpu's over the past 20 years or other makers
[01:00:20.000 --> 01:00:22.880]   I think that that's the sort of thing that apple would want to get into
[01:00:22.880 --> 01:00:26.320]   And it's really when you look at that list when it says like for example
[01:00:26.320 --> 01:00:31.840]   Uh business models apple already has a very good direct to consumer business model and they've been building the subscription model
[01:00:31.840 --> 01:00:39.360]   Enhanced by beats obviously but when you look at customers if you buy those companies or those customers already apple customers apple has a billion odd
[01:00:39.360 --> 01:00:45.200]   Customers already would really be getting new ones and the cash flow the opposite of the problem apple needs to solve
[01:00:45.200 --> 01:00:52.320]   Doesn't need to buy companies to make even more money or just to sort of get liquidity. So, um, it's unclear what value those things would bring
[01:00:52.320 --> 01:00:55.760]   Other than spend the money that they have
[01:00:55.760 --> 01:01:02.000]   I love uh, so if you wanted to you know, if you were wondering how good is apple
[01:01:02.000 --> 01:01:07.040]   Uh fortune magazine went out and queried thousands of executives
[01:01:07.040 --> 01:01:09.840]   Uh asked them to rate
[01:01:10.240 --> 01:01:17.600]   Enterprises in their own industry on investment value quality of management products social responsibility ability to attract talent
[01:01:17.600 --> 01:01:21.040]   Number one most admired company
[01:01:21.040 --> 01:01:25.120]   In the country in the world. Well, of course apple
[01:01:25.120 --> 01:01:32.960]   Then amazon alphabet bircher half the way starbucks walt disney microsoft south west airlines fed x and jp morgan chase
[01:01:32.960 --> 01:01:34.960]   So you don't have to trust us
[01:01:34.960 --> 01:01:38.080]   uh clearly, uh, clearly the biggest
[01:01:38.960 --> 01:01:42.400]   Executives in the country also agree apple is well run
[01:01:42.400 --> 01:01:49.440]   Um, let's take a break and when we come back. We will talk a little bit more about apple
[01:01:49.440 --> 01:01:52.000]   There's lots more to say i'm just posing for a picture you don't mind
[01:01:52.000 --> 01:01:56.000]   So you're i thought you were placing a fine
[01:01:56.000 --> 01:01:58.080]   Fine
[01:01:58.080 --> 01:02:03.440]   Renee's meeting tim cook and leo so popular he has to take fan photos in the middle of the show
[01:02:03.440 --> 01:02:05.760]   I'm here with their leaving
[01:02:06.160 --> 01:02:09.280]   They're walking out on us. I'm wearing a cardboard
[01:02:09.280 --> 01:02:14.400]   Thank you guys have a great day
[01:02:14.400 --> 01:02:23.040]   It's funny karsten stayed on the screenshot as long as he could hoping to get
[01:02:23.040 --> 01:02:28.880]   Get them out of here before we but then I said, oh, let's do an ad it's nothing he could do about it
