;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[00:54:19.560 --> 00:54:23.480]   If there's a problem with the accelerator, so yeah, he's charged a reckless homicide
[00:54:23.480 --> 00:54:27.000]   It's it's I I hope there's a very thorough investigation
[00:54:27.000 --> 00:54:32.920]   But this this is the sort of thing that is absolutely frustrating to try to figure out because there are so many cases of
[00:54:32.920 --> 00:54:35.240]   The person had their foots
[00:54:35.240 --> 00:54:39.480]   That's foot their foot down on the gas their foot slipped or because of a
[00:54:39.480 --> 00:54:43.960]   Wrinkle in the in the floor mat or just bad does bad user to
[00:54:44.680 --> 00:54:48.440]   Bad design bad shapes of these petals it's easier to get the two mixed up
[00:54:48.440 --> 00:54:52.840]   And because he thinks he's got his foot on the brake. He just stands it down harder
[00:54:52.840 --> 00:54:56.360]   Yeah, because because oh my god, it was like I need to I need to break it's a runaway
[00:54:56.360 --> 00:55:00.520]   And he gets in a state of panic. He doesn't stop assess and think what if I'm
[00:55:00.520 --> 00:55:03.160]   Putting my foot down on the wrong thing. I'm not saying that's what happened
[00:55:03.160 --> 00:55:05.720]   But there are a lot of things that have to be considered
[00:55:05.720 --> 00:55:11.560]   At least we've ruled out at least we rule out that it but it doesn't seem to it doesn't have this wasn't drug or alcohol related
[00:55:11.560 --> 00:55:15.960]   Right if for an act for an active for an active deliberate if it were an active deliberate violence
[00:55:15.960 --> 00:55:21.560]   You think that he would have said he would have made such a statement or such an education. He has not done so as yet
[00:55:21.560 --> 00:55:24.760]   That's true. So good point. It's happened here twice
[00:55:24.760 --> 00:55:27.880]   in last couple of years on our main street
[00:55:27.880 --> 00:55:31.880]   That's a driver has plowed into a storefront
[00:55:31.880 --> 00:55:37.880]   So maybe it's more and again as the same situation where you'd have to turn hard right maybe yeah
[00:55:38.120 --> 00:55:41.320]   And then and then do it but in both cases it was an accident
[00:55:41.320 --> 00:55:45.560]   So I guess it it does happen and it is devastating when it happens. I mean it just destroys
[00:55:45.560 --> 00:55:49.400]   The place and if there's anybody in there, it's a bad place to be
[00:55:49.400 --> 00:55:55.880]   Also, right it makes it makes it into a traumatic space for people who have to go back and work there who probably can't afford to
[00:55:55.880 --> 00:56:01.160]   Like just simply quit this job. So that that's why I thought that was a very very human thing for Tim Cook to do
[00:56:01.160 --> 00:56:03.480]   I was very very proud on him for doing that
[00:56:03.480 --> 00:56:05.960]   Let's take a quick break
[00:56:05.960 --> 00:56:10.120]   More to come with our wonderful panel Andy and not go Jason Snell
[00:56:10.120 --> 00:56:12.520]   Alex lindsey
[00:56:12.520 --> 00:56:17.720]   And while you're watching I hope you'll enjoy now john ashley. This is your opportunity to show off
[00:56:17.720 --> 00:56:21.720]   Our new tech tricaster to elite or show they brought to you by
[00:56:21.720 --> 00:56:24.760]   The tricaster to elite
[00:56:24.760 --> 00:56:27.800]   Uh, the most complete live production system on the planet
[00:56:27.800 --> 00:56:34.760]   We use the tricaster to elite right we use about one 80th of the complete capabilities
[00:56:34.760 --> 00:56:38.920]   I'm just a tiny tiny amount this thing is kind of mind-boggling they pushed out
[00:56:38.920 --> 00:56:46.680]   An update late last year that made it even more powerful. No new tech. We've used tricasters since day one new tech
[00:56:46.680 --> 00:56:54.440]   Uh literally since we started doing video. I shopped around looked at all the different ways of doing it tricaster was the most affordable most flexible
[00:56:54.440 --> 00:57:00.200]   A way to get what we do done and we've used tricasters ever since there's a full line
[00:57:01.000 --> 00:57:05.560]   And no matter which you select tricaster puts an entire suite of media production capabilities
[00:57:05.560 --> 00:57:08.200]   At your fingertips the tricaster to elite
[00:57:08.200 --> 00:57:13.640]   Our little baby is more than a live video production system. It's an all-encompassing
[00:57:13.640 --> 00:57:16.120]   digital media solution
[00:57:16.120 --> 00:57:18.920]   You can use to create content for the internet mobile
[00:57:18.920 --> 00:57:27.240]   TV in most cases it's better than the broadcast system television stations are using I see them in schools and churches
[00:57:27.240 --> 00:57:29.720]   I see them everywhere
[00:57:30.120 --> 00:57:36.680]   The the much loved live call connect feature now supports with this update that just came out facebook all year ago now
[00:57:36.680 --> 00:57:39.160]   Facebook messenger whatsapp facetime
[00:57:39.160 --> 00:57:46.840]   So you can use those as live inputs to any production in addition selectable audio and video return enables tricaster to elite operators to
[00:57:46.840 --> 00:57:54.680]   View an audio return like any other output allowing greater flexibility. There's a new neural voice isolation tool that cleans audio
[00:57:55.320 --> 00:58:01.800]   Using AI canceling or reducing background noise automatically detecting voices maintaining all important production quality
[00:58:01.800 --> 00:58:04.520]   Uh, you know, we we're kind of a very static setup
[00:58:04.520 --> 00:58:13.240]   But a lot of people are using tricasters and in evolving situations in new situations and and churches and stuff and it's great to have all of these capabilities
[00:58:13.240 --> 00:58:19.800]   To make your production that much better no matter what happens increased power and flexibility and simplicity
[00:58:19.800 --> 00:58:24.200]   Have driven some of the exciting new capabilities with variable support and macro
[00:58:25.240 --> 00:58:29.800]   This by the way, I know they use for me because I I switch my own stuff
[00:58:29.800 --> 00:58:34.120]   Uh in my office and they've got it all down to macros because they don't trust me
[00:58:34.120 --> 00:58:42.360]   So so I just push this button Leo. Oh it works the system thanks to these macros offers a dynamic and powerful tool
[00:58:42.360 --> 00:58:46.520]   You can nest macros now to deliver complex production is more easily
[00:58:46.520 --> 00:58:51.240]   We actually have set it up so that we could actually even use this I can use a stream deck
[00:58:51.240 --> 00:58:55.080]   So they've got macros attached to stream deck elgato stream deck buttons
[00:58:55.080 --> 00:58:58.760]   So I can control a tricaster through the stream deck. It is so flexible
[00:58:58.760 --> 00:59:05.880]   Tricaster to elite now supports encoding three channels and anything from hd to uhd at the same time
[00:59:05.880 --> 00:59:08.840]   That's a lot more power a lot more flexibility
[00:59:08.840 --> 00:59:13.240]   They've got the live panel builder now, which was a standalone. It's now in the tricaster
[00:59:13.240 --> 00:59:15.960]   Which means you can create bespoke user interfaces
[00:59:15.960 --> 00:59:18.920]   Customize each preset within the user interface
[00:59:19.320 --> 00:59:24.280]   So your distributed workflows are simpler more cohesive never compromising on quality
[00:59:24.280 --> 00:59:28.120]   I mean I can go on and on they've got the ndi gen lock tool
[00:59:28.120 --> 00:59:31.160]   Which is fantastic. You've got a common sync pulse
[00:59:31.160 --> 00:59:35.000]   So all the users can know exactly when to send a frame of video
[00:59:35.000 --> 00:59:39.080]   Perfect for remote workflows app operators can now send alpha channel
[00:59:39.080 --> 00:59:45.080]   Through one of the mix outs bringing post production closer to live users can use the keying on tricaster
[00:59:45.400 --> 00:59:50.680]   We don't use it, but but man, you can you can feed what we use a little bit sometimes to feed graphics
[00:59:50.680 --> 00:59:58.760]   Realtime 3d creation tools. You'll probably see when we do our holiday stuff the little leo elf on the shelf swinging my legs
[00:59:58.760 --> 01:00:03.480]   We'll use that that's tricaster. Let's just do that. It's really a cool effect
[01:00:03.480 --> 01:00:09.720]   Since it's arrival in 2020 tricaster to elite has offered incredibly powerful live production system
[01:00:10.440 --> 01:00:16.120]   We love it the very latest updates put even more power into the hands of storytellers everywhere
[01:00:16.120 --> 01:00:24.600]   Really, it's more than we need, but we're really glad to have the tricaster to elite. It's transformative. It's setting new standards
[01:00:24.600 --> 01:00:26.840]   It's better than broadcast
[01:00:26.840 --> 01:00:31.080]   You might also look at the tricaster one pro. That's also evolved
[01:00:31.080 --> 01:00:38.680]   Incredibly to support modern storytelling for producers and content graders and publishers with future ready capabilities
[01:00:38.920 --> 01:00:46.680]   It's a streamlined live video production system got the live call connect 4k uhd switching support live streaming recording
[01:00:46.680 --> 01:00:51.400]   Data driven and really I have to say over the years. We've used tricaster now for 15 years
[01:00:51.400 --> 01:00:54.120]   Just gets better and better and better and better
[01:00:54.120 --> 01:01:00.120]   Export of the latest in the tricaster family. Go to new tech their website any wte k
[01:01:00.120 --> 01:01:03.720]   Just this is the url to get you right there
[01:01:04.600 --> 01:01:08.440]   Go dot new tech dot com slash twit dash tv
[01:01:08.440 --> 01:01:12.680]   That's where you'll find an interactive guide that lets you choose which tricaster is right for you
[01:01:12.680 --> 01:01:17.080]   So there's a whole line of tricasters at different prices
[01:01:17.080 --> 01:01:25.480]   Everybody should have a tricaster go dot new tech dot com slash twit dash tv and new tech is any wte k
[01:01:25.480 --> 01:01:32.440]   We love new tech. We love the tricaster. We're so grateful to have it go dot new tech dot com slash twit dash tv
[01:01:33.560 --> 01:01:40.440]   It's really the kind of the central tool in our in our technology toolbox that makes everything we do possible
[01:01:40.440 --> 01:01:42.760]   Thank you new tech
[01:01:42.760 --> 01:01:45.720]   The oceanic plus app is out who's going diving
[01:01:45.720 --> 01:01:49.240]   Put it on your old not it not it
[01:01:49.240 --> 01:01:55.240]   Not it now i want to i want to test it i want to see what's going on i got to do
[01:01:55.240 --> 01:02:00.520]   Remember when they when they announced the uh the uh apple watch altar they said and coming soon oceanic plus
[01:02:00.520 --> 01:02:03.080]   Well, it's out now
[01:02:03.080 --> 01:02:05.240]   Excellent. I I wish I could test it
[01:02:05.240 --> 01:02:12.200]   Is for it's a dive computer on your wrist. I mean it's not like okay, maybe there's more professional
