;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[01:00:43.180 --> 01:00:49.420]   Uh, and they are the people that when apple that really when they start when they when they make a blog post about a problem
[01:00:49.420 --> 01:00:56.220]   They're having it can set the world on fire because they don't they they know what they everyone knows that they know what they're talking about
[01:00:56.220 --> 01:01:00.460]   And they don't just fly off like half teakettled on things like that
[01:01:00.460 --> 01:01:05.820]   So yeah, he's rich is definitely in that justice league and for those who don't know bb edit is his barebone software
[01:01:05.820 --> 01:01:11.100]   Yes, it is his baby the classic the classic the greatest text editor of all time
[01:01:11.100 --> 01:01:14.620]   Uh billboard magazine interviews eddy q
[01:01:14.620 --> 01:01:18.300]   about spatial audio
[01:01:18.460 --> 01:01:21.260]   and uh in in which at one point
[01:01:21.260 --> 01:01:25.180]   Eddy says nobody's gonna nobody's gonna know the difference
[01:01:25.180 --> 01:01:33.420]   He says the reality of lossless. Well, I'm sorry not spatial lossless. Thank you for correcting me. Yes
[01:01:33.420 --> 01:01:38.220]   Uh, loss is high bit radio. He says the reality of lossless is if you take a hundred people
[01:01:38.220 --> 01:01:40.700]   And you take a stereo song and lossless
[01:01:40.700 --> 01:01:46.860]   And you take a song that's been an apple music that's compressed. I don't know if it's 99 or 98 that can't tell the difference
[01:01:47.340 --> 01:01:49.340]   But I think that's probably true most people
[01:01:49.340 --> 01:01:53.340]   Cannot tell the difference. There's some people who can actually over air pods. Yeah
[01:01:53.340 --> 01:01:56.940]   Now we're supporting lossless. We think there's a set of customers
[01:01:56.940 --> 01:02:01.820]   It's a small set of customers, but they want it will certainly give it to them and they all have it as part of this
[01:02:01.820 --> 01:02:06.220]   The good news is they'll have lossless and they'll have delbi atmos and spatial
[01:02:06.220 --> 01:02:13.100]   And I think uh apple's right to kind of focus on spatial as opposed to uh lossless. So I took the time
[01:02:14.700 --> 01:02:18.780]   Last week of playing apple spatial music on every platform I have
[01:02:18.780 --> 01:02:26.460]   In effect, I spent some money because I went out and got the $550 apple air pods max because I thought well
[01:02:26.460 --> 01:02:31.340]   I should really hear what apples kind of that's the reference for it right the reference platform is this
[01:02:31.340 --> 01:02:33.820]   Airpods max their spatial audio. Yeah
[01:02:33.820 --> 01:02:37.980]   Uh, unfortunately, I don't consider a pods max a high fidelity
[01:02:37.980 --> 01:02:43.180]   Uh reproduction system and they're not very good, but that's probably because they're bluetooth
[01:02:43.980 --> 01:02:49.100]   And yes, you know bluetooth is is limited. It's highly compressed music and it really sounds that way
[01:02:49.100 --> 01:02:54.460]   It's a little muddy from my ears. They were designed to make the best bluetooth possible, but you're still limited by bluetooth
[01:02:54.460 --> 01:02:59.020]   Yeah, um, so I also played it back using a high quality deck
[01:02:59.020 --> 01:03:05.820]   on uh a $300 pair of sennheiser uh in years, which are very very good the ie 300s and on my
[01:03:05.820 --> 01:03:08.380]   $1,000 electrostatic high-fi men
[01:03:08.940 --> 01:03:16.620]   uh ht 560s and on a variety of speaker systems in my car which has a premium audio system from b&o and of course on my
[01:03:16.620 --> 01:03:23.340]   uh, my good system using my elak speakers and I I guess I would what I would say is
[01:03:23.340 --> 01:03:28.300]   And I think this is apples kind of apples point was certainly pointed zane low in the introduction
[01:03:28.300 --> 01:03:31.180]   And by the way the marvin gay thing is a really good way to introduce it
[01:03:31.180 --> 01:03:32.620]   That
[01:03:32.620 --> 01:03:38.460]   Spatial is to stereo what stereo was to mono or close to maybe not quite as much
[01:03:38.940 --> 01:03:41.580]   But it's a it's a step forward. It's much more open
[01:03:41.580 --> 01:03:45.820]   Um, uh, you you sound you don't sound like you're listening to headphones
[01:03:45.820 --> 01:03:49.740]   You sound like listening in a room and by the way, I can even hear it on stereo speakers
[01:03:49.740 --> 01:03:54.620]   Although one thing I know and I don't know my name maybe they gave you some information on this
[01:03:54.620 --> 01:03:57.900]   I do have a dole bee system not an ammo system a dole bee system
[01:03:57.900 --> 01:04:03.500]   Which will play surround sound with the apple tv on things like roger waters us and them
[01:04:03.500 --> 01:04:06.220]   But when I play apple music
[01:04:06.540 --> 01:04:08.700]   Spatial audio through the apple tv
[01:04:08.700 --> 01:04:14.140]   They report stereo. I think spatial is for stereo despite the dole bee atmos
[01:04:14.140 --> 01:04:20.380]   They'll try to do it. So if they're on both sides, so if they have an atmos signal
[01:04:20.380 --> 01:04:24.860]   They'll just use that for spatial mapping if they don't they'll try to do that computational audio
[01:04:24.860 --> 01:04:29.740]   It's not sending an atmos signal to my stereo which would see it. No
[01:04:29.740 --> 01:04:34.140]   It's not on apple tv on apple tv. You need a dole bee atmos
[01:04:34.700 --> 01:04:37.900]   Capable, I believe no, I do I I have a dole
[01:04:37.900 --> 01:04:45.260]   Updated apple tv connected to a dole bee. It's not atmos. It's dole bee, but I should do the atmos because it has to be atmos
[01:04:45.260 --> 01:04:48.380]   Like it's only your soul, but I don't believe
[01:04:48.380 --> 01:04:53.100]   I don't believe it's any receiver because if I listen to a dole bee
[01:04:53.100 --> 01:04:57.740]   Watch a dole bee movie. I get the surround five ones around seven ones around
[01:04:57.740 --> 01:05:03.900]   Yeah, but uh, but you're saying that spatial will not unless your decoder does atmos
[01:05:04.380 --> 01:05:08.220]   Okay, I believe I'm gonna double check that I believe that
[01:05:08.220 --> 01:05:11.900]   I mean it's it's it's and also some of the dole bee atmos songs are just not good
[01:05:11.900 --> 01:05:16.060]   And I think they've they've admitted it as much like some of the artists have been incredibly engaged
[01:05:16.060 --> 01:05:19.020]   Ingoing that in the original tracks and choosing
[01:05:19.020 --> 01:05:22.700]   What they want and others are just uh here you go and it's like no you made all the wrong
[01:05:22.700 --> 01:05:26.460]   Why did you even do this? Yeah, I mean that's what happened. Remember when CDs came out
[01:05:26.460 --> 01:05:28.300]   Uh, yes
[01:05:28.300 --> 01:05:31.500]   There were some really bad CD masters because they just said well
[01:05:31.500 --> 01:05:33.500]   I'll take these tapes and put them on a CD kid
[01:05:34.460 --> 01:05:36.940]   And pay them 10 bucks an hour and we'll get them all done
[01:05:36.940 --> 01:05:38.860]   um
[01:05:38.860 --> 01:05:40.860]   Although eddy points out that the labels
[01:05:40.860 --> 01:05:43.900]   Have have a lot of interest
[01:05:43.900 --> 01:05:49.900]   Um, and it's true that they launched with hundreds and hundreds of songs in every genre. I was surprised
[01:05:49.900 --> 01:05:51.980]   I didn't expect so many songs
[01:05:51.980 --> 01:05:56.540]   And they want to get on those playlists. Yeah. Yeah, everybody wants to be on the playlist right?
[01:05:56.540 --> 01:06:02.220]   I think they sound good. I think when it's done properly. It's a little better than stereo. Let's put it that way
[01:06:02.940 --> 01:06:04.940]   How's that?
[01:06:04.940 --> 01:06:07.340]   Would you agree Renee? What's your experience?
[01:06:07.340 --> 01:06:12.860]   If I could for me, it's like if this song is a song that I would love to be in a concert hall to hear
[01:06:12.860 --> 01:06:16.860]   Um, you know, like I'm not Andy like I'm not I'm not into opera
[01:06:16.860 --> 01:06:19.580]   But I'm into like big john Williams and Howard shore
[01:06:19.580 --> 01:06:23.100]   Uh and alan solvestry, you know theatrical compositions
[01:06:23.100 --> 01:06:27.820]   And if I can listen to that as though i'm in the middle of the theater where they're playing with a full orchestra
[01:06:27.820 --> 01:06:30.060]   And the sound is literally all around me
[01:06:30.060 --> 01:06:35.100]   I really really really enjoy that other songs. It doesn't make a real difference to me like yes
[01:06:35.100 --> 01:06:36.460]   I can appreciate
[01:06:36.460 --> 01:06:40.300]   And if you haven't heard it, there is a sprenity called will she got to do a musical play at apple
[01:06:40.300 --> 01:06:44.060]   Which is just the peak of sprenity called wellness. I think of all time
[01:06:44.060 --> 01:06:47.980]   Uh, where they're demonstrating the spatial audio api and the features
[01:06:47.980 --> 01:06:52.620]   And you hear them talking in your serenity out in the background behind you saying is this really a thing?
[01:06:52.620 --> 01:06:57.740]   This is really make a difference and then she moves around to another but and I can totally appreciate that
[01:06:58.220 --> 01:07:01.740]   Uh the same way that you know, I could I when I watched hd
[01:07:01.740 --> 01:07:05.740]   During the transition I had to go back to looking at my parents crt display
[01:07:05.740 --> 01:07:08.780]   I could tell it wasn't bad for some shows. I really didn't care
[01:07:08.780 --> 01:07:12.380]   You know like the local news and things like that and that's how I feel right now
[01:07:12.380 --> 01:07:14.780]   It's like the best of it is amazing
[01:07:14.780 --> 01:07:19.660]   Some of it does does not make a big deal to me, but I look forward three or four years
[01:07:19.660 --> 01:07:24.220]   And I think going back i'll be like people used to listen to music like this. What were we animals?
[01:07:25.100 --> 01:07:28.700]   So i'm actually i'm actually more in some more excited about it
[01:07:28.700 --> 01:07:30.940]   And i'll try to make this really short because it's something i'm going to be
[01:07:30.940 --> 01:07:34.460]   I'm preparing something long writing about it. I'm actually more
[01:07:34.460 --> 01:07:40.060]   Excited about spatial audio finally as a way of doing audio ar i've always thought that
[01:07:40.060 --> 01:07:45.740]   Ar glasses are not the way to go the way to go are earbuds that can let you talk to a
[01:07:45.740 --> 01:07:49.580]   Voice assistant and get your information and your inputs and i'll put that way
